TaxaID,CommonName,Phylum,Class,SubClass,Order,Family,Genus,SubGenus,Species,LRBC,MorphConvFact,BCG_ATTR,Weedy
Acropora cervicornis,Staghorn coral,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Acroporidae,Acropora,Anthozoa,cervicornis,TRUE,4,3,Never
Acropora palmata,Elkhorn coral,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Acroporidae,Acropora,Anthozoa,palmata,TRUE,4,2,Never
Acropora prolifera,Fused staghorn,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Acroporidae,Acropora,Anthozoa,prolifera,,4,3,Never
Acropora,Thick staghorn coral,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Acroporidae,Acropora,,,TRUE,4,,Never
Agaricia agaricites,Low relief lettuce coral,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,agaricites,,1,4,Sometimes
Agaricia fragilis,Fragile saucer coral,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,fragilis,,1,3,Sometimes
Agaricia grahamae,Dimpled sheet coral,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,grahamae,,1,,Sometimes
Agaricia humilis,Low relief lettuce coral,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,humilis,,1,4,Sometimes
Agaricia lamarcki,Whitestar sheet coral,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,Anthozoa,lamarcki,,1,3,Sometimes
Agaricia,,,,,,,,,,,1,,Never
Agaricia tenuifolia,Thin leaf lettuce coral,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,,,,3,4,Sometimes
Agaricia undata,Scroll plate coral,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Agariciidae,Agaricia,,,,1,,Sometimes
Caryophyllia,,,,,,,,,,,2,,Never
Cladacora arbuscula,Tube coral,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Faviidae,,,,,4,5,Never
