TaxaID,OTU_BCG,Rationale
Acropora cervicornis,Acropora cervicornis,
Acropora palmata,Acropora palmata,
Acropora prolifera,Acropora prolifera,
Acropora sp,Acropora,Removed sp and spp designations
Acropora sp.,Acropora,Removed sp and spp designations
Acropora spp,Acropora,Removed sp and spp designations
Acropora spp.,Acropora,Removed sp and spp designations
Agaricia agaricites,Agaricia agaricites,
Agaricia fragilis,Agaricia fragilis,
Agaricia grahamae,Agaricia grahamae,
Agaricia humilis,Agaricia humilis,
Agaricia lamarcki,Agaricia lamarcki,
Agaricia sp,Agaricia,Removed sp and spp designations
Agaricia sp.,Agaricia,Removed sp and spp designations
Agaricia spp,Agaricia,Removed sp and spp designations
Agaricia spp.,Agaricia,Removed sp and spp designations
Agaricia tenuifolia,Agaricia tenuifolia,
Agaricia undata,Agaricia undata,
Caryophyllia n. spp,Caryophyllia,Removed sp and spp designations
Caryophyllia sp,Caryophyllia,Removed sp and spp designations
Caryophyllia sp.,Caryophyllia,Removed sp and spp designations
Caryophyllia spp,Caryophyllia,Removed sp and spp designations
Caryophyllia spp.,Caryophyllia,Removed sp and spp designations
Cladacora arbuscula,Cladacora arbuscula,
Colpophyllia natans,Colpophyllia natans,
Colpophyllia sp,Colpophyllia,Removed sp and spp designations
Colpophyllia sp.,Colpophyllia,Removed sp and spp designations
Colpophyllia spp,Colpophyllia,Removed sp and spp designations
Colpophyllia spp.,Colpophyllia,Removed sp and spp designations
Dendrogyra cylindrus,Dendrogyra cylindrus,
Dichocoenia stokesii,Dichocoenia stokesii,
Diploria labyrinthiformis,Diploria labyrinthiformis,
Diploria sp,Diploria,Removed sp and spp designations
Diploria sp.,Diploria,Removed sp and spp designations
Diploria spp,Diploria,Removed sp and spp designations
Diploria spp.,Diploria,Removed sp and spp designations
Eusmilia fastigiata,Eusmilia fastigiata,
Favia fragum,Favia fragum,
Helioseris cucullata,Helioseris cucullata,
Isophyllastrea rigida,Isophyllastrea rigida,
Isophyllia sinuosa,Isophyllia sinuosa,
Isophyllia sp,Isophyllia,Removed sp and spp designations
Isophyllia sp.,Isophyllia,Removed sp and spp designations
Isophyllia spp,Isophyllia,Removed sp and spp designations
Isophyllia spp.,Isophyllia,Removed sp and spp designations
Madracis auretenra,Madracis auretenra,
Madracis carmabi,Madracis carmabi,
Madracis decactis,Madracis decactis,
Madracis formosa,Madracis formosa,
Madracis pharensis,Madracis pharensis,
Madracis senaria,Madracis senaria,
Madracis sp,Madracis,Removed sp and spp designations
Madracis sp.,Madracis,Removed sp and spp designations
Madracis spp,Madracis,Removed sp and spp designations
Madracis spp.,Madracis,Removed sp and spp designations
Manicina areolata,Manicina areolata,
Meandrina danae,Meandrina danae,
Meandrina jacksoni,Meandrina jacksoni,
Meandrina meandrites,Meandrina meandrites,
Meandrina sp,Meandrina,Removed sp and spp designations
Meandrina sp.,Meandrina,Removed sp and spp designations
Meandrina spp,Meandrina,Removed sp and spp designations
Meandrina spp.,Meandrina,Removed sp and spp designations
Millepora alcicornis,Millepora alcicornis,
Millepora complanata,Millepora complanata,
Montastraea cavernosa,Montastraea cavernosa,
Mussa angulosa,Mussa angulosa,
Mycetophyllia aliciae,Mycetophyllia aliciae,
Mycetophyllia danaana,Mycetophyllia danaana,
Mycetophyllia ferox,Mycetophyllia ferox,
Mycetophyllia lamarckiana,Mycetophyllia lamarckiana,
Mycetophyllia reesi,Mycetophyllia reesi,
Mycetophyllia sp,Mycetophyllia,Removed sp and spp designations
Mycetophyllia sp.,Mycetophyllia,Removed sp and spp designations
