TAXAID,COMMONNAME,FAMILY,newFAMILY,GENUS,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION,TYPE,SCC,SCC_Summary,USGS_range,Thermal_indicator,CONNECTIVITY
ANGUILLA ROSTRATA,AMERICAN EEL,ANGUILLIDAE,,ANGUILLA,2,II,2_MIDDLE,II,2,NATIVE,TC,,,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=310,,TRUE
CYCLEPTUS ELONGATUS,BLUE SUCKER,CATOSTOMIDAE,,CYCLEPTUS,3,III,3_BETTER,IIIa,3,NATIVE,IV,B,BROADCASTER; MIGRATORY; LITHOPHIL,,FALSE,,,,TRUE
HIODON ALOSOIDES,GOLDEYE,HIODONTIDAE,,HIODON,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=726,,TRUE
HYBOGNATHUS ARGYRITIS,WESTERN SILVERY MINNOW,CYPRINIDAE,LEUCISCIDAE,HYBOGNATHUS,2,II,2_MIDDLE,II,2,NATIVE,OM,F,,,TRUE,SCC_T_Endmc,,,TRUE
HYBOGNATHUS PLACITUS,PLAINS MINNOW,CYPRINIDAE,LEUCISCIDAE,HYBOGNATHUS,2,II,2_MIDDLE,II,2,NATIVE,HB,F,,,TRUE,SCC_Thrtnd,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=545,,TRUE
ICHTHYOMYZON CASTANEUS,CHESTNUT LAMPREY,PETROMYZONTIDAE,,ICHTHYOMYZON,3,III,3_BETTER,IIIa,3,NATIVE,TC,,SIMPLE NEST; LITHOPHIL,,TRUE,SCC_Thrtnd,,,TRUE
ICHTHYOMYZON UNICUSPIS,SILVER LAMPREY,PETROMYZONTIDAE,,ICHTHYOMYZON,3,III,3_BETTER,IIIa,3,NATIVE,TC,F,SIMPLE NEST; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=834,,TRUE
MACRHYBOPSIS AESTIVALIS,SPECKLED CHUB,CYPRINIDAE,LEUCISCIDAE,MACRHYBOPSIS,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER,,FALSE,,,,TRUE
MACRHYBOPSIS AUSTRALIS,PRAIRIE CHUB,CYPRINIDAE,LEUCISCIDAE,MACRHYBOPSIS,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,,,FALSE,,,,TRUE
MACRHYBOPSIS HYOSTOMA,SHOAL CHUB,CYPRINIDAE,LEUCISCIDAE,MACRHYBOPSIS,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,,,TRUE,Threatened,,,TRUE
