TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,LIFE_CYCLE,AirBreather,HABSTRUCT,HABSTRUCT_Full,BioticIndex_MO,BISource_MO,FFG_MO,PrimaryFFG_MO,SecondaryFFG_MO,FFG_Source,FHG_MO,PrimaryHabit_MO,SecondaryHabit_MO,FHG_Source,Phylum,Class,Subclass,Order,Family,Subfamily,Tribe,Genus
ABLABESMYIA,FALSE,4,4_middle,PR,SP,multi,FALSE,,,6.4,L*,"Pr,Ga",PR,GA,MC,Sp,SP,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA
ACARINA,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,ARACHNIDA,,,,,,
ACENTRELLA,FALSE,4,4_middle,CG,SW,multi,FALSE,CS,coarse,4,B,Ga,GA,,MC,"Sw,Cg",SW,CG,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,ACENTRELLA
ACERPENNA,FALSE,4,4_middle,CG,SW,multi,FALSE,,,3.7,L,Ga,GA,,MC,"Sw,Cg",SW,CG,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,ACERPENNA
ACILIUS,FALSE,4,4_middle,PR,SW,uni,TRUE,,,9,KY,"Pr,Pi",PR,PI,MC,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,ACILIUS
ACILIUS FRATERNUS,FALSE,4,4_middle,PR,SW,uni,TRUE,,,9,KY,"Pr,Pi",PR,PI,MC,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,ACILIUS
ACRONEURIA,FALSE,3,,PR,CN,semi,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ACRONEURIA
AEDES,FALSE,4,4_middle,CF,SW,multi,TRUE,,,5.5,KS,"Ga,Fi",GA,FI,MC,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,DIPTERA,CULICIDAE,,,AEDES
AESHNA,FALSE,4,4_middle,PR,CB,semi,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,AESHNA
AESHNIDAE,FALSE,4,4_middle,PR,"CB,CN",uni,FALSE,,,3,H,Pr,PR,,MC,Cl,CL,,,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,
AGABUS,FALSE,4,4_middle,PR,SW,semi,TRUE,RM,root_mat,5,B,"Pr,Pi",PR,PI,MC,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,AGABUS
AGAPETUS,FALSE,2,,,,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,TRICHOPTERA,GLOSSOSOMATIDAE,,,AGAPETUS
AGNETINA CAPITATA,FALSE,3,,PR,CN,semi,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,AGNETINA
AGNETINA FLAVESCENS,FALSE,3,,PR,CN,semi,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,AGNETINA
AGRYPNIA,FALSE,4,4_middle,SH,,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,TRICHOPTERA,PHRYGANEIDAE,,,AGRYPNIA
ALLOCAPNIA,FALSE,3,,SH,"SP,CN",uni,FALSE,CS,coarse,2.8,L,Sh,SH,,MC,Cg,CG,,,ARTHROPODA,INSECTA,,PLECOPTERA,CAPNIIDAE,,,ALLOCAPNIA
ALLOCRANGONYX,FALSE,,,CG,SP,,FALSE,,,,,,,,,,,,,ARTHROPODA,CRUSTACEA,,AMPHIPODA,ALLOCRANGONYCTIDAE,,,ALLOCRANGONYX
ALLOGNOSTA,FALSE,4,4_worse,CG,SP,NA,TRUE,,,10,KY,Ga,GA,,MC,"Sp,Bu",SP,BU,,ARTHROPODA,INSECTA,,DIPTERA,STRATIOMYIDAE,,,ALLOGNOSTA
ALLOPERLA,FALSE,2,,PR,CN,uni,FALSE,,,1.4,L,Pr,PR,,MC,Cg,CG,,,ARTHROPODA,INSECTA,,PLECOPTERA,CHLOROPERLIDAE,,,ALLOPERLA
AMELETIDAE,FALSE,3,,SC,SW,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,AMELETIDAE,,,
AMELETUS,FALSE,3,,SC,SW,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,AMELETIDAE,,,AMELETUS
AMELETUS LINEATUS,FALSE,3,,SC,SW,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,AMELETIDAE,,,AMELETUS
AMELETUS LUDENS,FALSE,3,,SC,SW,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,AMELETIDAE,,,AMELETUS
AMERCAENIS,FALSE,4,4_middle,"CF,CG",SP,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,AMERCAENIS
AMPHIAGRION,FALSE,,,PR,"CN,CB",,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,AMPHIAGRION
AMPHINEMURA,FALSE,3,,SH,"SP,CN",uni,FALSE,CS,coarse,3.4,L,"Sh,Ga",SH,GA,MC,"Sp,Cg",SP,CG,,ARTHROPODA,INSECTA,,PLECOPTERA,NEMOURIDAE,,,AMPHINEMURA
AMPHIPODA,FALSE,,,CG,SP,,FALSE,,,,,,,,,,,,,ARTHROPODA,MALACOSTRACA,,AMPHIPODA,,,,
ANACAENA,FALSE,4,4_middle,PR,BU,uni,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,ANACAENA
ANAFROPTILUM,FALSE,4,4_middle,CG,SW,NA,FALSE,,,6.3,L,"Ga,Sc",GA,SC,MC,"Sw,Cg",SW,CG,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,ANAFROPTILUM
ANAX,FALSE,4,4_worse,PR,"CB,CN","multi,uni",FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,ANAX
ANCYLIDAE,FALSE,4,4_middle,SC,CB,uni,FALSE,,,7.1,L***,Sc,SC,,EPA,,,,,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,ANCYLIDAE,,,
ANCYRONYX,FALSE,4,4_middle,CG,CN,"semi,uni",FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,,ANCYRONYX
ANCYRONYX VARIEGATUS,FALSE,4,4_middle,CG,CN,"semi,uni",FALSE,SG,snag,6.9,L,"Ga,Sc",GA,SC,MC,"Cg,Sp",CG,SP,,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,,ANCYRONYX
ANISOPTERA,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,ODONATA,,,,
ANOPHELES,FALSE,4,4_middle,CF,SW,multi,TRUE,,,9.1,L,Fi,FI,,MC,Sw,SW,,,ARTHROPODA,INSECTA,,DIPTERA,CULICIDAE,,,ANOPHELES
ANTHOPOTAMUS,FALSE,4,4_worse,CF,BU,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,POTAMANTHIDAE,,,ANTHOPOTAMUS
ANTOCHA,FALSE,3,,CG,CN,multi,FALSE,,,4.6,L,Ga,GA,,MC,Cg,CG,,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,,ANTOCHA
