orig_TaxaID,OTU_BCG_MO,ModifiedBCG,Notes
ABLABESMYIA,ABLABESMYIA,FALSE,
ACARINA,ACARINA,FALSE,
ACENTRELLA,ACENTRELLA,FALSE,
ACERPENNA,ACERPENNA,FALSE,
ACILIUS,ACILIUS,FALSE,
ACILIUS FRATERNUS,ACILIUS FRATERNUS,FALSE,
ACRONEURIA,ACRONEURIA,FALSE,
AEDES,AEDES,FALSE,
AESHNA,AESHNA,FALSE,
AESHNIDAE,AESHNIDAE,FALSE,
AGABUS,AGABUS,FALSE,
AGAPETUS,AGAPETUS,FALSE,
AGNETINA CAPITATA,AGNETINA CAPITATA,FALSE,
AGNETINA FLAVESCENS,AGNETINA FLAVESCENS,FALSE,
AGRYPNIA,AGRYPNIA,FALSE,
ALLOCAPNIA,ALLOCAPNIA,FALSE,
ALLOCRANGONYX,ALLOCRANGONYX,FALSE,
ALLOGNOSTA,ALLOGNOSTA,FALSE,
ALLOGNOSTRA,ALLOGNOSTA,TRUE,misspelling
ALLOPERLA,ALLOPERLA,FALSE,
AMELETIDAE,AMELETIDAE,FALSE,
AMELETUS,AMELETUS,FALSE,
AMELETUS LINEATUS,AMELETUS LINEATUS,FALSE,
AMELETUS LUDENS,AMELETUS LUDENS,FALSE,
AMERCAENIS,AMERCAENIS,FALSE,
AMPHIAGRION,AMPHIAGRION,FALSE,
AMPHINEMURA,AMPHINEMURA,FALSE,
AMPHIPODA,AMPHIPODA,FALSE,
ANACAENA,ANACAENA,FALSE,
ANAFROPTILUM,ANAFROPTILUM,FALSE,
ANAX,ANAX,FALSE,
ANCYLIDAE,ANCYLIDAE,FALSE,
ANCYRONYX,ANCYRONYX,FALSE,
ANCYRONYX VARIEGATUS,ANCYRONYX VARIEGATUS,FALSE,
ANISOPTERA,ANISOPTERA,FALSE,
ANOPHELES,ANOPHELES,FALSE,
ANTHOPOTAMUS,ANTHOPOTAMUS,FALSE,
ANTOCHA,ANTOCHA,FALSE,
APEDILUM,APEDILUM,FALSE,
APOBAETIS,APOBAETIS,FALSE,
AQUARIUS,AQUARIUS,FALSE,
ARCHILESTES,ARCHILESTES,FALSE,
ARGIA,ARGIA,FALSE,
ARIGOMPHUS,ARIGOMPHUS,FALSE,
ASELLIDAE,ASELLIDAE,FALSE,
ASHEUM BECKAE,ASHEUM BECKAE,FALSE,
ATHERIX,ATHERIX,FALSE,
ATTANEURIA RURALIS,ATTANEURIA RURALIS,FALSE,
AULODRILUS,AULODRILUS,FALSE,
AULODRILUS PIGUETI,AULODRILUS PIGUETI,FALSE,
AXARUS,AXARUS,FALSE,
BACTRURUS,BACTRURUS,FALSE,
BAETIDAE,BAETIDAE,FALSE,
BAETIS,BAETIS,FALSE,
BAETISCA,BAETISCA,FALSE,
BAETISCA LACUSTRIS,BAETISCA LACUSTRIS,FALSE,
BAETISCA OBESA,BAETISCA OBESA,FALSE,
BAETISCIDAE,BAETISCIDAE,FALSE,
BANKSIOLA,BANKSIOLA,FALSE,
BARBAETIS,BARBAETIS,FALSE,
BASIAESCHNA,BASIAESCHNA,FALSE,
BASIAESCHNA JANATA,BASIAESCHNA JANATA,FALSE,
BELLURA,BELLURA,FALSE,
BELOSTOMA,BELOSTOMA,FALSE,
BEROSUS,BEROSUS,FALSE,
BEZZIA/PALPOMYIA,BEZZIA/PALPOMYIA,FALSE,
BIDESSONOTUS,BIDESSONOTUS,FALSE,
BITTACOMORPHA,BITTACOMORPHA,FALSE,
BOYERIA,BOYERIA,FALSE,
BRACHYCERCUS,BRACHYCERCUS,FALSE,
BRACHYVATUS,BRACHYVATUS,FALSE,
BRACONIDAE,BRACONIDAE,FALSE,
BRANCHIOBDELLIDA,BRANCHIOBDELLIDA,FALSE,
BRANCHIURA SOWERBYI,BRANCHIURA SOWERBYI,FALSE,
BRILLIA,BRILLIA,FALSE,
BRYOPHAENOCLADIUS,BRYOPHAENOCLADIUS,FALSE,
BUENOA,BUENOA,FALSE,
CAECIDOTEA,CAECIDOTEA,FALSE,
CAECIDOTEA (BLIND & UNPIGMENTED),CAECIDOTEA,TRUE,naming scheme
CAECIDOTEA (EPIGEAN),CAECIDOTEA,TRUE,naming scheme
CAECIDOTEA (HYPOGEAN),CAECIDOTEA,TRUE,naming scheme
CAENIDAE,CAENIDAE,FALSE,
CAENIS,CAENIS,FALSE,
CAENIS AMICA,CAENIS AMICA,FALSE,
CAENIS ANCEPS,CAENIS ANCEPS,FALSE,
CAENIS HILARIS,CAENIS HILARIS,FALSE,
CAENIS LATIPENNIS,CAENIS LATIPENNIS,FALSE,
CAENIS PUNCTATA,CAENIS PUNCTATA,FALSE,
CALLIBAETIS,CALLIBAETIS,FALSE,
CALOPARYPHUS,CALOPARYPHUS,FALSE,
CALOPTERYGIDAE,CALOPTERYGIDAE,FALSE,
CALOPTERYX,CALOPTERYX,FALSE,
CAMBARELLUS PUER,CAMBARELLUS PUER,FALSE,
CAMBARIDAE,CAMBARIDAE,FALSE,
CAMBARUS DIOGENES,CAMBARUS DIOGENES,FALSE,
CAMBARUS HUBBSI,CAMBARUS HUBBSI,FALSE,
CAMBARUS MACULATUS,CAMBARUS MACULATUS,FALSE,
CAMPELOMA,CAMPELOMA,FALSE,
CAPNIIDAE,CAPNIIDAE,FALSE,
CARDIOCLADIUS,CARDIOCLADIUS,FALSE,
CENTROPTILUM,ANAFROPTILUM,TRUE,nomenclature change
CERACLEA,CERACLEA,FALSE,
CERATOPOGONIDAE,CERATOPOGONIDAE,FALSE,
CERATOPOGONINAE,CERATOPOGONINAE,FALSE,
CERATOPSYCHE,CERATOPSYCHE,FALSE,
CERATOPSYCHE MOROSA GROUP,CERATOPSYCHE MOROSA GROUP,FALSE,
CERATOPSYCHE MOROSA GRP,CERATOPSYCHE MOROSA GROUP,TRUE,naming scheme (group)
CERATOPSYCHE PIATRIX,CERATOPSYCHE PIATRIX,FALSE,
CERATOPSYCHE SLOSSONAE,CERATOPSYCHE SLOSSONAE,FALSE,
CERCOBRACHYS,CERCOBRACHYS,FALSE,
CERNOTINA,CERNOTINA,FALSE,
CHAETARTHRIA,CHAETARTHRIA,FALSE,
CHAETOCLADIUS,CHAETOCLADIUS,FALSE,
CHAOBORUS,CHAOBORUS,FALSE,
CHAULIODES,CHAULIODES,FALSE,
CHAULIODES PECTINICORNIS,CHAULIODES PECTINICORNIS,FALSE,
CHAULIODES RASTRICORNIS,CHAULIODES RASTRICORNIS,FALSE,
CHELIFERA,CHELIFERA,FALSE,
CHEUMATOPSYCHE,CHEUMATOPSYCHE,FALSE,
CHEUMATOSPYCHE,CHEUMATOPSYCHE,TRUE,misspelling
CHIMARRA,CHIMARRA,FALSE,
CHIRONOMIDAE,CHIRONOMIDAE,FALSE,
CHIRONOMINAE,CHIRONOMINAE,FALSE,
CHIRONOMINI,CHIRONOMINI,FALSE,
CHIRONOMUS,CHIRONOMUS,FALSE,
CHLOROPERLIDAE,CHLOROPERLIDAE,FALSE,
CHLOROTABANUS,CHLOROTABANUS,FALSE,
CHORDODIDAE,CHORDODIDAE,FALSE,
CHOROTERPES,CHOROTERPES,FALSE,
CHROMAGRION,CHROMAGRION,FALSE,
CHRYSOMELIDAE,CHRYSOMELIDAE,FALSE,
CHRYSOPS,CHRYSOPS,FALSE,
CLADOPELMA,CLADOPELMA,FALSE,
CLADOTANYTARSUS,CLADOTANYTARSUS,FALSE,
CLIMACIA,CLIMACIA,FALSE,
CLINOCERA,CLINOCERA,FALSE,
CLINOTANYPUS,CLINOTANYPUS,FALSE,
CLIOPERLA CLIO,CLIOPERLA CLIO,FALSE,
CNEPHIA,CNEPHIA,FALSE,
COELOTANYPUS,COELOTANYPUS,FALSE,
COENAGRIONIDAE,COENAGRIONIDAE,FALSE,
COLEOPTERA,COLEOPTERA,FALSE,
CONCHAPELOPIA,CONCHAPELOPIA,FALSE,
CONSTEMPELLINA,CONSTEMPELLINA,FALSE,
COPELATUS,COPELATUS,FALSE,
COPTOTOMUS,COPTOTOMUS,FALSE,
CORBICULA,CORBICULA,FALSE,
CORDULEGASTER,CORDULEGASTER,FALSE,
CORDULIIDAE,CORDULIIDAE,FALSE,
CORDULIINAE,CORDULIINAE,FALSE,
CORISELLA,CORISELLA,FALSE,
CORIXIDAE,CORIXIDAE,FALSE,
CORYDALUS,CORYDALUS,FALSE,
CORYNONEURA,CORYNONEURA,FALSE,
COSSIDAE,COSSIDAE,FALSE,
CRAMBIDAE,CRAMBIDAE,FALSE,
CRANGONYX,CRANGONYX,FALSE,
CRICOTOPUS /ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,TRUE,space
CRICOTOPUS BICINCTUS,CRICOTOPUS BICINCTUS GROUP,TRUE,naming scheme (group)
CRICOTOPUS BICINCTUS GROUP,CRICOTOPUS BICINCTUS GROUP,FALSE,
CRICOTOPUS SYLVESTRIS GROUP,CRICOTOPUS SYLVESTRIS GROUP,FALSE,
CRICOTOPUS SYLVESTRIS GRP,CRICOTOPUS SYLVESTRIS GROUP,TRUE,naming scheme (group)
CRICOTOPUS TRIFASCIA,CRICOTOPUS TRIFASCIA,FALSE,
CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,FALSE,
CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS,FALSE,
CRYPTOLABIS,CRYPTOLABIS,FALSE,
CRYPTOTENDIPES,CRYPTOTENDIPES,FALSE,
CULEX,CULEX,FALSE,
CULICIDAE,CULICIDAE,FALSE,
CULISETA,CULISETA,FALSE,
CYBISTER,CYBISTER,FALSE,
CYCLORRHAPHOUS-BRACHYCERA,CYCLORRHAPHOUS-BRACHYCERA,FALSE,
CYMBIODYTA,CYMBIODYTA,FALSE,
CYRNELLUS,CYRNELLUS,FALSE,
CYRNELLUS FRATERNUS,CYRNELLUS FRATERNUS,FALSE,
DACTYLOLABIS,DACTYLOLABIS,FALSE,
DANNELLA,DANNELLA,FALSE,
DANNELLA LITA,DANNELLA LITA,FALSE,
DASYHELEINAE,DASYHELEINAE,FALSE,
DEMICRYPTOCHIRONOMUS,DEMICRYPTOCHIRONOMUS,FALSE,
DESMOPACHNIA,DESMOPACHRIA,TRUE,misspelling
DESMOPACHRIA,DESMOPACHRIA,FALSE,
DIAMESA,DIAMESA,FALSE,
DIBUSA ANGATA,DIBUSA ANGATA,FALSE,
DICRANOPSELAPHUS,DICRANOPSELAPHUS,FALSE,
DICRANOTA,DICRANOTA,FALSE,
DICROTENDIPES,DICROTENDIPES,FALSE,
DIDYMOPS,DIDYMOPS,FALSE,
DINEUTUS,DINEUTUS,FALSE,
DIPHETOR,DIPHETOR,FALSE,
DIPLECTRONA,DIPLECTRONA,FALSE,
DIPLOCLADIUS,DIPLOCLADIUS,FALSE,
DIPTERA,DIPTERA,FALSE,
DIXA,DIXA,FALSE,
DIXELLA,DIXELLA,FALSE,
DIXIDAE,DIXIDAE,FALSE,
DJALMABATISTA,DJALMABATISTA,FALSE,
DOLICHOPODIDAE,DOLICHOPODIDAE,FALSE,
DROMOGOMPHUS,DROMOGOMPHUS,FALSE,
DRYOPIDAE,DRYOPIDAE,FALSE,
DUBIRAPHIA,DUBIRAPHIA,FALSE,
DYTHEMIS,DYTHEMIS,FALSE,
DYTISCIDAE,DYTISCIDAE,FALSE,
DYTISCUS,DYTISCUS,FALSE,
ECTOPRIA,ECTOPRIA,FALSE,
ECTOPRIA NERVOSA,ECTOPRIA NERVOSA,FALSE,
EINFELDIA,EINFELDIA,FALSE,
ELIMIA,ELIMIA,FALSE,
ELIMIDAE,ELMIDAE,TRUE,misspelling
ELMIDAE,ELMIDAE,FALSE,
EMPIDIDAE,EMPIDIDAE,FALSE,
ENALLAGMA,ENALLAGMA,FALSE,
ENCHYTRAEIDAE,ENCHYTRAEIDAE,FALSE,
ENDOCHIRONOMUS,ENDOCHIRONOMUS,FALSE,
ENDOTRIBELOS,ENDOTRIBELOS,FALSE,
ENOCHRUS,ENOCHRUS,FALSE,
EPHEMERA,EPHEMERA,FALSE,
EPHEMERA SIMULANS,EPHEMERA SIMULANS,FALSE,
EPHEMERELLA,EPHEMERELLA,FALSE,
EPHEMERELLA INVARIA,EPHEMERELLA INVARIA,FALSE,
EPHEMERELLA NEEDHAMI,EPHEMERELLA NEEDHAMI,FALSE,
EPHEMERELLA SUBVARIA,EPHEMERELLA SUBVARIA,FALSE,
EPHEMERELLIDAE,EPHEMERELLIDAE,FALSE,
EPHEMERIDAE,EPHEMERIDAE,FALSE,
EPHEMEROPTERA,EPHEMEROPTERA,FALSE,
EPHORON,EPHORON,FALSE,
EPHYDRIDAE,EPHYDRIDAE,FALSE,
EPIAESCHNA HEROS,EPIAESCHNA HEROS,FALSE,
EPICORDULIA,EPICORDULIA,FALSE,
EPITHECA (EPICORDULIA),EPITHECA (EPICORDULIA),FALSE,
EPITHECA (TETRAGONEURIA),EPITHECA (TETRAGONEURIA),FALSE,
EPOICOCLADIUS,EPOICOCLADIUS,FALSE,
ERIOPTERA,ERIOPTERA,FALSE,
ERPETOGOMPHUS,ERPETOGOMPHUS,FALSE,
ERPOBDELLIDAE,ERPOBDELLIDAE,FALSE,
ERYTHEMIS,ERYTHEMIS,FALSE,
ERYTHRODIPLAX,ERYTHRODIPLAX,FALSE,
EUBRANCHIPUS SERRATUS,EUBRANCHIPUS SERRATUS,FALSE,
EUKIEFFERIELLA,EUKIEFFERIELLA,FALSE,
EUKIEFFERIELLA BREHMI GROUP,EUKIEFFERIELLA BREHMI GROUP,FALSE,
EUKIEFFERIELLA BREHMI GRP,EUKIEFFERIELLA BREHMI GROUP,TRUE,naming scheme (group)
EUKIEFFERIELLA BREMI GROUP,EUKIEFFERIELLA BREHMI GROUP,TRUE,misspelling and naming scheme (group)
EUKIEFFERIELLA BREVICALCAR GROUP,EUKIEFFERIELLA BREVICALCAR GROUP,FALSE,
EUKIEFFERIELLA CLARIPENNIS GROUP,EUKIEFFERIELLA CLARIPENNIS GROUP,FALSE,
EUKIEFFERIELLA DEVONICA GROUP,EUKIEFFERIELLA DEVONICA GROUP,FALSE,
EUKIEFFERIELLA DEVONICA GRP,EUKIEFFERIELLA DEVONICA GROUP,TRUE,naming scheme (group)
EUKIEFFERIELLA GRACEI GROUP,EUKIEFFERIELLA GRACEI GROUP,FALSE,
EUKIEFFERIELLA GRACEI GRP,EUKIEFFERIELLA GRACEI GROUP,TRUE,naming scheme (group)
EUPARYPHUS,EUPARYPHUS,FALSE,
EURYLOPHELLA,EURYLOPHELLA,FALSE,
EURYLOPHELLA AESTIVA,EURYLOPHELLA AESTIVA,FALSE,
EURYLOPHELLA BICOLOR,EURYLOPHELLA BICOLOR,FALSE,
EURYLOPHELLA ENOENSIS,EURYLOPHELLA ENOENSIS,FALSE,
EURYLOPHELLA MACDUNNOUGHI,EURYLOPHELLA MACDUNNOUGHI,FALSE,
FALLCEON,FALLCEON,FALSE,
FALLICAMBARUS FODIENS,FALLICAMBARUS FODIENS,FALSE,
FAXONIUS,FAXONIUS,FALSE,
FAXONIUS HARRISONII,FAXONIUS HARRISONII,FALSE,
FAXONIUS HYLAS,FAXONIUS HYLAS,FALSE,
FAXONIUS IMMUNIS,FAXONIUS IMMUNIS,FALSE,
FAXONIUS LONGIDIGITUS,FAXONIUS LONGIDIGITUS,FALSE,
FAXONIUS LUTEUS,FAXONIUS LUTEUS,FALSE,
FAXONIUS MACRUS,FAXONIUS MACRUS,FALSE,
FAXONIUS MEDIUS,FAXONIUS MEDIUS,FALSE,
FAXONIUS NEGLECTUS,FAXONIUS NEGLECTUS,FALSE,
FAXONIUS OZARKAE,FAXONIUS OZARKAE,FALSE,
FAXONIUS PALMERI,FAXONIUS PALMERI,FALSE,
FAXONIUS PERUNCUS,FAXONIUS PERUNCUS,FALSE,
FAXONIUS PUNCTIMANUS,FAXONIUS PUNCTIMANUS,FALSE,
FAXONIUS QUADRUNCUS,FAXONIUS QUADRUNCUS,FALSE,
FAXONIUS VIRILIS,FAXONIUS VIRILIS,FALSE,
