TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Full,LIFE_CYCLE,AirBreather,Taxon_Group,TSN,Synonyms,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon Authority,Taxon Authority Source,Tetra Tech AddIn,TolVal_NE,FFG_NE,Habit_NE,BenTaxaID
ABLABESMYIA,FALSE,4,4_middle,PR,SP,,,multi,FALSE,Chironomidae,128079,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,,ABLABESMYIA,,,,,,"Johannsen, 1905",ITIS,,8,Filterer,Burrower,330
ACARI,FALSE,,,PR,CN,,,,FALSE,Other Non-Insect,733321,Hydracarina,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,,,,,,,,,,,,,,"Leach, 1817",Other,,6,,,14443
ACENTRELLA,FALSE,4,4_middle,CG,"SW,CN",CS,coarse,multi,FALSE,Ephemeroptera,100801,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,ACENTRELLA,,,,,,"Bengtsson, 1912",ITIS,,4,Collector,Clinger,388
ACENTRELLA INSIGNIFICANS,FALSE,4,4_middle,CG,"SW,CN",CS,coarse,multi,FALSE,Ephemeroptera,568572,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,ACENTRELLA,,,,,INSIGNIFICANS,"(McDunnough, 1926)",ITIS,,4,Collector,Clinger,10664
ACENTRELLA PARVULA,FALSE,4,4_middle,CG,SW,,,multi,FALSE,Ephemeroptera,609530,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,ACENTRELLA,,,,,PARVULA,"(McDunnough, 1932)",ITIS,,4,Collector,Clinger,10665
ACERPENNA,FALSE,4,4_middle,CG,SW,,,multi,FALSE,Ephemeroptera,568546,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,ACERPENNA,,,,,,"Waltz and McCafferty, 1987",ITIS,,4,Shredder,Swimmer,214
ACILIUS,FALSE,4,4_middle,PR,SW,,,uni,TRUE,Coleoptera,112074,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,DYTISCINAE,ACILIINI,,ACILIUS,,,,,,"Leach, 1817",ITIS,,6,Predator,Swimmer,1517
ACRICOTOPUS,FALSE,,,,,,,,FALSE,Chironomidae,128463,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,ACRICOTOPUS,,,,,,"Kieffer, 1921",Other,,6,Collector,Sprawler,8156
ACRONEURIA,FALSE,3,,PR,CN,,,semi,FALSE,Plecoptera,102917,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,,ACRONEURIA,,,,,,"Pictet, 1841",ITIS,,1,Predator,Clinger,1746
ACRONEURIA ABNORMIS,FALSE,3,,PR,CN,,,semi,FALSE,Plecoptera,102919,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,,ACRONEURIA,,,,,ABNORMIS,"(Newman, 1838)",ITIS,,1,Predator,Clinger,1745
ACTINOBDELLA,FALSE,,,,,,,,FALSE,Other Non-Insect,69384,,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,,,GLOSSIPHONIIDAE,HAEMENTERIINAE,,,ACTINOBDELLA,,,,,,"Moore, 1901",ITIS,,2,Predator,Clinger,1391
ACTINOBDELLA INEQUIANNULATA,FALSE,,,PR,SP,,,,FALSE,Other Non-Insect,69386,,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,,,GLOSSIPHONIIDAE,HAEMENTERIINAE,,,ACTINOBDELLA,,,,,INEQUIANNULATA,"Moore, 1901",ITIS,,2,Predator,Clinger,1390
ACTINONAIAS LIGAMENTINA,FALSE,,,,,,,,FALSE,Other Non-Insect,80193,,ANIMALIA,MOLLUSCA,,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,,,UNIONIDAE,,,,ACTINONAIAS,,,,,LIGAMENTINA,"(Lamarck, 1819)",ITIS,,1,Filterer,Burrower,2212
AEDES,FALSE,4,4_middle,CF,SW,,,multi,TRUE,Diptera,126234,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CULICIDAE,CULICINAE,CULICINI,,AEDES,,,,,,"Meigen, 1818",ITIS,,8,Filterer,Swimmer,1900
AESHNA,FALSE,4,4_middle,PR,CB,,,semi,FALSE,Odonata,101603,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,AESHNIDAE,,,,AESHNA,,,,,,"Fabricius, 1775",ITIS,,6,Predator,Climber,2098
