TaxaID,NonTarget,BCG_Attr_roman,BCG_Attr,BCG_Attr2,FFG,Habit,HABSTRUCT,LIFE_CYCLE,AirBreather,LargeRiver,Rank,Taxon_Group,Ins,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,Genus,Species,OCC_RefNum,OCC_NotUsedForEPT,OWRB_TOLVAL,OCC_HBI_score,OWRB_FFG,OCC_FFG,OWRB_Habit,OWRB_LIFE_CYCLE
ABLABESMYIA,FALSE,IV_middle,4,4_middle,PR,SP,,multi,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,6.4,,"CG,PR",,UNKN,MULTI
ACARI,FALSE,,,,PR,CN,,,0,,SubClass,OTHER NON-INSECT,,ANIMALIA,ARTHROPODA,CHELICERATA,ARACHNIDA,ACARI,,,,,,,,,23,,,4,,,,
ACENTRELLA,FALSE,IV_middle,4,4_middle,CG,"SW,CN",CS,multi,0,TRUE,Genus,EPHEMEROPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,ACENTRELLA,,122.5,,4,4,CG,CG,UNKN,MULTI
ACENTRIA,FALSE,,,,,,,,0,,Genus,INSECT_OTHER,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,LEPIDOPTERA,,,CRAMBIDAE,,,ACENTRIA,,161.5,,,5,,SH,,
ACERPENNA,FALSE,IV_middle,4,4_middle,CG,SW,,multi,0,FALSE,Genus,EPHEMEROPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,ACERPENNA,,122.7,,4,4,OM,OM,UNKN,UNKN
ACRONEURIA,FALSE,III,3,,PR,CN,,semi,0,TRUE,Genus,PLECOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,ACRONEURIINAE,ACRONEURIINI,ACRONEURIA,,211,,1,1,PR,,CN,SEMI
ACTINOBDELLA,FALSE,,,,,,,,0,FALSE,Genus,OTHER NON-INSECT,NonIns,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,,,GLOSSIPHONIIDAE,HAEMENTERIINAE,,ACTINOBDELLA,,,,NA,,UN,,UN,UNKN
AEDES,FALSE,IV_middle,4,4_middle,CF,SW,,multi,-1,FALSE,Genus,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CULICIDAE,CULICINAE,CULICINI,AEDES,,,,NA,,CG,,UNKN,UNI
AEOLOSOMA,FALSE,,,,,,,,0,FALSE,Genus,OLIGOCHAETA,NonIns,ANIMALIA,ANNELIDA,,POLYCHAETA,,AELOSOMATIDA,,,AEOLOSOMATIDAE,,,AEOLOSOMA,,6.5,,,,CG,CG,SW,UNKN
AESHNA/RHIONOAESHNA,FALSE,,,,,,,,0,FALSE,Genus slash,ODONATA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,AESHNIDAE,,,,,,,,,,,,
AESHNIDAE,FALSE,IV_middle,4,4_middle,PR,"CB,CN",,uni,0,FALSE,Family,ODONATA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,AESHNIDAE,,,,,,,3,,PR,,UNKN,SEMI
AFGHANURUS,FALSE,,,,,,,,0,FALSE,Genus,EPHEMEROPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,HEPTAGENIIDAE,,,AFGHANURUS,,,,4,,SC,,CN,UNI
AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,FALSE,,,,,,,,,FALSE,Genus slash,COLEOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,AGABINAE,AGABINI,,,,,,,,,,
AGAPETUS,FALSE,II,2,,SC,"SW,CN",,uni,0,FALSE,Genus,TRICHOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,GLOSSOSOMATIDAE,AGAPETINAE,,AGAPETUS,,223,,0,0,SC,SC,CN,UNI
AGNETINA,FALSE,III,3,,PR,CN,,semi,0,FALSE,Genus,PLECOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,SYSTELLOGNATHA,,PERLIDAE,PERLINAE,PERLINI,AGNETINA,,212,,1,1,PR,,CN,UNKN
