Taxon_orig,OTU_BCG_ChiroCoarse,modified_BCG_ChiroCoarse,OTU_BCG_ChiroFine
Ablabesmyia,TANYPODINAE,yes,ABLABESMYIA
Acari,ACARI,,ACARI
Acentrella,ACENTRELLA,,ACENTRELLA
Acentria,ACENTRIA,,ACENTRIA
Acerpenna,ACERPENNA,,ACERPENNA
Acroneuria,ACRONEURIA,,ACRONEURIA
Actinobdella,ACTINOBDELLA,,ACTINOBDELLA
Aedes,AEDES,,AEDES
Aeolosoma,AEOLOSOMA,,AEOLOSOMA
Aeshna,AESHNA/RHIONOAESHNA,yes,AESHNA/RHIONOAESHNA
AESHNA/RHIONOAESHNA,AESHNA/RHIONOAESHNA,,AESHNA/RHIONOAESHNA
Aeshnidae,AESHNIDAE,,AESHNIDAE
Afghanurus,AFGHANURUS,,AFGHANURUS
Agabus,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,yes,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA
AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA,,AGABUS/PLATAMBUS/ILYBIUS/ILYBIOSOMA
Agapetus,AGAPETUS,,AGAPETUS
Agnetina,AGNETINA,,AGNETINA
Albia,ALBIA,,ALBIA
Alisotrichia,ALISOTRICHIA,,ALISOTRICHIA
Allocapnia,ALLOCAPNIA,,ALLOCAPNIA
Allocladius,ORTHOCLADIINAE,yes,ALLOCLADIUS
Alloperla,ALLOPERLA,,ALLOPERLA
Ameletus,AMELETUS,,AMELETUS
Amercaenis,AMERCAENIS,,AMERCAENIS
Amercaenis ridens,AMERCAENIS RIDENS,,AMERCAENIS RIDENS
Amnicola,AMNICOLA,,AMNICOLA
Amphinemura,AMPHINEMURA,,AMPHINEMURA
Amphipoda,AMPHIPODA,,AMPHIPODA
Anacaena,ANACAENA,,ANACAENA
Anafroptilum,ANAFROPTILUM,,ANAFROPTILUM
Anafroptilum/Neocloeon,ANAFROPTILUM/NEOCLOEON,,ANAFROPTILUM/NEOCLOEON
Anax,ANAX,,ANAX
Ancyronyx variegatus,ANCYRONYX VARIEGATUS,,ANCYRONYX VARIEGATUS
Anisoptera,ANISOPTERA,,ANISOPTERA
Anopheles,ANOPHELES,,ANOPHELES
Anthopotamus,ANTHOPOTAMUS,,ANTHOPOTAMUS
Antocha,ANTOCHA,,ANTOCHA
Apedilum,CHIRONOMINI,yes,APEDILUM
Apobaetis,APOBAETIS,,APOBAETIS
Aquarius,AQUARIUS,,AQUARIUS
Arachnida,ARACHNIDA,,ARACHNIDA
Archilestes,ARCHILESTES,,ARCHILESTES
Argia,ARGIA,,ARGIA
Argulus,ARGULUS,,ARGULUS
Arigomphus,ARIGOMPHUS,,ARIGOMPHUS
Arrenurus,ARRENURUS,,ARRENURUS
Asellidae,ASELLIDAE,,ASELLIDAE
Asellus,CAECIDOTEA,yes,CAECIDOTEA
Atherix,ATHERIX,,ATHERIX
Atractides,ATRACTIDES,,ATRACTIDES
Atrichopogon,ATRICHOPOGON,,ATRICHOPOGON
Aturidae,ATURIDAE,,ATURIDAE
Aturus,ATURUS,,ATURUS
Atylotus/Tabanus,TABANINAE,yes,TABANINAE
ATYLOTUS/TABANUS/WHITNEYOMYIA,ATYLOTUS/TABANUS/WHITNEYOMYIA,,ATYLOTUS/TABANUS/WHITNEYOMYIA
Aulodrilus,AULODRILUS,,AULODRILUS
Axarus,CHIRONOMINI,yes,AXARUS
Baetidae,BAETIDAE,,BAETIDAE
Baetis,BAETIS,,BAETIS
Baetisca,BAETISCA,,BAETISCA
Basiaeschna,BASIAESCHNA,,BASIAESCHNA
Basiaeschna janata,BASIAESCHNA JANATA,,BASIAESCHNA JANATA
Belostoma,BELOSTOMA,,BELOSTOMA
Belostoma flumineum,BELOSTOMA,yes,BELOSTOMA
Belostomatidae,BELOSTOMATIDAE,,BELOSTOMATIDAE
Berosus,BEROSUS,,BEROSUS
Bezzia,CERATOPOGONINAE,yes,CERATOPOGONINAE
Bezzia/Palpomyia,CERATOPOGONINAE,yes,CERATOPOGONINAE
Bidessonotus,BIDESSONOTUS,,BIDESSONOTUS
Boyeria,BOYERIA,,BOYERIA
Brachycercinae,BRACHYCERCINAE,,BRACHYCERCINAE
Brachycercus,BRACHYCERCUS,,BRACHYCERCUS
BRACHYPREMNA,BRACHYPREMNA,,BRACHYPREMNA
Branchiobdellida,BRANCHIOBDELLIDA,,BRANCHIOBDELLIDA
Branchiodrilus,BRANCHIODRILUS,,BRANCHIODRILUS
Branchiura,BRANCHIURA,,BRANCHIURA
Branchiura sowerbyi,BRANCHIURA SOWERBYI,,BRANCHIURA SOWERBYI
Bratislavia,BRATISLAVIA,,BRATISLAVIA
Brechmorhoga,BRECHMORHOGA,,BRECHMORHOGA
Brillia,ORTHOCLADIINAE,yes,BRILLIA
Caecidotea,CAECIDOTEA,,CAECIDOTEA
Caenidae,CAENIDAE,,CAENIDAE
Caenis,CAENIS,,CAENIS
Callibaetis,CALLIBAETIS,,CALLIBAETIS
Caloparyphus,CALOPARYPHUS,,CALOPARYPHUS
Calopterygidae,CALOPTERYGIDAE,,CALOPTERYGIDAE
Calopteryx,CALOPTERYX,,CALOPTERYX
Cambaridae,CAMBARIDAE,,CAMBARIDAE
Cambarus,CAMBARUS,,CAMBARUS
Camelobaetidius,CAMELOBAETIDIUS,,CAMELOBAETIDIUS
Campeloma,CAMPELOMA,,CAMPELOMA
Campeloma decisum,CAMPELOMA,yes,CAMPELOMA
Capnia,CAPNIA,,CAPNIA
Capniidae,CAPNIIDAE,,CAPNIIDAE
Cardiocladius,ORTHOCLADIINAE,yes,CARDIOCLADIUS
Centroptilum,ANAFROPTILUM/NEOCLOEON,yes,ANAFROPTILUM/NEOCLOEON
Ceraclea,CERACLEA,,CERACLEA
Ceratopogonidae,CERATOPOGONIDAE,,CERATOPOGONIDAE
Ceratopogoninae,CERATOPOGONINAE,,CERATOPOGONINAE
Ceratopsyche,HYDROPSYCHE MOROSA GROUP,yes,HYDROPSYCHE MOROSA GROUP
Cercobrachys,CERCOBRACHYS,,CERCOBRACHYS
Chaetarthria,CHAETARTHRIA,,CHAETARTHRIA
Chaetogaster,CHAETOGASTER,,CHAETOGASTER
Chamaedrilus,ENCHYTRAEIDAE,yes,ENCHYTRAEIDAE
Chaoborus,CHAOBORUS,,CHAOBORUS
Chauliodes,CHAULIODES,,CHAULIODES
Chelifera,CHELIFERA/METACHELA,yes,CHELIFERA/METACHELA
CHELIFERA/METACHELA,CHELIFERA/METACHELA,,CHELIFERA/METACHELA
Chernovskiia,CHIRONOMINI,yes,CHERNOVSKIIA
Cheumatopsyche,CHEUMATOPSYCHE,,CHEUMATOPSYCHE
Chimarra,CHIMARRA,,CHIMARRA
