TaxaID_orig,Name type,OTU_BCG,Modified_BCG,Rationale
ALOSA CHRYSOCHLORIS,scientific,ALOSA CHRYSOCHLORIS,FALSE,
SKIPJACK HERRING,common,ALOSA CHRYSOCHLORIS,TRUE,common to scientific name
ALOSA PSEUDOHARENGUS,scientific,ALOSA PSEUDOHARENGUS,FALSE,
ALEWIFE,common,ALOSA PSEUDOHARENGUS,TRUE,common to scientific name
AMBLOPLITES ARIOMMUS,scientific,AMBLOPLITES ARIOMMUS,FALSE,
SHADOW BASS,common,AMBLOPLITES ARIOMMUS,TRUE,common to scientific name
AMBLOPLITES CONSTELLATUS,scientific,AMBLOPLITES CONSTELLATUS,FALSE,
OZARK BASS,common,AMBLOPLITES CONSTELLATUS,TRUE,common to scientific name
AMBLOPLITES RUPESTRIS,scientific,AMBLOPLITES RUPESTRIS,FALSE,
ROCK BASS,common,AMBLOPLITES RUPESTRIS,TRUE,common to scientific name
AMEIURUS,scientific,AMEIURUS,FALSE,
BULLHEADS,common,AMEIURUS,TRUE,common to scientific name
AMEIURUS SPP.,scientific,AMEIURUS,TRUE,syntax
AMEIURUS MELAS,scientific,AMEIURUS MELAS,FALSE,
BLACK BULLHEAD,common,AMEIURUS MELAS,TRUE,common to scientific name
AMEIURUS NATALIS,scientific,AMEIURUS NATALIS,FALSE,
YELLOW BULLHEAD,common,AMEIURUS NATALIS,TRUE,common to scientific name
AMEIURUS NEBULOSUS,scientific,AMEIURUS NEBULOSUS,FALSE,
BROWN BULLHEAD,common,AMEIURUS NEBULOSUS,TRUE,common to scientific name
AMIA CALVA,scientific,AMIA CALVA,FALSE,
BOWFIN,common,AMIA CALVA,TRUE,common to scientific name
AMMOCRYPTA CLARA,scientific,AMMOCRYPTA CLARA,FALSE,
WESTERN SAND DARTER,common,AMMOCRYPTA CLARA,TRUE,common to scientific name
AMMOCRYPTA CLARUM,scientific,AMMOCRYPTA CLARA,TRUE,slight name difference
AMMOCRYPTA VIVAX,scientific,AMMOCRYPTA VIVAX,FALSE,
SCALY SAND DARTER,common,AMMOCRYPTA VIVAX,TRUE,common to scientific name
ANGUILLA ROSTRATA,scientific,ANGUILLA ROSTRATA,FALSE,
AMERICAN EEL,common,ANGUILLA ROSTRATA,TRUE,common to scientific name
APHREDODERUS SAYANUS,scientific,APHREDODERUS SAYANUS,FALSE,
PIRATE PERCH,common,APHREDODERUS SAYANUS,TRUE,common to scientific name
APLODINOTUS GRUNNIENS,scientific,APLODINOTUS GRUNNIENS,FALSE,
FRESHWATER DRUM,common,APLODINOTUS GRUNNIENS,TRUE,common to scientific name
APODINOTUS GRUNNIENS,scientific,APLODINOTUS GRUNNIENS,TRUE,misspelling
ATRACTOSTEUS SPATULA,scientific,ATRACTOSTEUS SPATULA,FALSE,
ALLIGATOR GAR,common,ATRACTOSTEUS SPATULA,TRUE,common to scientific name
CAMPOSTOMA,scientific,CAMPOSTOMA,FALSE,
STONEROLLERS,common,CAMPOSTOMA,TRUE,common to scientific name
CAMPOSTOMA SP,scientific,CAMPOSTOMA,TRUE,syntax
CAMPOSTOMA SP.,scientific,CAMPOSTOMA,TRUE,syntax
CAMPOSTOMA SPP.,scientific,CAMPOSTOMA,TRUE,syntax
CAMPOSTOMA ANOMALUM,scientific,CAMPOSTOMA ANOMALUM,FALSE,
CENTRAL STONEROLLER,common,CAMPOSTOMA ANOMALUM,TRUE,common to scientific name
CAMPOSTOMA ANOMALUM PULLUM,scientific,CAMPOSTOMA ANOMALUM,TRUE,removed sub-species
CAMPOSTOMA ANOMALUM X RHINICHTHYS ATRATULUS,scientific,CAMPOSTOMA ANOMALUM X RHINICHTHYS ATRATULUS,FALSE,
CENTRAL STONEROLLER X BLACKNOSE DACE,common,CAMPOSTOMA ANOMALUM X RHINICHTHYS ATRATULUS,TRUE,common to scientific name
CENTRAL STONEROLLER X BLACKNOSE DACE HYBRID,common,CAMPOSTOMA ANOMALUM X RHINICHTHYS ATRATULUS,TRUE,common to scientific name
CAMPOSTOMA X RHINICHTHYS ANOMALUM X ATRATULUS,scientific,CAMPOSTOMA ANOMALUM X RHINICHTHYS ATRATULUS,TRUE,naming scheme
CAMPOSTOMA OLIGOLEPIS,scientific,CAMPOSTOMA OLIGOLEPIS,FALSE,
LARGESCALE STONEROLLER,common,CAMPOSTOMA OLIGOLEPIS,TRUE,common to scientific name
CARASSIUS AURATUS,scientific,CARASSIUS AURATUS,FALSE,
GOLDFISH,common,CARASSIUS AURATUS,TRUE,common to scientific name
CARASSIUS AURATUS KOI - ORANGE,scientific,CARASSIUS AURATUS,TRUE,naming scheme
CARPIODES,scientific,CARPIODES,FALSE,
CARPSUCKER,common,CARPIODES,TRUE,common to scientific name
CARPSUCKER (UNIDENTIFIED),common,CARPIODES,TRUE,common to scientific name
CARPIODES SP.,scientific,CARPIODES,TRUE,syntax
CARPIODES SPP.,scientific,CARPIODES,TRUE,syntax
CARPIODES CARPIO,scientific,CARPIODES CARPIO,FALSE,
RIVER CARPSUCKER,common,CARPIODES CARPIO,TRUE,common to scientific name
CARPOIDES CARPIO,scientific,CARPIODES CARPIO,TRUE,misspelling
CARPIODES CYPRINUS,scientific,CARPIODES CYPRINUS,FALSE,
QUILLBACK,common,CARPIODES CYPRINUS,TRUE,common to scientific name
CARPIODES VELIFER,scientific,CARPIODES VELIFER,FALSE,
HIGHFIN CARPSUCKER,common,CARPIODES VELIFER,TRUE,common to scientific name
CATOSTOMIDAE,scientific,CATOSTOMIDAE,FALSE,
JUV CATASTOMIDS (UNIDENTIFIED),common,CATOSTOMIDAE,TRUE,common to scientific name
SUCKER,common,CATOSTOMIDAE,TRUE,common to scientific name
SUCKER (UNIDENTIFIED),common,CATOSTOMIDAE,TRUE,common to scientific name
CATOSTOMIDAE - UNIDENTIFIED,scientific,CATOSTOMIDAE,TRUE,naming scheme
CATOSTOMUS CATOSTOMUS,scientific,CATOSTOMUS CATOSTOMUS,FALSE,
LONGNOSE SUCKER,common,CATOSTOMUS CATOSTOMUS,TRUE,common to scientific name
CATOSTOMUS COMMERSONII,scientific,CATOSTOMUS COMMERSONII,FALSE,
WHITE SUCKER,common,CATOSTOMUS COMMERSONII,TRUE,common to scientific name
CATOSTOMUS COMMERSONI,scientific,CATOSTOMUS COMMERSONII,TRUE,misspelling
CENTRARCHUS MACROPTERUS,scientific,CENTRARCHUS MACROPTERUS,FALSE,
FLIER,common,CENTRARCHUS MACROPTERUS,TRUE,common to scientific name
CHROSOMUS,scientific,CHROSOMUS,FALSE,
DACE,common,CHROSOMUS,TRUE,common to scientific name
CHROSOMUS EOS,scientific,CHROSOMUS EOS,FALSE,
NORTHERN REDBELLY DACE,common,CHROSOMUS EOS,TRUE,common to scientific name
CHROSOMUS ERYTHROGASTER,scientific,CHROSOMUS ERYTHROGASTER,FALSE,
SOUTHERN REDBELLY DACE,common,CHROSOMUS ERYTHROGASTER,TRUE,common to scientific name
PHOXINUS ERYTHROGASTER,scientific,CHROSOMUS ERYTHROGASTER,TRUE,nomenclature (genus)
CHROSOMUS NEOGAEUS,scientific,CHROSOMUS NEOGAEUS,FALSE,
FINESCALE DACE,common,CHROSOMUS NEOGAEUS,TRUE,common to scientific name
CLINOSTOMUS ELONGATUS,scientific,CLINOSTOMUS ELONGATUS,FALSE,
REDSIDE DACE,common,CLINOSTOMUS ELONGATUS,TRUE,common to scientific name
COTTUS,scientific,COTTUS,FALSE,
SCULPIN,common,COTTUS,TRUE,common to scientific name
COTTUS SPP.,scientific,COTTUS,TRUE,syntax
COTTUS BAIRDII,scientific,COTTUS BAIRDII,FALSE,
MOTTLED SCULPIN,common,COTTUS BAIRDII,TRUE,common to scientific name
