TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,FFG_Src,HABIT,HABIT_Src,LIFE_CYCLE,LIFE_CYCLE_Src,AirBreather,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,TolVal,NOD,AP,HM,POC,SA,SSS,Min_HM1988,Max_HM1988,Mean_HM1988,KBTOLR
ABLABESMYIA,Genus,FALSE,4,4_middle,PR,MODNR; MN; Tward; NRSA,SP,MODNR; OK; MN; Tward; NRSA,multi,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,5,3,3,1,3,3,3,1,3,2.666666667,6
ACENTRELLA,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,"SW,CN",IA; MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,ACENTRELLA,5,,,,,,,,,,4
ACERPENNA,Genus,FALSE,4,4_middle,CG,IA; MN; Tward; NRSA,SW,MN; Tward; NRSA,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,ACERPENNA,,,,,,,,,,,
ACERPENNA PYGMAEA,Species,FALSE,4,4_middle,CG,IA; MN; Tward; NRSA,SW,MN; Tward; NRSA,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,ACERPENNA,5,,,,,,,,,,4
ACILIUS,Genus,FALSE,,NA,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,ACILIUS,NA,3,5,1,5,2,2,1,5,3,99
ACRONEURIA,Genus,FALSE,3,,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,NE; OK; MN; Tward; NRSA,semi,NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ACRONEURIA,2,0,1,1,0,2,3,0,3,1.166666667,2
ACRONEURIA ABNORMIS,Species,FALSE,3,,PR,IA; NE; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,semi,NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ACRONEURIA,2,0,1,1,0,2,4,0,4,1.333333333,2
ACRONEURIA EVOLUTA,Species,FALSE,3,,PR,OK; Tward; NRSA,CN,Tward; NRSA,semi,NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ACRONEURIA,2,0,1,1,0,1,2,0,2,0.833333333,2
ACRONEURIA PERPLEXA,Species,FALSE,3,,PR,OK; Tward; NRSA,CN,Tward; NRSA,semi,NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ACRONEURIA,2,0,1,1,0,2,2,0,2,1,2
AEDES,Genus,FALSE,4,4_middle,CF,IA; NE; MODNR; MN; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward,TRUE,ARTHROPODA,INSECTA,,DIPTERA,CULICIDAE,,,AEDES,5,4,4,3,4,4,2,2,4,3.5,10
AESHNA,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CB,NE; OK; MN; Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,AESHNA,5,3,4,1,3,3,4,1,4,3,4
AESHNA UMBROSA,Species,FALSE,4,4_middle,PR,IA; OK; MN; Tward; NRSA,CB,MN; Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,AESHNA,5,3,4,1,3,3,4,1,4,3,4
AESHNIDAE,Family,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; ;,"CB,CN",NE; OK; MN,uni,NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,,5,2,4,1,3,3,4,1,4,2.833333333,
AGABUS,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,IA; NE; MODNR; OK; MN; Tward; NRSA,semi,NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,AGABUS,5,2,4,2,3,2,1,1,4,2.333333333,99
AGABUS DISINTEGRATUS,Species,FALSE,4,4_middle,PR,IA; Tward; NRSA,SW,MN; Tward; NRSA,semi,NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,AGABUS,5,2,4,1,3,2,1,1,4,2.166666667,99
AGAPETUS,Genus,FALSE,2,,SC,MODNR; OK; MN; Tward,"SW,CN",NRSA; Tward,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,GLOSSOSOMATIDAE,,,AGAPETUS,1,1,2,0,2,1,3,0,3,1.5,4
AGNETINA,Genus,FALSE,3,,PR,MODNR; Tward; NRSA,CN,Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,AGNETINA,,,,,,,,,,,
AGNETINA FLAVESCENS,Species,FALSE,3,,PR,MODNR; Tward; NRSA,CN,Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,AGNETINA,2,0,1,1,0,3,2,0,3,1.166666667,2
ALLOCAPNIA,Genus,FALSE,3,,SH,IA; MODNR; OK; MN; Tward; NRSA,"SP,CN",NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,CAPNIIDAE,,,ALLOCAPNIA,2,1,1,1,0,1,1,0,1,0.833333333,2
ALLOCAPNIA VIVIPARA,Species,FALSE,3,,SH,MN; Tward; NRSA,"SP,CN",NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,CAPNIIDAE,,,ALLOCAPNIA,2,2,1,1,0,1,2,0,2,1.166666667,2
ALOTANYPUS,Genus,FALSE,,NA,PR,Tward,BU,Tward; NRSA,NA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,TANYPODINAE,COELOTANYPODINI,ALOTANYPUS,NA,,,,,,,,,,6
AMERCAENIS,Genus,FALSE,4,4_middle,"CF,CG",IA; NE; OK; MN; Tward,SP,NE; MN; Tward; NRSA,uni,Tward,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,AMERCAENIS,,,,,,,,,,,
AMERCAENIS RIDENS,Species,FALSE,4,4_middle,"CF,CG",IA; NE; OK; MN; Tward,SP,NE; MN; Tward; NRSA,uni,Tward,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,AMERCAENIS,5,,,,,,,,,,4
AMERCAENIS/CAENIS,Genus,FALSE,4,4_middle,CG,NRSA based on Caenidae,SP,Tward; NRSA,"multi,uni",Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,AMERCAENIS/CAENIS,5,,,,,,,,,,
AMNICOLA,Genus,FALSE,4,4_middle,SC,IA; OK; MN,CB,MN,NA,,FALSE,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,HYDROBIIDAE,,,AMNICOLA,,,,,,,,,,,
