orig_FinalID_NE,OTU_BCG_NE,modified_BCG,Notes
ABLABESMYIA,ABLABESMYIA,FALSE,
ACARI,ACARI,FALSE,
ACARINA,ACARI,TRUE,nomenclature change. Sean Sullivan
ACENTRELLA,ACENTRELLA,FALSE,
ACENTRELLA INSIGNIFICANS,ACENTRELLA INSIGNIFICANS,FALSE,
ACENTRELLA PARVULA,ACENTRELLA PARVULA,FALSE,
ACERPENNA,ACERPENNA,FALSE,
ACILIUS,ACILIUS,FALSE,
ACRICOTOPUS,ACRICOTOPUS,FALSE,
ACRONEURIA,ACRONEURIA,FALSE,
ACRONEURIA ABNORMIS,ACRONEURIA ABNORMIS,FALSE,
ACTINOBDELLA,ACTINOBDELLA,FALSE,
ACTINOBDELLA INEQUIANNULATA,ACTINOBDELLA INEQUIANNULATA,FALSE,
ACTINONAIAS LIGAMENTINA,ACTINONAIAS LIGAMENTINA,FALSE,
AEDES,AEDES,FALSE,
AEDES VEXANS,AEDES,TRUE,genus level recommended by Sean Sullivan
AESHNA,AESHNA,FALSE,
AESHNIDAE,AESHNIDAE,FALSE,
AGABINAE,AGABINAE,FALSE,
AGABUS,AGABUS,FALSE,
AGNETINA,AGNETINA,FALSE,
AGRAYLEA,AGRAYLEA,FALSE,
ALBIA,ALBIA,FALSE,
ALISOTRICHIA,ALISOTRICHIA,FALSE,
ALLOCLADIUS,ALLOCLADIUS,FALSE,
ALLOGNOSTA,ALLOGNOSTA,FALSE,
ALOTANYPUS,ALOTANYPUS,FALSE,
AMBLEMA PLICATA,AMBLEMA PLICATA,FALSE,
AMBRYSUS,AMBRYSUS,FALSE,
AMERCAENIS,AMERCAENIS RIDENS,TRUE,One species in NE. Sean Sullivan
AMERCAENIS RIDENS,AMERCAENIS RIDENS,FALSE,
AMIOCENTRUS,BRACHYCENTRIDAE,TRUE,questionable ID. Sean Sullivan
AMNICOLA,AMNICOLA,FALSE,
AMPHIAGRION,AMPHIAGRION,FALSE,
AMPHICHAETA,AMPHICHAETA,FALSE,
AMPHICHAETA LEYDIGI,AMPHICHAETA,TRUE,genus level recommended by Sean Sullivan
AMPHINEMURA,AMPHINEMURA,FALSE,
AMPHIPODA,AMPHIPODA,FALSE,
ANACAENA,ANACAENA,FALSE,
ANAFROPTILUM,ANAFROPTILUM,FALSE,
ANAX,ANAX,FALSE,
ANAX JUNIUS,ANAX JUNIUS,FALSE,
ANCYRONYX,ANCYRONYX,FALSE,
ANISOPTERA,ANISOPTERA,FALSE,
ANNELIDA,ANNELIDA,FALSE,
ANODONTA GRANDIS,PYGANODON GRANDIS,TRUE,nomenclature change
ANOPHELES,ANOPHELES,FALSE,
ANOPHELES PSEUDOPUNCTIPENNIS,ANOPHELES,TRUE,genus level recommended by Sean Sullivan
ANOPHELES WALKERI,ANOPHELES,TRUE,genus level recommended by Sean Sullivan
ANTHOMYIIDAE,ANTHOMYIIDAE,FALSE,NonTarget? Largely terrestrial
ANTOCHA,ANTOCHA,FALSE,
ANTOCHA OBTUSA,ANTOCHA,TRUE,genus level recommended by Sean Sullivan
APEDILUM,APEDILUM,FALSE,
