TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Full,LIFE_CYCLE,AirBreather,TOLVAL_IA,FFG_IA,FFGDef_IA,HABIT_IA,HabitDef_IA,COLD_IA,ColdWaterIndicatorTaxa,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,CommonName,IA_BugTaxaID
ACENTRELLA,Genus,FALSE,4,4_middle,CG,"SW,CN",CS,coarse,multi,FALSE,4.2,CG,Collector/Gatherer,SW/CN,Swimmer/Clinger,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,ACENTRELLA,,Small Minnow Mayflies,207
ACENTRELLA PARVULA,Species,FALSE,4,4_middle,CG,SW,,,multi,FALSE,4,CG,Collector/Gatherer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,ACENTRELLA,PARVULA,Small Minnow Mayflies,210
ACENTRELLA TURBIDA,Species,FALSE,4,4_middle,CG,SW,,,multi,FALSE,6,CG,Collector/Gatherer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,ACENTRELLA,TURBIDA,Small Minnow Mayflies,208
ACERPENNA,Genus,FALSE,4,4_middle,CG,SW,,,multi,FALSE,4.5,CG,Collector/Gatherer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,ACERPENNA,,Small Minnow Mayflies,770
ACERPENNA MACDUNNOUGHI,Species,FALSE,4,4_middle,CG,SW,,,multi,FALSE,5,CG,Collector/Gatherer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,ACERPENNA,MACDUNNOUGHI,Small Minnow Mayflies,847
ACERPENNA PYGMAEA,Species,FALSE,4,4_middle,CG,SW,,,multi,FALSE,4,CG,Collector/Gatherer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,ACERPENNA,PYGMAEA,Small Minnow Mayflies,826
ACILIUS,Genus,FALSE,4,4_middle,PR,SW,,,uni,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,ACILIUS,,Predaceous Diving Beetles,68
ACILIUS FRATERNUS,Species,FALSE,4,4_middle,PR,SW,,,uni,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,ACILIUS,FRATERNUS,Predaceous Diving Beetles,722
ACILIUS MEDIATUS,Species,FALSE,4,4_middle,PR,SW,,,uni,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,ACILIUS,MEDIATUS,Predaceous Diving Beetles,723
ACILIUS SYLVANUS,Species,FALSE,4,4_middle,PR,SW,,,uni,TRUE,5.2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,ACILIUS,SYLVANUS,Predaceous Diving Beetles,69
ACRONEURIA,Genus,FALSE,3,,PR,CN,,,semi,FALSE,0,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,ACRONEURIA,,Common Stoneflies,403
ACRONEURIA ABNORMIS,Species,FALSE,3,,PR,CN,,,semi,FALSE,0,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,ACRONEURIA,ABNORMIS,Common Stoneflies,565
ACRONEURIA LYCORIAS,Species,FALSE,3,,PR,CN,,,semi,FALSE,0,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,ACRONEURIA,LYCORIAS,Common Stoneflies,620
ACTINOBDELLA INEQUIANNULATA,Species,FALSE,,,PR,SP,,,NA,FALSE,7,PR,Predator,UN,Unidentified,0,FALSE,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,ACTINOBDELLA,INEQUIANNULATA,Leeches,724
AEDES,Genus,FALSE,4,4_middle,CF,SW,,,multi,TRUE,,CF,Filterer,BU,Burrower,0,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CULICIDAE,,AEDES,,Mosquitoes,1124
AESHNA,Genus,FALSE,4,4_middle,PR,CB,,,semi,FALSE,5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,AESHNA,,Darner Dragonflies,357
AESHNA UMBROSA,Species,FALSE,4,4_middle,PR,CB,,,semi,FALSE,5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,AESHNA,UMBROSA,Darner Dragonflies,624
AESHNA/ANAX,Genus,FALSE,,,PR,CB,,,semi,FALSE,6.5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,AESHNA/ANAX,,Darner Dragonflies,705
AESHNIDAE,Family,FALSE,4,4_middle,PR,"CB,CN",,,uni,FALSE,2.9,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,AESHNIDAE,,,,Darner Dragonflies,356
AGABINAE,Subfamily,FALSE,,,PR,SW,,,NA,TRUE,5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,,,Predaceous Diving Beetles,1030
AGABINI-COMPLEX,Tribe,FALSE,,,NA,NA,,,NA,TRUE,5,UN,,UN,,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,AGABINI-COMPLEX,,Predaceous Diving Beetles,959
AGABUS,Genus,FALSE,4,4_middle,PR,SW,RM,root_mat,semi,TRUE,5,PR,Predator,SW/DV,Swimmer/Diver,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,AGABUS,,Predaceous Diving Beetles,70
AGABUS AMBIGUUS,Species,FALSE,4,4_middle,PR,SW,,,semi,TRUE,5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,AGABUS,AMBIGUUS,Predaceous Diving Beetles,795
AGABUS DISINTEGRATUS,Species,FALSE,4,4_middle,PR,SW,,,semi,TRUE,5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,AGABUS,DISINTEGRATUS,Predaceous Diving Beetles,800
AGABUS/ILYBISOMA/PLATAMBUS,Genus,FALSE,4,4_middle,PR,SW,,,NA,TRUE,5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,AGABUS/ILYBISOMA/PLATAMBUS,,Predaceous Diving Beetles,967
AGABUS/ILYBIUS,Genus,FALSE,4,4_middle,PR,SW,,,NA,TRUE,5,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,AGABUS/ILYBIUS,,Predaceous Diving Beetles,635
AGNETINA,Genus,FALSE,3,,PR,CN,,,semi,FALSE,2,PR,Predator,cn,Clinger,0,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,AGNETINA,,Common Stoneflies,404
AGNETINA CAPITATA,Species,FALSE,3,,PR,CN,,,semi,FALSE,2,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,AGNETINA,CAPITATA,Common Stoneflies,567
ALASMIDONTA MARGINATA,Species,FALSE,,,NA,BU,,,NA,FALSE,6,CF,Filterer,UN,Unidentified,0,FALSE,MOLLUSCA,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,UNIONIDAE,,ALASMIDONTA,MARGINATA,Mussels,1068
ALLOCAPNIA,Genus,FALSE,3,,SH,"SP,CN",CS,coarse,uni,FALSE,3,SH,Shredder,sp/cn,Sprawler/Clinger,0,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,CAPNIIDAE,,ALLOCAPNIA,,Small Winter Stoneflies,399
ALLUAUDOMYIA,Genus,FALSE,,,PR,"SP,BU",,,uni,FALSE,6,PR,Predator,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,,ALLUAUDOMYIA,,"Biting Midges, No-See-Ums, Punkies",161
AMERCAENIS,Genus,FALSE,4,4_middle,"CF,CG",SP,,,uni,FALSE,5,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,AMERCAENIS,,Small Squaregill Mayflies,553
AMERCAENIS RIDENS,Species,FALSE,4,4_middle,"CF,CG",SP,,,uni,FALSE,5,CF,Filterer,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,AMERCAENIS,RIDENS,Small Squaregill Mayflies,552
AMNICOLA LIMOSUS,Species,FALSE,4,4_middle,SC,CB,,,NA,FALSE,5,SC,,UN,,0,FALSE,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,HYDROBIIDAE,,AMNICOLA,LIMOSUS,Hydrobiid Snails,765
AMPHIAGRION,Genus,FALSE,,,PR,"CN,CB",,,NA,FALSE,9,PR,Predator,cn/cb,Clinger/Climber,0,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,AMPHIAGRION,,Narrowwinged Damselflies,366
AMPHINEMURA,Genus,FALSE,3,,SH,"SP,CN",CS,coarse,uni,FALSE,2,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,NEMOURIDAE,,AMPHINEMURA,,Nemourid Stoneflies,401
AMPHINEMURA DELOSA,Species,FALSE,3,,SH,"SP,CN",,,uni,FALSE,3,SH,Shredder,SP/CN,Sprawler/Clinger,0,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,NEMOURIDAE,,AMPHINEMURA,DELOSA,Nemourid Stoneflies,1102
AMPHINEMURA VARSHAVA,Species,FALSE,3,,SH,"SP,CN",,,uni,FALSE,2,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,NEMOURIDAE,,AMPHINEMURA,VARSHAVA,Nemourid Stoneflies,1079
AMPHIPODA,Order,FALSE,,,CG,SP,,,NA,FALSE,,UN,Unidentified,UN,Unidentified,0,FALSE,ARTHROPODA,MALACOSTRACA,EUMALACOSTRACA,AMPHIPODA,,,,,Scuds and sideswimmers,37
ANABOLIA,Genus,FALSE,,,SH,SP,,,uni,FALSE,5,SH,Shredder,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LIMNEPHILIDAE,,ANABOLIA,,Northern Case Maker Caddisflies,464
ANACAENA,Genus,FALSE,4,4_middle,PR,BU,,,uni,TRUE,8.2,UN,Unidentified,UN,Unidentified,0,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,ANACAENA,,Giant Water Scavenger Beetles,128
