TaxaID_orig,modified_BCG,OTU_BCG,Notes,OTU_MMI,OTU_MMI_genus,OTU_bcgTaxaTolAnal
ABLABESMYIA,FALSE,ABLABESMYIA,,ABLABESMYIA,ABLABESMYIA,ABLABESMYIA
ACENTRELLA,FALSE,ACENTRELLA,,ACENTRELLA,ACENTRELLA,ACENTRELLA
ACERPENNA,FALSE,ACERPENNA,,ACERPENNA,ACERPENNA,ACERPENNA
ACERPENNA PYGMAEA,FALSE,ACERPENNA PYGMAEA,,ACERPENNA PYGMAEA,ACERPENNA,ACERPENNA PYGMAEA
ACILIUS,FALSE,ACILIUS,,ACILIUS,ACILIUS,ACILIUS
ACRONEURIA,FALSE,ACRONEURIA,,ACRONEURIA,ACRONEURIA,ACRONEURIA
ACRONEURIA ABNORMIS,FALSE,ACRONEURIA ABNORMIS,,ACRONEURIA ABNORMIS,ACRONEURIA,ACRONEURIA ABNORMIS
ACRONEURIA EVOLUTA,FALSE,ACRONEURIA EVOLUTA,,ACRONEURIA EVOLUTA,ACRONEURIA,ACRONEURIA EVOLUTA
ACRONEURIA PERPLEXA,FALSE,ACRONEURIA PERPLEXA,,ACRONEURIA PERPLEXA,ACRONEURIA,ACRONEURIA PERPLEXA
AEDES,FALSE,AEDES,,AEDES,AEDES,AEDES
AESHNA,FALSE,AESHNA,,AESHNA,AESHNA,AESHNA
AESHNA UMBROSA,FALSE,AESHNA UMBROSA,,AESHNA UMBROSA,AESHNA,AESHNA UMBROSA
AESHNIDAE,FALSE,AESHNIDAE,,AESHNIDAE,AESHNIDAE,AESHNIDAE
AGABUS,FALSE,AGABUS,,AGABUS,AGABUS,AGABUS
AGABUS DISINTEGRATUS,FALSE,AGABUS DISINTEGRATUS,,AGABUS DISINTEGRATUS,AGABUS,AGABUS DISINTEGRATUS
AGAPETUS,FALSE,AGAPETUS,,AGAPETUS,AGAPETUS,AGAPETUS
AGNETINA,FALSE,AGNETINA,,AGNETINA,AGNETINA,AGNETINA
AGNETINA FLAVESCENS,FALSE,AGNETINA FLAVESCENS,,AGNETINA FLAVESCENS,AGNETINA,AGNETINA FLAVESCENS
ALLOCAPNIA,FALSE,ALLOCAPNIA,,ALLOCAPNIA,ALLOCAPNIA,ALLOCAPNIA
ALLOCAPNIA VIVIPARA,FALSE,ALLOCAPNIA VIVIPARA,,ALLOCAPNIA VIVIPARA,ALLOCAPNIA,ALLOCAPNIA VIVIPARA
ALOTANYPUS,FALSE,ALOTANYPUS,,ALOTANYPUS,ALOTANYPUS,ALOTANYPUS
AMERCAENIS,FALSE,AMERCAENIS,,AMERCAENIS,AMERCAENIS,AMERCAENIS
AMERCAENIS RIDENS,FALSE,AMERCAENIS RIDENS,,AMERCAENIS RIDENS,AMERCAENIS,AMERCAENIS RIDENS
AMERCAENIS/CAENIS,FALSE,AMERCAENIS/CAENIS,,AMERCAENIS/CAENIS,AMERCAENIS/CAENIS,
AMNICOLA,FALSE,AMNICOLA,,AMNICOLA,AMNICOLA,AMNICOLA
AMNICOLA LIMOSA,FALSE,AMNICOLA LIMOSA,,AMNICOLA LIMOSA,AMNICOLA,AMNICOLA LIMOSA
AMPHINEMURA,FALSE,AMPHINEMURA,,AMPHINEMURA,AMPHINEMURA,AMPHINEMURA
AMPHINEMURA VARSHAVA,FALSE,AMPHINEMURA VARSHAVA,,AMPHINEMURA VARSHAVA,AMPHINEMURA,AMPHINEMURA VARSHAVA
AMPHIPODA,FALSE,AMPHIPODA,,AMPHIPODA,AMPHIPODA,AMPHIPODA
ANACAENA,FALSE,ANACAENA,,ANACAENA,ANACAENA,ANACAENA
ANAX,FALSE,ANAX,,ANAX,ANAX,ANAX
ANAX JUNIUS,FALSE,ANAX JUNIUS,,ANAX JUNIUS,ANAX,ANAX JUNIUS
ANCYLIDAE,FALSE,ANCYLIDAE,,ANCYLIDAE,ANCYLIDAE,ANCYLIDAE
ANCYRONYX,FALSE,ANCYRONYX,,ANCYRONYX,ANCYRONYX,ANCYRONYX
ANCYRONYX VARIEGATUS,FALSE,ANCYRONYX VARIEGATUS,,ANCYRONYX VARIEGATUS,ANCYRONYX,ANCYRONYX VARIEGATUS
ANOPHELES,FALSE,ANOPHELES,,ANOPHELES,ANOPHELES,ANOPHELES
ANTHOMYIIDAE,FALSE,ANTHOMYIIDAE,,ANTHOMYIIDAE,ANTHOMYIIDAE,ANTHOMYIIDAE
