Date,TypeOfChange,Taxon_orig,Taxon_modified,Notes
20231024,change OTU_BCG,FOSSARIA,LYMNAEIDAE,taxonony was problematic
20231024,change OTU_BCG,FOSSARIA BULIMOIDES,LYMNAEIDAE,taxonony was problematic
20231024,change OTU_BCG,LYMNAEA,LYMNAEIDAE,taxonony was problematic
20231024,change OTU_BCG,STAGNICOLA,LYMNAEIDAE,taxonony was problematic
20231024,change OTU_BCG,PSEUDOSUCCINEA,LYMNAEIDAE,taxonony was problematic
20231024,change OTU_BCG,PSEUDOSUCCINEA COLUMELLA,LYMNAEIDAE,taxonony was problematic
20231024,change OTU_BCG,ARGIA FUMIPENNIS VIOLACEA,ARGIA FUMIPENNIS,removed subspecies
20231024,change OTU_BCG,COPELATUS CHEVROLATI RENOVATUS,COPELATUS CHEVROLATI,removed subspecies
20231024,change OTU_BCG,LACCOPHILUS FASCIATUS RUFUS,LACCOPHILUS FASCIATUS,removed subspecies
20231024,change OTU_BCG,LACCOPHILUS FASCIATUS TERMINALIS,LACCOPHILUS FASCIATUS,removed subspecies
20231024,change OTU_BCG,LACCOPHILUS MACULOSUS MACULOSUS,LACCOPHILUS MACULOSUS,removed subspecies
20231024,change OTU_BCG,MACCAFFERTIUM MEXICANUM INTEGRUM,MACCAFFERTIUM MEXICANUM,removed subspecies
20231024,change OTU_BCG,PALMACORIXA NANA WALLEYI,PALMACORIXA NANA,removed subspecies
20231024,change OTU_BCG,THERMONECTUS NIGROFASCIATUS ORNATICOLLIS,THERMONECTUS NIGROFASCIATUS,removed subspecies
20231024,change OTU_BCG,TROPISTERNUS LATERALIS NIMBATUS,TROPISTERNUS LATERALIS,removed subspecies
20231024,change OTU_BCG,THIENEMANNIMYIA GR.,THIENEMANNIMYIA GROUP,syntax (group)
