Date,TypeOfChange,Taxon_orig,Taxon_modified,Notes
20231024,change OTU_BCG,ALLOGNOSTRA,ALLOGNOSTA,misspelling
20231024,change OTU_BCG,CAECIDOTEA (BLIND & UNPIGMENTED),CAECIDOTEA,naming scheme
20231024,change OTU_BCG,CAECIDOTEA (EPIGEAN),CAECIDOTEA,naming scheme
20231024,change OTU_BCG,CAECIDOTEA (HYPOGEAN),CAECIDOTEA,naming scheme
20231024,change OTU_BCG,CERATOPSYCHE MOROSA GRP,CERATOPSYCHE MOROSA GROUP,naming scheme (group)
20231024,change OTU_BCG,CHEUMATOSPYCHE,CHEUMATOPSYCHE,misspelling
20231024,change OTU_BCG,CRICOTOPUS /ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,space
20231024,change OTU_BCG,CRICOTOPUS BICINCTUS,CRICOTOPUS BICINCTUS GROUP,naming scheme (group)
20231024,change OTU_BCG,CRICOTOPUS SYLVESTRIS GRP,CRICOTOPUS SYLVESTRIS GROUP,naming scheme (group)
20231024,change OTU_BCG,DESMOPACHNIA,DESMOPACHRIA,misspelling
20231024,change OTU_BCG,ELIMIDAE,ELMIDAE,misspelling
20231024,change OTU_BCG,EUKIEFFERIELLA BREHMI GRP,EUKIEFFERIELLA BREHMI GROUP,naming scheme (group)
20231024,change OTU_BCG,EUKIEFFERIELLA BREMI GROUP,EUKIEFFERIELLA BREHMI GROUP,misspelling
20231024,change OTU_BCG,EUKIEFFERIELLA DEVONICA GRP,EUKIEFFERIELLA DEVONICA GROUP,naming scheme (group)
20231024,change OTU_BCG,EUKIEFFERIELLA GRACEI GRP,EUKIEFFERIELLA GRACEI GROUP,naming scheme (group)
20231024,change OTU_BCG,HIRUNDINIDAE,HIRUDINIDAE,misspelling
20231024,change OTU_BCG,METRIOCNEMUS (N.SP.),METRIOCNEMUS,naming scheme
20231024,change OTU_BCG,POLYEPDILUM TRITUM,POLYPEDILUM TRITUM,misspelling
20231024,change OTU_BCG,POLYPEDILUM FALLAX GRP,POLYPEDILUM FALLAX GROUP,naming scheme (group)
20231024,change OTU_BCG,POLYPEDILUM HALTERALE GRP,POLYPEDILUM HALTERALE GROUP,naming scheme (group)
20231024,change OTU_BCG,POLYPEDILUM ILLINOENSE GRP,POLYPEDILUM ILLINOENSE GROUP,naming scheme (group)
20231024,change OTU_BCG,POLYPEDILUM SCALAENUM GRP,POLYPEDILUM SCALAENUM GROUP,naming scheme (group)
20231024,change OTU_BCG,QUISTADRILUS MULTISETOSUS,QUISTRADRILUS MULTISETOSUS,misspelling
20231024,change OTU_BCG,SCATOPHAGIDAE,SCATHOPHAGIDAE,misspelling
20231024,change OTU_BCG,STENLEMIS,STENELMIS,misspelling
20231024,change OTU_BCG,THIENEMANNIMYIA GRP.,THIENEMANNIMYIA GROUP,naming scheme (group)
20231024,change OTU_BCG,TVETENIA BAVARICA GRP,TVETENIA BAVARICA GROUP,naming scheme (group)
20231024,change OTU_BCG,UNDESCRIBED EMPIDIDAE,EMPIDIDAE,naming scheme
