orig_FinalID_NE,OTU_BCG_NE,modified_BCG,Notes,OTU_bcgTaxaTolAnal
Ablabesmyia,Ablabesmyia,FALSE,,ABLABESMYIA
Acari,Acari,FALSE,,ACARI
Acarina,Acarina,FALSE,,ACARI
Acentrella,Acentrella,FALSE,,ACENTRELLA
Acentrella insignificans,Acentrella insignificans,FALSE,,ACENTRELLA INSIGNIFICANS
Acentrella parvula,Acentrella parvula,FALSE,,ACENTRELLA PARVULA
Acerpenna,Acerpenna,FALSE,,ACERPENNA
Acilius,Acilius,FALSE,,ACILIUS
Acricotopus,Acricotopus,FALSE,,ACRICOTOPUS
Acroneuria,Acroneuria,FALSE,,ACRONEURIA
Acroneuria abnormis,Acroneuria abnormis,FALSE,,ACRONEURIA ABNORMIS
Actinobdella,Actinobdella,FALSE,,ACTINOBDELLA
Actinobdella inequiannulata,Actinobdella inequiannulata,FALSE,,ACTINOBDELLA INEQUIANNULATA
Actinonaias ligamentina,Actinonaias ligamentina,FALSE,,ACTINONAIAS LIGAMENTINA
Aedes,Aedes,FALSE,,AEDES
Aedes vexans,Aedes vexans,FALSE,,
Aeshna,Aeshna,FALSE,,AESHNA
Aeshnidae,Aeshnidae,FALSE,,AESHNIDAE
Agabinae,Agabinae,FALSE,,AGABINAE
Agabus,Agabus,FALSE,,AGABUS
Agnetina,Agnetina,FALSE,,AGNETINA
Agraylea,Agraylea,FALSE,,AGRAYLEA
Albia,Albia,FALSE,,ALBIA
Alisotrichia,Alisotrichia,FALSE,,ALISOTRICHIA
Allocladius,Allocladius,FALSE,,ALLOCLADIUS
Allognosta,Allognosta,FALSE,,ALLOGNOSTA
Alotanypus,Alotanypus,FALSE,,ALOTANYPUS
Amblema plicata,Amblema plicata,FALSE,,AMBLEMA PLICATA
Ambrysus,Ambrysus,FALSE,,AMBRYSUS
Amercaenis,Amercaenis,FALSE,,AMERCAENIS
Amercaenis ridens,Amercaenis ridens,FALSE,,AMERCAENIS RIDENS
Amiocentrus,Amiocentrus,FALSE,,
Amnicola,Amnicola,FALSE,,AMNICOLA
Amphiagrion,Amphiagrion,FALSE,,AMPHIAGRION
Amphichaeta,Amphichaeta,FALSE,,AMPHICHAETA
Amphichaeta leydigi,Amphichaeta leydigi,FALSE,,
Amphinemura,Amphinemura,FALSE,,AMPHINEMURA
Amphipoda,Amphipoda,FALSE,,AMPHIPODA
Anacaena,Anacaena,FALSE,,ANACAENA
Anafroptilum,Anafroptilum,FALSE,,ANAFROPTILUM
Anax,Anax,FALSE,,ANAX
Anax junius,Anax junius,FALSE,,ANAX JUNIUS
Ancyronyx,Ancyronyx,FALSE,,ANCYRONYX
Anisoptera,Anisoptera,FALSE,,ANISOPTERA
Annelida,Annelida,FALSE,,ANNELIDA
Anodonta grandis,Anodonta grandis,FALSE,,ANODONTA GRANDIS
Anopheles,Anopheles,FALSE,,ANOPHELES
Anopheles pseudopunctipennis,Anopheles pseudopunctipennis,FALSE,,
Anopheles walkeri,Anopheles walkeri,FALSE,,
