TAXAID,COMMONNAME,RIS,NumAgeClass_Possible,LBR_Mainstem,FAMILY,oldFAMILY,GENUS,HYBRID,NONTARGET,NATIVE,BCG_ATTR,BCG_ATTR2,BCG_ATTR_ROMAN,HABITAT,TROPHIC,THERMAL_INDICATOR,REPRODUCTION,CONNECTIVITY
ALOSA SAPIDISSIMA,AMERICAN SHAD,FALSE,,FALSE,CLUPEIDAE,,ALOSA,FALSE,FALSE,,,,,,,,,FALSE
AMEIURUS,BULLHEADS,FALSE,,FALSE,ICTALURIDAE,,AMEIURUS,FALSE,FALSE,,,,,,,,,FALSE
AMEIURUS MELAS,BLACK BULLHEAD,FALSE,,FALSE,ICTALURIDAE,,AMEIURUS,FALSE,FALSE,NON_NATIVE,6t,,VI t,B,"IV,TC",warm,,FALSE
AMEIURUS NEBULOSUS,BROWN BULLHEAD,FALSE,,FALSE,ICTALURIDAE,,AMEIURUS,FALSE,FALSE,NON_NATIVE,6t,,VI t,B,"IV,TC",warm,,FALSE
CARASSIUS AURATUS,GOLDFISH,FALSE,,FALSE,CYPRINIDAE,CYPRINIDAE,CARASSIUS,FALSE,TRUE,,,,,,,,,FALSE
CATOSTOMIDAE,SUCKER,FALSE,,FALSE,CATOSTOMIDAE,,,FALSE,TRUE,,,,,,,,,FALSE
CATOSTOMUS,COMMON SUCKERS,FALSE,,FALSE,CATOSTOMIDAE,,CATOSTOMUS,FALSE,TRUE,,,,,,,,,FALSE
CATOSTOMUS CATOSTOMUS,LONGNOSE SUCKER,FALSE,,FALSE,CATOSTOMIDAE,,CATOSTOMUS,FALSE,FALSE,NON_NATIVE,6m,,VI m,B,IV,cold,LITHOPHIL,FALSE
CATOSTOMUS COLUMBIANUS,BRIDGELIP SUCKER,TRUE,10,TRUE,CATOSTOMIDAE,,CATOSTOMUS,FALSE,FALSE,NATIVE,4,4_middle,IV_middle,B,HB,cool,,FALSE
CATOSTOMUS COLUMBIANUS X CATOSTOMUS MACROCHEILUS,BRIDGELIP X LARGESCALE SUCKER,FALSE,,TRUE,CATOSTOMIDAE,,CATOSTOMUS,TRUE,FALSE,NATIVE,4,4_middle,IV_middle,B,,cool,,FALSE
CATOSTOMUS MACROCHEILUS,LARGESCALE SUCKER,TRUE,8,TRUE,CATOSTOMIDAE,,CATOSTOMUS,FALSE,FALSE,NATIVE,4,4_middle,IV_middle,B,OM,cool,,FALSE
CENTRARCHIDAE,SUNFISHES,FALSE,,FALSE,CENTRARCHIDAE,,,FALSE,TRUE,,,,,,,,,FALSE
CICHLIDAE,CICHLIDS,FALSE,,FALSE,CICHLIDAE,,,FALSE,TRUE,,,,,,,,,FALSE
COREGONUS,WHITEFISHES,FALSE,,FALSE,SALMONIDAE,,COREGONUS,FALSE,TRUE,,,,,,,,,FALSE
COTTIDAE,SCULPINS,FALSE,,TRUE,COTTIDAE,,,FALSE,FALSE,NATIVE,3,,III,B,IV,cold,LITHOPHIL,FALSE
COTTUS,SCULPINS,FALSE,,FALSE,COTTIDAE,,COTTUS,FALSE,FALSE,NATIVE,3,,III,B,IV,cool,LITHOPHIL,FALSE
COTTUS BELDINGII,PAIUTE SCULPIN,FALSE,,FALSE,COTTIDAE,,COTTUS,FALSE,FALSE,NATIVE,3,,III,B,IV,cold,LITHOPHIL,FALSE
COTTUS COGNATUS,SLIMY SCULPIN,FALSE,,FALSE,COTTIDAE,,COTTUS,FALSE,FALSE,NON_NATIVE,6i,,VI I,B,IV,cold,LITHOPHIL,FALSE
COTTUS CONFUSUS,SHORTHEAD SCULPIN,TRUE,6,TRUE,COTTIDAE,,COTTUS,FALSE,FALSE,NATIVE,2,,II,B,IV,cold,LITHOPHIL,FALSE
COTTUS EXTENSUS,BEAR LAKE SCULPIN,FALSE,,FALSE,COTTIDAE,,COTTUS,FALSE,FALSE,,,,,,,,,FALSE
COTTUS HUBBSI,COLUMBIA SCULPIN,TRUE,6,TRUE,COTTIDAE,,COTTUS,FALSE,FALSE,NATIVE,4,4_better,IV_better,B,IV,cool,LITHOPHIL,FALSE
COTTUS RHOTHEUS,TORRENT SCULPIN,FALSE,,FALSE,COTTIDAE,,COTTUS,FALSE,FALSE,NATIVE,3,,III,B,"IV,TC",cold,LITHOPHIL,FALSE
CYPRINIDAE,MINNOWS,FALSE,,FALSE,,CYPRINIDAE,,FALSE,TRUE,,,,,,,,,FALSE
CYPRINUS CARPIO,COMMON CARP,FALSE,,TRUE,CYPRINIDAE,CYPRINIDAE,CYPRINUS,FALSE,FALSE,NON_NATIVE,6t,,VI t,B,OM,warm,,FALSE
ENTOSPHENUS TRIDENTATUS,PACIFIC LAMPREY,FALSE,,FALSE,PETROMYZONTIDAE,,ENTOSPHENUS,FALSE,FALSE,NATIVE,3,,III,B,OM,cool,LITHOPHIL,TRUE
ESOX LUCIUS,NORTHERN PIKE,FALSE,,FALSE,ESOCIDAE,,ESOX,FALSE,FALSE,,,,,,,,,FALSE
FUNDULUS DIAPHANUS,BANDED KILLIFISH,FALSE,,TRUE,FUNDULIDAE,,FUNDULUS,FALSE,FALSE,NON_NATIVE,6t,,VI t,W,IV,warm,,FALSE
GAMBUSIA AFFINIS,WESTERN MOSQUITOFISH,FALSE,,FALSE,POECILIIDAE,,GAMBUSIA,FALSE,FALSE,NON_NATIVE,6t,,VI t,W,IV,warm,,FALSE
GILA ALUTACEA,CHISELMOUTH,FALSE,,TRUE,LEUCISCIDAE,CYPRINIDAE,GILA,FALSE,FALSE,NATIVE,4,4_middle,IV_middle,B,HB,cool,,FALSE
ICTALURUS,CHANNEL CATFISHES,FALSE,,FALSE,ICTALURIDAE,,ICTALURUS,FALSE,TRUE,,,,,,,,,FALSE
ICTALURUS PUNCTATUS,CHANNEL CATFISH,FALSE,,TRUE,ICTALURIDAE,,ICTALURUS,FALSE,FALSE,NON_NATIVE,6m,,VI m,B,"IV,TC",warm,,FALSE
KURONEZUMIA LEONIS,SNUBNOSE WHIPTAIL,FALSE,,FALSE,MACROURIDAE,,KURONEZUMIA,FALSE,TRUE,,,,,,,,,FALSE
LAMPETRA TRIDENTATA,PACIFIC LAMPREY,FALSE,,FALSE,PETROMYZONTIDAE,,LAMPETRA,FALSE,FALSE,,,,,,,,,FALSE
LEPOMIS,SUNFISH,FALSE,,FALSE,CENTRARCHIDAE,,LEPOMIS,FALSE,TRUE,,,,,,,,,FALSE
LEPOMIS CYANELLUS,GREEN SUNFISH,FALSE,,TRUE,CENTRARCHIDAE,,LEPOMIS,FALSE,FALSE,NON_NATIVE,6t,,VI t,W,"IV,TC",warm,,FALSE
LEPOMIS GIBBOSUS,PUMPKINSEED,FALSE,,TRUE,CENTRARCHIDAE,,LEPOMIS,FALSE,FALSE,NON_NATIVE,6m,,VI m,W,"IV,TC",cool,,FALSE
