Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Ablabesmyia,Ablabesmyia,no,,Ablabesmyia,Chironomidae
Ablabesmyia sp.,Ablabesmyia,yes,sp.,Ablabesmyia,Chironomidae
Acari,Acari,no,,Acari,Acari
Acari (Acarina),Acari,yes,naming scheme,Acari,Acari
Acentrella,Acentrella,no,,Acentrella,Ephemeroptera
Acentrella insignificans,Acentrella insignificans,no,,Acentrella insignificans,Ephemeroptera
Acentrella insignificans complex,Acentrella insignificans,yes,naming scheme,Acentrella insignificans,Ephemeroptera
Acentrella parvula,Acentrella parvula,no,,Acentrella parvula,Ephemeroptera
Acentrella sp.,Acentrella,yes,sp.,Acentrella,Ephemeroptera
Acentrella turbida,Acentrella turbida,no,,Acentrella turbida,Ephemeroptera
Acerpenna,Acerpenna,no,,Acerpenna,Ephemeroptera
Acerpenna pygmaea,Acerpenna,yes,backed off to genus,Acerpenna,Ephemeroptera
Acerpenna sp.,Acerpenna,yes,sp.,Acerpenna,Ephemeroptera
Acilius,Acilius,no,,Acilius,Coleoptera
Acricotopus,Acricotopus,no,,Acricotopus,Chironomidae
Acricotopus sp.,Acricotopus,yes,sp.,Acricotopus,Chironomidae
ACTINOBDELLA,Actinobdella,yes,CAPs,Actinobdella,Hemiptera
AEOLOSOMA,Aeolosoma,yes,CAPs,Aeolosoma,Misc. Phyla
Aeolosoma sp.,Aeolosoma,yes,sp.,Aeolosoma,Misc. Phyla
Aeshna sp.,Aeshna/Rhionaeschna,yes,sp.,Aeshna/Rhionaeschna,Odonata
Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,no,,Aeshna/Rhionaeschna,Odonata
Aeshnidae,Aeshnidae,no,,Aeshnidae,Odonata
Aeshnidae (darner dragonflies),Aeshnidae,yes,naming scheme,Aeshnidae,Odonata
Agabinae,Agabinae,no,,Agabinae,Coleoptera
Agabus,Agabinae,yes,backed off to subfamily,Agabinae,Coleoptera
Agabus sp.,Agabinae,yes,backed off to subfamily,Agabinae,Coleoptera
Agapetus,Agapetus,no,,Agapetus,Trichoptera
Agapetus sp.,Agapetus,yes,sp.,Agapetus,Trichoptera
Agathon,Agathon,no,,Agathon,Diptera
Agathon sp.,Agathon,yes,sp.,Agathon,Diptera
Agraylea,Agraylea,no,,Agraylea,Trichoptera
Agraylea sp.,Agraylea,yes,sp.,Agraylea,Trichoptera
Albertathyas,Acari,yes,mites collapsed to Acari,Albertathyas montana,Acari
Albertathyas montana,Acari,yes,mites collapsed to Acari,Albertathyas montana,Acari
Albia,Acari,yes,mites collapsed to Acari,Albia,Acari
Albia sp.,Acari,yes,mites collapsed to Acari,Albia,Acari
Allocosmoecus partitus,Allocosmoecus partitus,no,monotypic,Allocosmoecus partitus,Trichoptera
Allomyia,Allomyia,no,,Allomyia,Trichoptera
Allomyia sp.,Allomyia,yes,sp.,Allomyia,Trichoptera
Alotanypus,Alotanypus,no,,Alotanypus,Chironomidae
Alotanypus sp.,Alotanypus,yes,sp.,Alotanypus,Chironomidae
Ambrysus,Ambrysus,no,,Ambrysus,Hemiptera
Ambrysus sp.,Ambrysus,yes,sp.,Ambrysus,Hemiptera
Ameletus,Ameletus,no,,Ameletus,Ephemeroptera
Ameletus sp.,Ameletus,yes,sp.,Ameletus,Ephemeroptera
Ametor,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Ametor sp.,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Amiocentrus,Amiocentrus,no,,Amiocentrus,Trichoptera
Amiocentrus aspilus,Amiocentrus,yes,backed off due to COI data,Amiocentrus,Trichoptera
Amnicolidae,Truncatelloidea,yes,backed off to Truncatelloidea,Truncatelloidea,Mollusca
Amphiagrion sp.,Coenagrionidae,yes,backed off to family,Coenagrionidae,Odonata
