TAXAID,CommonName,AgeClass,AgeClass_text,MinLength_mm,MaxLength_mm,Source
CATOSTOMUS COLUMBIANUS,BRIDGELIP SUCKER,1,1,0,64,Wydoski and Whitney 2003
CATOSTOMUS COLUMBIANUS,BRIDGELIP SUCKER,2,2,65,147,Wydoski and Whitney 2003
CATOSTOMUS COLUMBIANUS,BRIDGELIP SUCKER,3,3,148,224,Wydoski and Whitney 2003
CATOSTOMUS COLUMBIANUS,BRIDGELIP SUCKER,4,4,225,292,Wydoski and Whitney 2003
CATOSTOMUS COLUMBIANUS,BRIDGELIP SUCKER,5,5,293,335,Wydoski and Whitney 2003
CATOSTOMUS COLUMBIANUS,BRIDGELIP SUCKER,6,6,336,361,Wydoski and Whitney 2003
CATOSTOMUS COLUMBIANUS,BRIDGELIP SUCKER,7,7,362,386,Wydoski and Whitney 2003
CATOSTOMUS COLUMBIANUS,BRIDGELIP SUCKER,8,8,387,401,Wydoski and Whitney 2003
CATOSTOMUS COLUMBIANUS,BRIDGELIP SUCKER,9,9,402,409,Wydoski and Whitney 2003
CATOSTOMUS COLUMBIANUS,BRIDGELIP SUCKER,10,>9,410,1500,Wydoski and Whitney 2003
SALMO TRUTTA,BROWN TROUT,1,1,0,81,Wydoski and Whitney 2003
SALMO TRUTTA,BROWN TROUT,2,2,82,137,Wydoski and Whitney 2003
SALMO TRUTTA,BROWN TROUT,3,3,138,193,Wydoski and Whitney 2003
SALMO TRUTTA,BROWN TROUT,4,4,194,244,Wydoski and Whitney 2003
SALMO TRUTTA,BROWN TROUT,5,5,245,345,Wydoski and Whitney 2003
SALMO TRUTTA,BROWN TROUT,6,>5,346,1500,Wydoski and Whitney 2003
RICHARDSONIUS BALTEATUS BALTEATUS,COLUMBIA REDSIDE SHINER,1,1,0,53,Wydoski and Whitney 2003
RICHARDSONIUS BALTEATUS BALTEATUS,COLUMBIA REDSIDE SHINER,2,2,54,86,Wydoski and Whitney 2003
RICHARDSONIUS BALTEATUS BALTEATUS,COLUMBIA REDSIDE SHINER,3,3,87,119,Wydoski and Whitney 2003
RICHARDSONIUS BALTEATUS BALTEATUS,COLUMBIA REDSIDE SHINER,4,4,120,142,Wydoski and Whitney 2003
RICHARDSONIUS BALTEATUS BALTEATUS,COLUMBIA REDSIDE SHINER,5,5,143,155,Wydoski and Whitney 2003
RICHARDSONIUS BALTEATUS BALTEATUS,COLUMBIA REDSIDE SHINER,6,>5,156,1500,Wydoski and Whitney 2003
COTTUS HUBBSI,COLUMBIA SCULPIN,1,1,0,53,Wydoski and Whitney 2003
COTTUS HUBBSI,COLUMBIA SCULPIN,2,2,54,83,Wydoski and Whitney 2003
COTTUS HUBBSI,COLUMBIA SCULPIN,3,3,84,109,Wydoski and Whitney 2003
COTTUS HUBBSI,COLUMBIA SCULPIN,4,4,110,119,Wydoski and Whitney 2003
COTTUS HUBBSI,COLUMBIA SCULPIN,5,5,120,130,Wydoski and Whitney 2003
COTTUS HUBBSI,COLUMBIA SCULPIN,6,>5,131,1500,Wydoski and Whitney 2003
MICROPTERUS SALMOIDES,LARGEMOUTH BASS,1,1,0,75,Wydoski and Whitney 2003
MICROPTERUS SALMOIDES,LARGEMOUTH BASS,2,2,76,149,Wydoski and Whitney 2003
MICROPTERUS SALMOIDES,LARGEMOUTH BASS,3,3,150,216,Wydoski and Whitney 2003
MICROPTERUS SALMOIDES,LARGEMOUTH BASS,4,4,217,269,Wydoski and Whitney 2003
MICROPTERUS SALMOIDES,LARGEMOUTH BASS,5,5,270,315,Wydoski and Whitney 2003
MICROPTERUS SALMOIDES,LARGEMOUTH BASS,6,>5,316,1500,Wydoski and Whitney 2003
CATOSTOMUS MACROCHEILUS,LARGESCALE SUCKER,1,1,0,46,Wydoski and Whitney 2003
CATOSTOMUS MACROCHEILUS,LARGESCALE SUCKER,2,2,47,84,Wydoski and Whitney 2003
