Taxon_orig,Name type,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_AllFish_v1
ACROCHEILUS ALUTACEUS,scientific,GILA ALUTACEA,yes,nomenclature - Schonhuth et al. 2014,GILA ALUTACEA
Alosa sapidissima,scientific,ALOSA SAPIDISSIMA,no,,ALOSA SAPIDISSIMA
Ameiurus (var. sp.),scientific,DNI,yes,syntax,AMEIURUS
AMEIURUS MELAS,scientific,AMEIURUS MELAS,no,,AMEIURUS MELAS
AMEIURUS NEBULOSUS,scientific,AMEIURUS NEBULOSUS,no,,AMEIURUS NEBULOSUS
Ascaphus truei,scientific,DNI,yes,tailed frog,DNI
BANDED KILLIFISH,common,FUNDULUS DIAPHANUS,yes,common to scientific name,FUNDULUS DIAPHANUS
bass,common,DNI,yes,common to scientific name,MORONE
BLACK BULLHEAD,common,AMEIURUS MELAS,yes,common to scientific name,AMEIURUS MELAS
BLACK CRAPPIE,common,POMOXIS NIGROMACULATUS,yes,common to scientific name,POMOXIS NIGROMACULATUS
BLUEGILL,common,LEPOMIS MACROCHIRUS,yes,common to scientific name,LEPOMIS MACROCHIRUS
BRIDGELIP SUCKER,common,CATOSTOMUS COLUMBIANUS,yes,common to scientific name,CATOSTOMUS COLUMBIANUS
BRIDGELIP X LARGESCALE SUCKER,common,CATOSTOMUS COLUMBIANUS X CATOSTOMUS MACROCHEILUS,yes,common to scientific name,CATOSTOMUS COLUMBIANUS X CATOSTOMUS MACROCHEILUS
BROOK TROUT,common,SALVELINUS FONTINALIS,yes,common to scientific name,SALVELINUS FONTINALIS
BROOK TROUT X BULL TROUT,common,DNI,yes,common to scientific name,SALVELINUS FONTINALIS X SALVELINUS CONFLUENTUS
BROWN BULLHEAD,common,AMEIURUS NEBULOSUS,yes,common to scientific name,AMEIURUS NEBULOSUS
BROWN TROUT,common,SALMO TRUTTA,yes,common to scientific name,SALMO TRUTTA
BULL TROUT,common,SALVELINUS CONFLUENTUS,yes,common to scientific name,SALVELINUS CONFLUENTUS
CARASSIUS AURATUS,scientific,DNI,yes,not including in BCG,CARASSIUS AURATUS
catfish,common,DNI,yes,common to scientific name,SILURIFORMES
CATOSTOMIDAE,scientific,DNI,yes,not including in BCG (too coarse),CATOSTOMIDAE
CATOSTOMUS,scientific,DNI,yes,not including in BCG (too coarse),CATOSTOMUS
Catostomus (var. sp.),scientific,DNI,yes,syntax,CATOSTOMUS
CATOSTOMUS CATOSTOMUS,scientific,CATOSTOMUS CATOSTOMUS,no,,CATOSTOMUS CATOSTOMUS
CATOSTOMUS COLUMBIANUS,scientific,CATOSTOMUS COLUMBIANUS,no,,CATOSTOMUS COLUMBIANUS
CATOSTOMUS COLUMBIANUS X CATOSTOMUS MACROCHEILUS,scientific,CATOSTOMUS COLUMBIANUS X CATOSTOMUS MACROCHEILUS,no,,CATOSTOMUS COLUMBIANUS X CATOSTOMUS MACROCHEILUS
CATOSTOMUS MACROCHEILUS,scientific,CATOSTOMUS MACROCHEILUS,no,,CATOSTOMUS MACROCHEILUS
CATOSTOMUS PLATYRHYNCHUS,scientific,PANTOSTEUS PLATYRHYNCHUS,yes,nomenclature - Unmack et al. 2014,PANTOSTEUS PLATYRHYNCHUS
Catostomus sp.,scientific,DNI,yes,syntax,CATOSTOMUS
Centrarchidae,scientific,DNI,yes,not including in BCG (too coarse),CENTRARCHIDAE
CHANNEL CATFISH,common,ICTALURUS PUNCTATUS,yes,common to scientific name,ICTALURUS PUNCTATUS
