Taxon_Group,Taxon_orig,Taxon_v2,OTU_MTTI_jan23,Changed,Rationale,NonTarget,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Other Non-Insect,Batracobdella,Erpobdella,Hirudinida,yes,,FALSE,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Erpobdella,Erpobdella,Hirudinida,no,,FALSE,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Erpobdella punctata,Erpobdella,Hirudinida,yes,,FALSE,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Erpobdellidae,Erpobdella,Hirudinida,yes,,FALSE,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Mooreobdella,Erpobdella,Hirudinida,yes,,FALSE,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Myzobdella,Erpobdella,Hirudinida,yes,,FALSE,Erpobdella,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,
Other Non-Insect,Dina,Erpobdella,Hirudinida,yes,Invalid Jr. syn of Erpobdella,FALSE,Erpobdella,69439,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,,,,Dina,,,,,
Other Non-Insect,Haemopis,Haemopis,Hirudinida,no,,FALSE,Haemopis,69408,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Hirudiniformes,,Haemopidae,Haemopinae,,,Haemopis,,,,,
Other Non-Insect,Haemopis grandis,Haemopis,Hirudinida,ADDED 20221222,,FALSE,Haemopis,69408,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Hirudiniformes,,Haemopidae,Haemopinae,,,Haemopis,,,,,
Other Non-Insect,Arhynchobdellida,Arhynchobdellida,Hirudinida,no,,FALSE,Arhynchobdellida,568835,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,,,,,,,,,,,
Other Non-Insect,Glossiphonia,Glossiphonia,Hirudinida,no,,FALSE,Glossiphonia,69380,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Glossiphoniinae,,,Glossiphonia,,,,,
Other Non-Insect,Glossiphonia complanata,Glossiphonia,Hirudinida,yes,,FALSE,Glossiphonia,69380,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Glossiphoniinae,,,Glossiphonia,,,,,
Other Non-Insect,Glossiphonia elegans,Glossiphonia,Hirudinida,yes,,FALSE,Glossiphonia,69380,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Glossiphoniinae,,,Glossiphonia,,,,,
Other Non-Insect,Helobdella,Helobdella,Hirudinida,no,,FALSE,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Other Non-Insect,Helobdella papillata,Helobdella,Hirudinida,yes,,FALSE,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Other Non-Insect,Helobdella stagnalis,Helobdella,Hirudinida,yes,,FALSE,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Other Non-Insect,Helobdella stagnalis complex,Helobdella,Hirudinida,yes,,FALSE,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Other Non-Insect,Helobdella triserialis,Helobdella,Hirudinida,yes,,FALSE,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Other Non-Insect,Glossiphoniidae,Glossiphoniidae,Hirudinida,no,,FALSE,Glossiphoniidae,69357,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,,,,,,,,,
Other Non-Insect,Placobdella,Glossiphoniidae,Hirudinida,yes,,FALSE,Glossiphoniidae,69357,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,,,,,,,,,
Other Non-Insect,Placobdella ornata,Glossiphoniidae,Hirudinida,ADDED 20221222,,FALSE,Glossiphoniidae,69357,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,,,,,,,,,
Other Non-Insect,Theromyzon,Glossiphoniidae,Hirudinida,yes,,FALSE,Glossiphoniidae,69357,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,,,,,,,,,
Other Non-Insect,Cystobranchus salmositicus,Cystobranchus salmositicus,Hirudinida,no,,FALSE,Cystobranchus salmositicus,69309,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,Piscicolinae,,,Cystobranchus,,,,,salmositicus
Other Non-Insect,Piscicola salmositica,Cystobranchus salmositicus,Hirudinida,yes,,FALSE,Cystobranchus salmositicus,69309,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,Piscicolinae,,,Cystobranchus,,,,,salmositicus
Other Non-Insect,Piscicola,Piscicolidae,Hirudinida,yes,,FALSE,Piscicolidae,69296,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,,,,,,,,,
Other Non-Insect,Piscicola milneri,Piscicolidae,Hirudinida,yes,,FALSE,Piscicolidae,69296,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,,,,,,,,,
Other Non-Insect,Piscicolidae,Piscicolidae,Hirudinida,no,,FALSE,Piscicolidae,69296,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,,,,,,,,,
Other Non-Insect,Hirudinea,Hirudinea,Hirudinida,no,,FALSE,Hirudinea,69290,Animalia,Annelida,,Clitellata,Hirudinea,,,,,,,,,,,,,
Other Non-Insect,Hirudinida,Hirudinea,Hirudinida,yes,,FALSE,Hirudinea,69290,Animalia,Annelida,,Clitellata,Hirudinea,,,,,,,,,,,,,
Other Non-Insect,Hirudinidae,Hirudinea,Hirudinida,yes,,FALSE,Hirudinea,69290,Animalia,Annelida,,Clitellata,Hirudinea,,,,,,,,,,,,,
Other Non-Insect,Branchiobdella,Branchiobdellida,Branchiobdellida,yes,,FALSE,Branchiobdellida,69168,Animalia,Annelida,,Clitellata,Lumbriculata,Branchiobdellida,,,,,,,,,,,,
Other Non-Insect,Branchiobdellida,Branchiobdellida,Branchiobdellida,no,,FALSE,Branchiobdellida,69168,Animalia,Annelida,,Clitellata,Lumbriculata,Branchiobdellida,,,,,,,,,,,,
Other Non-Insect,Branchiobdellidae,Branchiobdellida,Branchiobdellida,yes,,FALSE,Branchiobdellida,69168,Animalia,Annelida,,Clitellata,Lumbriculata,Branchiobdellida,,,,,,,,,,,,
Oligochaeta,Achaeta,Achaeta,Enchytraeidae,no,,FALSE,Oligochaeta,68560,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Achaeta,,,,,
Oligochaeta,Cernosvitoviella,Cernosvitoviella,Enchytraeidae,no,,FALSE,Oligochaeta,68534,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Cernosvitoviella,,,,,
Oligochaeta,Chamaedrilus,Chamaedrilus,Enchytraeidae,no,,FALSE,Oligochaeta,,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Chamaedrilus,,,,,
Oligochaeta,Enchytraeus,Enchytraeus,Enchytraeidae,no,,FALSE,Oligochaeta,68531,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Enchytraeus,,,,,
Oligochaeta,Fridericia,Fridericia,Enchytraeidae,no,,FALSE,Oligochaeta,204785,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Fridericia,,,,,
Oligochaeta,Henlea,Henlea,Enchytraeidae,no,,FALSE,Oligochaeta,68541,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Henlea,,,,,
Oligochaeta,Marionina,Marionina,Enchytraeidae,no,Dubious ID ( known from MN and WI),TRUE,Marionina,68515,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Marionina,,,,,
Oligochaeta,Mesenchytraeus,Mesenchytraeus,Enchytraeidae,no,,FALSE,Oligochaeta,68544,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Mesenchytraeus,,,,,
Oligochaeta,Mesenchytraeus ,Mesenchytraeus,Enchytraeidae,ADDED 20221222,Trailing space after genus Name,FALSE,Oligochaeta,68544,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Mesenchytraeus,,,,,
Oligochaeta,Mesenchytraeusá,Mesenchytraeus,Enchytraeidae,yes,FORMATTING,FALSE,Oligochaeta,68544,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Mesenchytraeus,,,,,
Oligochaeta,Enchytraeidae,Enchytraeidae,Enchytraeidae,no,,FALSE,Oligochaeta,68510,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,,,,,,
Oligochaeta,Randidrilus,Enchytraeidae,Enchytraeidae,yes,,FALSE,Oligochaeta,68510,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,,,,,,
Oligochaeta,Haplotaxida,Haplotaxis,DNI,yes,,FALSE,Oligochaeta,68505,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,,Haplotaxidae,,,,Haplotaxis,,,,,
Oligochaeta,Haplotaxidae,Haplotaxis,DNI,yes,,FALSE,Oligochaeta,68505,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,,Haplotaxidae,,,,Haplotaxis,,,,,
Oligochaeta,Haplotaxis,Haplotaxis,DNI,no,,FALSE,Oligochaeta,68505,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,,Haplotaxidae,,,,Haplotaxis,,,,,
Oligochaeta,Altmanella,Altmanella,Lumbriculidae,no,,FALSE,Oligochaeta,974298,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Altmanella,,,,,
