FinalID,NonTarget,Rank,FFG,FeedingGroupsCode,FeedGrpWt,HABIT,HABIT_MPCA,TolVal,TolVal2,LongLived,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,BenTaxaID,TSN,ParTSN
Abedus,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,,Belostomatidae,,,Abedus,,,831,103717,103683
Ablabesmyia,FALSE,Genus,PR,pr,PredE,SP,spra,7.384246879,20.71612764,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,,565,128079,128078
Acanthametropodidae,FALSE,Family,PR,pr,PredE,SW,swim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Acanthametropodidae,,,,,,1799,568543,609500
Acanthametropus,FALSE,Genus,PR,pr,PredE,SW,swim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Acanthametropodidae,,,Acanthametropus,,,1649,100987,568543
Acari,FALSE,SubClass,PR,pr,,CN,clng,7,,FALSE,4,4,,,Arthropoda,,Arachnida,Acarina,,,,,,,,,73,,
Acentrella,FALSE,Genus,CG,cg,,SW,swim,8.459705862,20.95682949,FALSE,4,4,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella,,,744,100801,100755
Acentrella/Baetis,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella/Baetis,,,749,,
Acentria,FALSE,Genus,SH,sh,,CB,clim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Lepidoptera,Microlepidoptera,Pyralidae,Nymphulinae,Acentropini,Acentria,,,874,117741,117641
Acerpenna,FALSE,Genus,CG,cg,,SW,swim,2.67697148,20.855872,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acerpenna,,,750,568546,100755
Acilius,FALSE,Genus,PR,pr,PredP,SW,swim,,,FALSE,4,4,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Dytiscinae,Acyliini,Acilius,,,131,112074,111963
Acricotopus,FALSE,Genus,CG,cg,,SP,spra,4.045273247,20.163615,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Acricotopus,,,473,128463,128457
Acroneuria,FALSE,Genus,PR,pr,,CN,clng,2.396699257,20.06524914,TRUE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,,,1009,102917,102914
Actinobdella,FALSE,Genus,PR,pr,PredS,CB,clim,,,FALSE,,,,,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Actinobdella,,,12,69384,568848
Aedes,FALSE,Genus,CF,cf,,SW,swim,,20.66914505,FALSE,4,4,5,5,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Culicidae,Culicinae,Culicini,Aedes,,,599,126234,126233
Aeshna,FALSE,Genus,PR,pr,PredE,CB,clim,7.991952888,19.17274319,TRUE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Aeshna,,,899,101603,101596
Aeshnidae,FALSE,Family,PR,pr,PredE,CB,clim,7.378822554,19.63543447,TRUE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,,,,898,101596,101595
Agabetes,FALSE,Genus,PR,pr,PredP,SW,swim,,,FALSE,,,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Laccophilinae,Agabetini,Agabetes,,,1653,112072,728236
Agabinae,FALSE,Subfamily,PR,pr,PredP,SW,swim,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Agapetinae,,,,,,,
Agabini,FALSE,Tribe,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Agapetinae,Agabini,,,,,,
