Taxon_Orig,Modified,Rationale,OTU_BCG,OTU_IBI
Cyprinidae,no,,Cyprinidae,Cyprinidae
Cyprinidae hybrid,no,,Cyprinidae hybrid,Cyprinidae hybrid
Cyprinus carpio,no,,Cyprinus carpio,Cyprinus carpio
Cyrpinus carpio,no,,Cyprinus carpio,Cyprinus carpio
Dorosoma cepedianum,no,,Dorosoma cepedianum,Dorosoma cepedianum
eastern blacknose dace,yes,common to scientific name,Rhinichthys atratulus,Rhinichthys atratulus
Eastern Mosquitofish,yes,common to scientific name,Gambusia holbrooki,Gambusia holbrooki
Eastern mudminnow,yes,common to scientific name,Umbra pygmaea,Umbra pygmaea
Eastern silvery minnow,yes,common to scientific name,Hybognathus regius,Hybognathus regius
emerald shiner,yes,common to scientific name,Notropis atherinoides,Notropis atherinoides
Enneacanthus gloriosus,no,,Enneacanthus gloriosus,Enneacanthus gloriosus
Enneacanthus obesus,no,,Enneacanthus obesus,Enneacanthus obesus
Erimystax x-punctatus,no,,Erimystax x-punctatus,Erimystax x-punctatus
Erimyzon oblongus,no,,Erimyzon oblongus,Erimyzon oblongus
Esocidae,no,,Esocidae,Esocidae
Esox americanus americanus,no,,Esox americanus americanus,Esox americanus americanus
Esox hybrid,no,,Esox hybrid,Esox hybrid
Esox lucius,no,,Esox lucius,Esox lucius
Esox masquinongy,no,,Esox masquinongy,Esox masquinongy
Esox niger,no,,Esox niger,Esox niger
Etheostoma,no,,Etheostoma,Etheostoma
Etheostoma asprigene,no,,Etheostoma asprigene,Etheostoma asprigene
Etheostoma blennioides,no,,Etheostoma blennioides,Etheostoma blennioides
Etheostoma caeruleum,no,,Etheostoma caeruleum,Etheostoma caeruleum
Etheostoma chlorosomum,no,,Etheostoma chlorosomum,Etheostoma chlorosomum
Etheostoma exile,no,,Etheostoma exile,Etheostoma exile
Etheostoma flabellare,no,,Etheostoma flabellare,Etheostoma flabellare
Etheostoma fusiforme,no,,Etheostoma fusiforme,Etheostoma fusiforme
Etheostoma microperca,no,,Etheostoma microperca,Etheostoma microperca
Etheostoma nigrum,no,,Etheostoma nigrum,Etheostoma nigrum
Acantharchus pomotis,no,,Acantharchus pomotis,Acantharchus pomotis
Acipenser fulvescens,no,,Acipenser fulvescens,Acipenser fulvescens
Acipenseridae,no,,Acipenseridae,Acipenseridae
Alosa chrysochloris,no,,Alosa chrysochloris,Alosa chrysochloris
Alosa pseudoharengus,no,,Alosa pseudoharengus,Alosa pseudoharengus
Ambloplites rupestris,no,,Ambloplites rupestris,Ambloplites rupestris
Ameiurus,no,,Ameiurus,Ameiurus
Ameiurus catus,no,,Ameiurus catus,Ameiurus catus
Ameiurus melas,no,,Ameiurus melas,Ameiurus melas
Ameiurus natalis,no,,Ameiurus natalis,Ameiurus natalis
Ameiurus nebulosus,no,,Ameiurus nebulosus,Ameiurus nebulosus
American brook lamprey,yes,common to scientific name,Lethenteron appendix,Lethenteron appendix
American eel,yes,common to scientific name,Anguilla rostrata,Anguilla rostrata
Amia calva,no,,Amia calva,Amia calva
Amiidae,no,,Amiidae,Amiidae
Ammocrypta clara,no,,Ammocrypta clara,Ammocrypta clara
Anguilla rostrata,no,,Anguilla rostrata,Anguilla rostrata
Anguillidae,no,,Anguillidae,Anguillidae
Aphredoderidae,no,,Aphredoderidae,Aphredoderidae
Aphredoderus sayanus,no,,Aphredoderus sayanus,Aphredoderus sayanus
Aplodinotus grunniens,no,,Aplodinotus grunniens,Aplodinotus grunniens
Atherinidae,no,,Atherinidae,Atherinidae
Atlantic Salmon,yes,"common to scientific name, capitalization",Salmo salar,Salmo salar
Atlantic salmon,yes,"common to scientific name, capitalization",Salmo salar,Salmo salar
Banded darter,yes,"common to scientific name, capitalization",Etheostoma zonale,Etheostoma zonale
banded darter,yes,"common to scientific name, capitalization",Etheostoma zonale,Etheostoma zonale
Banded killifish,yes,"common to scientific name, capitalization",Fundulus diaphanus,Fundulus diaphanus
banded killifish,yes,"common to scientific name, capitalization",Fundulus diaphanus,Fundulus diaphanus
Banded sunfish,yes,common to scientific name,Enneacanthus obesus,Enneacanthus obesus
bigmouth buffalo,yes,common to scientific name,Ictiobus cyprinellus,Ictiobus cyprinellus
bigmouth shiner,yes,"common to scientific name, capitalization",Notropis dorsalis,Notropis dorsalis
Bigmouth Shiner,yes,"common to scientific name, capitalization",Notropis dorsalis,Notropis dorsalis
black buffalo,yes,common to scientific name,Ictiobus niger,Ictiobus niger
black bullhead,yes,common to scientific name,Ameiurus melas,Ameiurus melas
Black crappie,yes,"common to scientific name, capitalization",Pomoxis nigromaculatus,Pomoxis nigromaculatus
black crappie,yes,"common to scientific name, capitalization",Pomoxis nigromaculatus,Pomoxis nigromaculatus
black redhorse,yes,common to scientific name,Moxostoma duquesnei,Moxostoma duquesnei
