Taxon_Group,BenTaxaID,FinalID,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank,TolVal,TolValSource,FFG,FFGSource,Habit,HabitSource,InBenthics,AdminCheck,DateNameRevised,EnterDate,Comments,Terrestrial,BCG_Attr,data_MN,BCG_Attr_NLF,BCG_Attr_Driftless,BCG_Attr_MN,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9
,1,Annelida,64357,202423,Annelida,,,,,,,,,,,,,Phylum,,WSA,CG,RBP2 1999,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,TRUE,,,,x,x,x,x
,3,Hirudinea,69290,568832,Annelida,,Clitellata,Hirudinea,,,,,,,,,,Class,9,WSA,PR,WSA,SP,WSA,,FALSE,,2006-01-17,WSA,FALSE,5,TRUE,5,x,5,5,5,5,5
,4,Erpobdellidae,69438,568836,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,Erpobdellidae,,,,,,,Family,8,WSA,PR,WSA,SP,WSA,,FALSE,,2006-01-17,WSA,FALSE,,TRUE,,,,5,5,5,5
,5,Dina,69439,69438,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,Erpobdellidae,,,Dina,,,,Genus,8,WSA,PR,RBP2 1999,SP,WSA,,FALSE,,2006-01-17,WSA,FALSE,,TRUE,,,,,,,
,6,Erpobdella,69444,568847,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Erpobdella,,,,Genus,,WSA,PR,WSA,SP,WSA,,FALSE,,2006-01-17,WSA,FALSE,,TRUE,,,,,,5,x
,7,Mooreobdella,69449,568847,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Mooreobdella,,,,Genus,8,WSA,PR,WSA,SP,WSA,,FALSE,,2006-01-17,WSA,FALSE,,TRUE,,,,5,5,,
,8,Nephelopsis,69455,568847,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Nephelopsis,,,,Genus,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,TRUE,,,,5,5,5,5
,9,Hirudinidae,69407,568835,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Hirudinidae,,,,,,,Family,8,WSA,PR,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,TRUE,,,,5,5,5,5
,10,Haemopis,69408,568844,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Hirudinidae,Haemopinae,,Haemopis,,,,Genus,,WSA,PR,USEPA 1990 Draft,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,TRUE,,,,,,,
,11,Glossiphoniidae,69357,69295,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,,,,,Family,7,WSA,PR,WSA,SP,WSA,,FALSE,,2006-01-17,WSA,FALSE,,TRUE,,,,5,5,5,5
