BenTaxaID,FinalID,OTU_Final,OTU_Lowest,OTU_Genus,OTU_Family,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank,TolVal,TolValSource,FFG,FFGSource,Habit,HabitSource,InBenthics,AdminCheck,DateNameRevised,EnterDate,Comments,Terrestrial,BCG_Attr,data_MN,BCG_Attr_NLF,BCG_Attr_Driftless,BCG_Attr_MN,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9
1,Annelida,,NA,NA,NA,64357,202423,Annelida,,,,,,,,,,,,,Phylum,,WSA,CG,RBP2 1999,,WSA,,FALSE,,38734,WSA,No,,Yes,,,,x,x,x,x
NEW,Promenetus exacuous,,,,,,,Mollusca,,Gastropoda,,Basommatophora,,Planorbidae,,,Promenetus,,exacuous,,,,,,,,,,,,,,,,,,,,,,,
NEW,Caenis diminuta,,,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Caenidae,,,Caenis,,diminuta,,,,,,,,,,,,,,,,,,,,,,,
NEW,Labiobaetis propinquus,,,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Labiobaetis,,propinquus,,,,,,,,,,,,,,,,,,,,,,,
NEW,Labiobaetis dardanus,,,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Labiobaetis,,dardanus,,,,,,,,,,,,,,,,,,,,,,,
NEW,Iswaeon,,,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Iswaeon,,,,,,,,,,,,,,,,,,,,,,,,,
NEW,Hydropsyche placoda,,,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychidae,Hydropsychinae,,Hydropsyche,,placoda,,,,,,,,,,,,,,,,,,,,,,,
NEW,Maccaffertium vicarium,,,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,vicarium,,,,,,,,,,,,,,,,,,,,,,,
NEW,Trepaxonemata,,,,,,,Platyhelminthes,Rhabditophora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW,Oecetis testacea,,,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Oecetini,Oecetis,,testacea,,,,,,,,,,,,,,,,,,,,,,,
NEW,Maccaffertium exiguum,,,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Maccaffertium,,exiguum,,,,,,,,,,,,,,,,,,,,,,,
