Taxon_Group,Taxon_orig,NonTarget,Rationale,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,OTU_Final,OTU_Lowest,OTU_Genus,OTU_Family,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank
,,,MN Access db,1,Annelida,,,NA,NA,NA,NA,64357,202423,Annelida,,,,,,,,,,,,,Phylum
,,,MN Access db,3,Hirudinea,Hirudinea,Hirudinea,Hirudinea,Hirudinea,Hirudinea,Hirudinea,69290,568832,Annelida,,Clitellata,Hirudinea,,,,,,,,,,Class
,,,MN Access db,4,Erpobdellidae,Hirudinea,Hirudinea,Hirudinea,NA,NA,Erpobdellidae,69438,568836,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,Erpobdellidae,,,,,,,Family
,,,MN Access db,5,Dina,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69439,69438,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,Erpobdellidae,,,Dina,,,,Genus
,,,MN Access db,6,Erpobdella,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69444,568847,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Erpobdella,,,,Genus
,,,MN Access db,7,Mooreobdella,Hirudinea,Hirudinea,Hirudinea,Mooreobdella,Mooreobdella,Erpobdellidae,69449,568847,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Mooreobdella,,,,Genus
,,,MN Access db,8,Nephelopsis,Hirudinea,Hirudinea,Hirudinea,NA,Nephelopsis,Erpobdellidae,69455,568847,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Nephelopsis,,,,Genus
,,,MN Access db,9,Hirudinidae,Hirudinea,Hirudinea,Hirudinea,Hirudinidae,Hirudinidae,Hirudinidae,69407,568835,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Hirudinidae,,,,,,,Family
,,,MN Access db,10,Haemopis,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69408,568844,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Hirudinidae,Haemopinae,,Haemopis,,,,Genus
,,,MN Access db,11,Glossiphoniidae,Hirudinea,Hirudinea,Hirudinea,NA,NA,Glossiphoniidae,69357,69295,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,,,,,Family
,,,MN Access db,12,Actinobdella,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69384,568848,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Actinobdella,,,,Genus
,,,MN Access db,13,Alboglossiphonia,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69388,568848,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Alboglossiphonia,,,,Genus
,,,MN Access db,14,Batracobdella,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69358,69357,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Batracobdella,,,,Genus
,,,MN Access db,15,Glossiphonia,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69380,568849,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Glossiphonia,,,,Genus
,,,MN Access db,16,Helobdella,Hirudinea,Hirudinea,Hirudinea,NA,Helobdella,Glossiphoniidae,69396,568848,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Helobdella,,,,Genus
,,,MN Access db,17,Helobdella elongata,Hirudinea,Hirudinea,Hirudinea,Helobdella elongata,Helobdella,Glossiphoniidae,69397,69396,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,Helobdella,,Helobdella elongata,,Species
,,,MN Access db,18,Helobdella stagnalis,Hirudinea,Hirudinea,Hirudinea,Helobdella stagnalis,Helobdella,Glossiphoniidae,69398,69396,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Haementeriinae,,Helobdella,,Helobdella stagnalis,,Species
,,,MN Access db,19,Placobdella,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69363,568849,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Placobdella,,,,Genus
,,,MN Access db,20,Placobdella ornata,Hirudinea,Hirudinea,Hirudinea,Placobdella ornata,Placobdella,Glossiphoniidae,69366,69363,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Placobdella,,Placobdella ornata,,Species
,,,MN Access db,21,Placobdella parasitica,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69365,69363,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Placobdella,,Placobdella parasitica,,Species
,,,MN Access db,22,Piscicola,Hirudinea,Hirudinea,Hirudinea,NA,NA,NA,69304,568852,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Piscicolidae,Piscicolinae,,Piscicola,,,,Genus
