Taxon_Group,Taxon_Orig,Rank,NonTarget,Rationale,source_MPCA,source_RedLake,Notes,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety
,Abedus,Genus,FALSE,,MN BCG Access db,,,831,Abedus,Belostomatidae,,103717,103683,Arthropoda,,Insecta,Pterygota,Hemiptera,,Belostomatidae,,,Abedus,,,
,Ablabesmyia,Genus,FALSE,,MN BCG Access db,,,565,Ablabesmyia,Ablabesmyia,,128079,128078,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,,
,Ablabesmyia annulata,Species,FALSE,,MN BCG Access db,,,566,Ablabesmyia annulata,Ablabesmyia,,128081,128079,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,Ablabesmyia annulata,
,Ablabesmyia janta,Species,FALSE,,MN BCG Access db,,,567,Ablabesmyia janta,Ablabesmyia,,128093,128079,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,Ablabesmyia janta,
,Ablabesmyia mallochi,Species,FALSE,,MN BCG Access db,,,568,Ablabesmyia mallochi,Ablabesmyia,,128097,128079,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,Ablabesmyia mallochi,
,Acanthametropodidae,Family,FALSE,,MN BCG Access db,,,1799,Acanthametropodidae,Acanthametropodidae,,568543,609500,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Acanthametropodidae,,,,,,
,Acanthametropus,Genus,FALSE,,MN BCG Access db,,,1649,Acanthametropus,Acanthametropodidae,,100987,568543,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Acanthametropodidae,,,Acanthametropus,,,
,Acari,SubClass,FALSE,,MN BCG Access db,,,73,Acari,Acari,,,,Arthropoda,,Arachnida,Acarina,,,,,,,,,
,Acariformes,Order,FALSE,,MN BCG Access db,,,75,Acariformes,Acari,,690740,82754,Arthropoda,,Arachnida,Acarina,Acariformes,,,,,,,,
,Acentrella,Genus,FALSE,,MN BCG Access db,,,744,Acentrella,Acentrella,,100801,100755,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella,,,
,Acentrella ampla,Species,FALSE,,MN BCG Access db,,,745,Acentrella ampla,Acentrella,,568571,100801,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella,,Acentrella ampla,
,Acentrella insignificans,Species,FALSE,,MN BCG Access db,,,746,Acentrella insignificans,Acentrella,,568572,100801,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Acentrella,,Acentrella insignificans,
