FishTaxaID,FinalID,SciID,Kingdom,Phylum,Class,Order,Family,Genus,Species,EnterDate,Comments,TSN,ParTSN,CNCode,BCG_Attr_NLF,BCG_Attr_Driftless,BCG_Attr,data_MN,BCG_Attr_MN_01,BCG_Attr_MN_02,BCG_Attr_MN_03,BCG_Attr_MN_04,BCG_Attr_MN_05,BCG_Attr_MN_06,BCG_Attr_MN_07,BCG_Attr_MN_10,BCG_Attr_MN_11,BCG_Attr_MN2_01,BCG_Attr_MN2_02,BCG_Attr_MN2_03,BCG_Attr_MN2_04,BCG_Attr_MN2_05,BCG_Attr_MN2_06,BCG_Attr_MN2_07,BCG_Attr_MN2_10,BCG_Attr_MN2_11
2,Atlantic Salmon,Salmo salar,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,salar,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
19,Slimy Sculpin,Cottus cognatus,Animalia,Chordata,Osteichthyes,Scorpaeniformes,Cottidae,Cottus,cognatus,##########,,,,,2,2,2,FALSE,x,x,x,x,2,2,x,2,2,x,2,2,x,2,2,x,2,2
21,American brook lamprey,Lethenteron appendix,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lethenteron,appendix,##########,,,,,2,,2,FALSE,2,2,2,x,x,x,2,2,2,2,2,2,x,x,x,2,2,2
22,American eel,Anguilla rostrata,Animalia,Chordata,Osteichthyes,Anguilliformes,Anguillidae,Anguilla,rostrata,##########,,,,,,,,FALSE,1,1,1,x,x,x,x,1,x,1,1,x,x,x,x,x,x,x
23,Banded darter,Etheostoma zonale,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,zonale,##########,,,,,3,,3,FALSE,3,3,3,x,x,x,3,3,3,3,3,3,x,x,x,3,4,4
24,Banded killifish,Fundulus diaphanus,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,diaphanus,##########,,,,,,2,2,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,Banded sunfish,Enneacanthus obesus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Enneacanthus,obesus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
26,Black crappie,Pomoxis nigromaculatus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,##########,,,,,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
27,western blacknose dace,Rhinichthys obtusus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,obtusus,##########,,,,,5,,5,FALSE,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4
28,Bluegill,Lepomis macrochirus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,macrochirus,##########,,,,,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
29,Bluespotted sunfish,Enneacanthus gloriosus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Enneacanthus,gloriosus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
30,Bluntnose minnow,Pimephales notatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,notatus,##########,,,,,5,4,5,FALSE,5,5,5,5,5,5,5,5,5,5a,5a,5a,5a,5a,5a,5a,5a,5a
31,Brook lamprey,Lampetra,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lampetra,,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
32,Brook trout,Salvelinus fontinalis,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,fontinalis,##########,,,,,2,2,2,FALSE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
33,Brown bullhead,Ameiurus nebulosus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,nebulosus,##########,,,,,,4,4,FALSE,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5
34,Brown trout,Salmo trutta,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,trutta,##########,,,,,6,6,6,FALSE,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
35,Central stoneroller,Campostoma anomalum,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,anomalum,##########,,,,,3,4,3,FALSE,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5
36,Chain pickerel,Esox niger,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,niger,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
37,Channel catfish,Ictalurus punctatus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,punctatus,##########,,,,,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,x,x
38,Checkered sculpin,Cottus sp.,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
39,Comely shiner,Notropis amoenus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,amoenus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
40,Common carp,Cyrpinus carpio,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyrpinus,carpio,##########,,,,,6,6,6,FALSE,6,6,6,6,6,6,6,6,6,6a,6a,6a,6a,6a,6a,6a,6a,6a
41,Common shiner,Luxilus cornutus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,cornutus,##########,,,,,4,4,4,FALSE,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4
42,Creek chub,Semotilus atromaculatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,atromaculatus,##########,,,,,4,5,4,FALSE,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4
43,Creek chubsucker,Erimyzon oblongus,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Erimyzon,oblongus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,x,x
44,Cutlips minnow,Exoglossum maxillingua,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Exoglossum,maxillingua,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
45,Eastern Mosquitofish,Gambusia holbrooki,Animalia,Chordata,Osteichthyes,Atheriniformes,Poeciliidae,Gambusia,holbrooki,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
46,Eastern mudminnow,Umbra pygmaea,Animalia,Chordata,Osteichthyes,Salmoniformes,Umbridae,Umbra,pygmaea,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
47,Eastern silvery minnow,Hybognathus regius,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hybognathus,regius,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
48,Fallfish,Semotilus corporalis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,corporalis,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
49,Fantail darter,Etheostoma flabellare,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,flabellare,##########,,,,,4,4,4,FALSE,4,4,4,x,x,x,4,4,4,4,4,3,x,x,x,4,4,4
50,Fathead minnow,Pimephales promelas,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,promelas,##########,,,,,5,5,5,FALSE,5,5,5,5,5,5,5,5,5,5a,5a,5a,5a,5a,5a,5a,5a,5a
51,Flier,Centrarchus macropterus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Centrarchus,macropterus,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
52,Gizzard shad,Dorosoma cepedianum,Animalia,Chordata,Osteichthyes,,Clupeidae,Dorosoma,cepedianum,##########,,,,,,4,4,FALSE,4,4,4,x,x,x,x,4,x,4,4,x,x,x,x,x,x,x
53,Glassy darter,Etheostoma vitreum,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,vitreum,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
54,Golden redhorse,Moxostoma erythrurum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,erythrurum,##########,,,,,3,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
55,Golden shiner,Notemigonus crysoleucas,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas,##########,,,,,,4,4,FALSE,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4
56,Goldfish,Carassius auratus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Carassius,auratus,##########,,,,,,6,6,FALSE,6,6,6,6,6,6,6,6,6,6a,6a,6a,6a,6a,6a,6a,6a,6a
57,Green sunfish,Lepomis cyanellus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,cyanellus,##########,,,,,5,5,5,FALSE,5,5,5,5,5,5,5,5,5,5a,5a,5a,5a,5a,5a,5,5a,5a
58,Greenside darter,Etheostoma blennioides,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,blennioides,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,4,4
59,Inland silverside,Menidia beryllina,Animalia,Chordata,Osteichthyes,,Atherinidae,Menidia,beryllina,##########,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,
