CommonName,ScientificName,MPCA_Composition,MPCA_Habitat,MPCA_Life History,MPCA_Reproductive,MPCA_Tolerance,MPCA_Trophic,MPCA_Native,TYPE,HABITAT,REPRODUCTION,TOLER,TROPHIC,Schooling
Lampreys,Petromyzontidae,,,,,S,,,,,,S,,
lamprey ammocoete,Petromyzontidae larvae,,,,,"I,S",,,,,,"I,S",,
chestnut lamprey,Ichthyomyzon castaneus,,,,MA>3-T,"I,S",PI,,,,MA>3-T,"I,S",PI,
northern brook lamprey,Ichthyomyzon fossor,,,,MA>3-T,"I,ICW,S,SCW",,,,,MA>3-T,"I,ICW,S,SCW",,
southern brook lamprey,Ichthyomyzon gagei,,,,MA>3-T,"I,ICW,S,SCW",DE,,,,MA>3-T,"I,ICW,S,SCW",DE,
silver lamprey,Ichthyomyzon unicuspis,,,,MA>3-T,S,PI,,,,MA>3-T,S,PI,
American brook lamprey,Lampetra appendix,,HW-T,,MA>3-T,"I,ICW,S,SCW",,,,HW-T,MA>3-T,"I,ICW,S,SCW",,
sea lamprey,Petromyzon marinus,EX,,,MA>3-T,,"DE,PI",Exotic,EX,,MA>3-T,,"DE,PI",
Sturgeons,Acipenseridae,,,,SILI,,"BI-T,IN-T",,,,SILI,,"BI-T,IN-T",
lake sturgeon,Acipenser fulvescens,,,,"MA>3-T,SILI","I,S","BI-T,IN-T",,,,"MA>3-T,SILI","I,S","BI-T,IN-T",
shovelnose sturgeon,Scaphirhynchus platorynchus,,,,"MA>3-T,SILI",,"BI-T,IN-T",,,,"MA>3-T,SILI",,"BI-T,IN-T",
Paddlefishes,Polydontidae,,,,,,,,,,,,,
paddlefish,Polyodon spathula,,,,"MA>3-T,SILI","I,S",,,,,"MA>3-T,SILI","I,S",,
Gars,Lepisosteidae,,,,,,PI,,,,,,PI,
longnose gar,Lepisosteus osseus,,,,"MA>3-T,SER",,PI,,,,"MA>3-T,SER",,PI,
shortnose gar,Lepisosteus platostomus,,,,MA>3-T,,PI,,,,MA>3-T,,PI,
Bowfins,Amiidae,,,,,,,,,,,,,
bowfin,Amia calva,,,,MA>3-T,,PI,,,,MA>3-T,,PI,
Mooneyes,Hiodontidae,,,,,,IN-T,,,,,,IN-T,
goldeye,Hiodon alosoides,,,,MA>3-T,,IN-T,,,,MA>3-T,,IN-T,
mooneye,Hiodon tergisus,,,,,S,IN-T,,,,,S,IN-T,
Eels,Anguillidae,,,,,,,,,,,,,
American eel,Anguilla rostrata,,,,,,PI,,,,,,PI,
Herrings,Clupiidae,,,,,,,,,,,,,
skipjack herring,Alosa chrysochloris,,,,,,PI,,,,,,PI,
