TaxaID,Rank,Genus,Species,nOcc,SumIndiv,NonTarget,BCG_attr,BCG_attr2,BCG_attr_Roman,NutrientIndicator,pH_TolAnal,AcidImpacted,MajorHabitatGrp,MajorHabitatGrp_Narr,SIZE_USGS,TROPHIC_BCG,TROPHIC_USGS,P_USGS,N_USGS,N_FIXER_USGS,MOTILITY_USGS,MOTILE2_USGS,HABIT_USGS
Achnanthes,Genera,Achnanthes,,181,201,FALSE,4,4_better,IV_better,,acid,,benthic,benthic (many possible substrates),,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthes acares,Species,Achnanthes,Achnanthes acares,3,2,FALSE,,,,,,,benthic,benthic (many possible substrates),SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthes gracilis,Species,Achnanthes,Achnanthes gracilis,1,1,FALSE,,,,,,,,,,,,,,,,,
Achnanthes helvetica var. alpina,Variety,Achnanthes,Achnanthes helvetica,1,1,FALSE,,,,,,,,,,,,,,,,,
Achnanthes kryophila,Species,Achnanthes,Achnanthes kryophila,2,3,FALSE,,,,,,,benthic,benthic (many possible substrates),,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthes lanceolata var. elliptica,Variety,Achnanthes,Achnanthes lanceolata,1,2,FALSE,,,,,,,,,,,,,,,SLIGHTLY_MOTILE,,
Achnanthes lapidosa var. appalachiana,Variety,Achnanthes,Achnanthes lapidosa,2,3,FALSE,,,,,,,,,,,,,,,SLIGHTLY_MOTILE,,
Achnanthes lapidosa var. lanceolata,Variety,Achnanthes,Achnanthes lapidosa,1,2,FALSE,,,,,,,benthic,benthic (many possible substrates),,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthes marginulata var. sublaevis,Variety,Achnanthes,Achnanthes marginulata,1,3,FALSE,,,,,,,benthic,benthic (many possible substrates),,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthes parvula,Species,Achnanthes,Achnanthes parvula,1,1,FALSE,,,,,,,,,,,,,,,,,
Achnanthes pinnata,Species,Achnanthes,Achnanthes pinnata,1,3,FALSE,,,,,,,,,,,,,,,SLIGHTLY_MOTILE,,
Achnanthes sp. 1 NLS EAM,Species/Dataset,Achnanthes,Achnanthes sp. 1 NLS EAM,7,84,FALSE,,,,,,,,,,,,,,,,,
Achnanthes sp. 1 PIRLA,Species/Dataset,Achnanthes,Achnanthes sp. 1 PIRLA,2,1,FALSE,,,,,,,,,,,,,,,,,
Achnanthes sp. 2 PIRLA,Species/Dataset,Achnanthes,Achnanthes sp. 2 PIRLA,17,7,FALSE,,,,,,,,,,,,,,,,,
Achnanthes sp. 5 PIRLA,Species/Dataset,Achnanthes,Achnanthes sp. 5 PIRLA,2,1,FALSE,,,,,,,,,,,,,,,,,
Achnanthes sp. 6 PIRLA,Species/Dataset,Achnanthes,Achnanthes sp. 6 PIRLA,7,66,FALSE,,,,,,,,,,,,,,,,,
Achnanthes sp. 7 PIRLA,Species/Dataset,Achnanthes,Achnanthes sp. 7 PIRLA,4,16,FALSE,,,,,,,,,,,,,,,,,
Achnanthes sp. 8 PIRLA,Species/Dataset,Achnanthes,Achnanthes sp. 8 PIRLA,13,34,FALSE,,,,,,,,,,,,,,,,,
Achnanthes stolida,Species,Achnanthes,Achnanthes stolida,3,6,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthes subhudsonis var. kraeuselii,Variety,Achnanthes,Achnanthes subhudsonis,19,53,FALSE,,,,,,,,,,,,,,,WEAKLY_MOTILE,,
Achnanthidium,Genera,Achnanthidium,,147,412,FALSE,4,4_middle,IV_middle,,alkali,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium biasolettianum,Species,Achnanthidium,Achnanthidium biasolettianum,1,3,FALSE,,,,,,,benthic,benthic (many possible substrates),,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium caledonicum,Species,Achnanthidium,Achnanthidium caledonicum,111,997,FALSE,4,4_better,IV_better,,alkali,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium catenatum,Species,Achnanthidium,Achnanthidium catenatum,31,67,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium crassum,Species,Achnanthidium,Achnanthidium crassum,29,65,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium deflexum,Species,Achnanthidium,Achnanthidium deflexum,70,141,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,LOW_P,LOW_N,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium delmontii,Species,Achnanthidium,Achnanthidium delmontii,27,70,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium duthiei,Species,Achnanthidium,Achnanthidium duthiei,14,114,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium eutrophilum,Species,Achnanthidium,Achnanthidium eutrophilum,14,41,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium exiguum,Species,Achnanthidium,Achnanthidium exiguum,394,220,FALSE,4,4_middle,IV_middle,,alkali,,benthic,benthic (many possible substrates),VERY SMALL,indiff,TROPHIC_7,HIGH_P,HIGH_N,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium exiguum var. constrictum,Variety,Achnanthidium,Achnanthidium exiguum,2,3,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,indiff,TROPHIC_7,HIGH_P,HIGH_N,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium exiguum var. elliptica,Variety,Achnanthidium,Achnanthidium exiguum,1,9,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,HIGH_P,HIGH_N,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium exiguum var. heterovalvum,Variety,Achnanthidium,Achnanthidium exiguum,20,66,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,indiff,TROPHIC_7,HIGH_P,HIGH_N,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium gracillimum,Species,Achnanthidium,Achnanthidium gracillimum,29,55,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,LOW_P,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium jackii,Species,Achnanthidium,Achnanthidium jackii,34,99,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium latecephalum,Species,Achnanthidium,Achnanthidium latecephalum,32,77,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium lineare,Species,Achnanthidium,Achnanthidium lineare,3,10,FALSE,,,,,,,benthic,benthic (many possible substrates),,,,,,,,,
Achnanthidium microcephalum,Species,Achnanthidium,Achnanthidium microcephalum,67,84,FALSE,4,4_better,IV_better,,acid,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium minutissimum,Species,Achnanthidium,Achnanthidium minutissimum,1598,14370,FALSE,4,4_middle,IV_middle,,alkali,,benthic,benthic (many possible substrates),VERY SMALL,indiff,TROPHIC_7,LOW_P,LOW_N,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium pyrenaicum,Species,Achnanthidium,Achnanthidium pyrenaicum,44,98,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,meso,TROPHIC_3,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium reimeri,Species,Achnanthidium,Achnanthidium reimeri,56,106,FALSE,4,4_better,IV_better,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium rivulare,Species,Achnanthidium,Achnanthidium rivulare,125,180,FALSE,4,4_better,IV_better,,alkali,,benthic,benthic (many possible substrates),VERY SMALL,,,LOW_P,LOW_N,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium rosenstockii,Species,Achnanthidium,Achnanthidium rosenstockii,71,202,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium saprophilum,Species,Achnanthidium,Achnanthidium saprophilum,2,4,FALSE,,,,,,,,,,,,,,,,,
Achnanthidium sp. 1 NAWQA MP,Species/Dataset,Achnanthidium,Achnanthidium sp. 1 NAWQA MP,1,4,FALSE,,,,,,,,,,,,,,,,,
Achnanthidium sp. 1 NE Lakes,Species/Dataset,Achnanthidium,Achnanthidium sp. 1 NE Lakes,22,111,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium sp. 1 VTEC Lakes,Species/Dataset,Achnanthidium,Achnanthidium sp. 1 VTEC Lakes,3,11,FALSE,,,,,,,,,,,,,,,,,
Achnanthidium sp. 2 NE Lakes,Species/Dataset,Achnanthidium,Achnanthidium sp. 2 NE Lakes,19,78,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium sp. 3 NE Lakes,Species/Dataset,Achnanthidium,Achnanthidium sp. 3 NE Lakes,1,1,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium sp. 5 NE Lakes,Species/Dataset,Achnanthidium,Achnanthidium sp. 5 NE Lakes,2,5,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Achnanthidium trinode,Species,Achnanthidium,Achnanthidium trinode,19,60,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,ADNATE
Actinella punctata,Species,Actinella,Actinella punctata,214,378,FALSE,3,,III,low,acid,,"benthic,macrophytic",benthic (strong macrophyte indicator),MEDIUM,,,,,NON_N_FIXER,WEAKLY_MOTILE,,
Actinocyclus cf. normanii NJSS DME,Species/Dataset,Actinocyclus,Actinocyclus cf. normanii NJSS DME,1,4,FALSE,,,,,,,,,,,,,,,,,
Actinocyclus normanii,Species,Actinocyclus,Actinocyclus normanii,6,57,FALSE,,,,,,,planktonic,planktonic,MEDIUM,eutra,TROPHIC_5,,,NON_N_FIXER,NON_MOTILE,,
Actinocyclus normanii fo. subsalsus,Variety,Actinocyclus,Actinocyclus normanii,1,2,FALSE,,,,,,,,,,,,,,,,,
Actinoptychus senarius,Species,Actinoptychus,Actinoptychus senarius,1,1,FALSE,,,,,,,"benthic,planktonic",planktonic and benthic,,,,,,,,,
Adlafia,Genera,Adlafia,,5,3,FALSE,4,4_better,IV_better,,alkali,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,
Adlafia bryophila,Species,Adlafia,Adlafia bryophila,52,18,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,meso,TROPHIC_3,,,NON_N_FIXER,SLIGHTLY_MOTILE,,
Adlafia detenta,Species,Adlafia,Adlafia detenta,4,3,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,,,,,NON_N_FIXER,SLIGHTLY_MOTILE,,
Adlafia minuscula,Species,Adlafia,Adlafia minuscula,9,16,FALSE,,,,,,,benthic,benthic (many possible substrates),VERY SMALL,oligo,TROPHIC_1,,,NON_N_FIXER,SLIGHTLY_MOTILE,,
