Taxon orig,OTU_BCG_NortheastLakes_v1,modified_BCG,Slash,Questionable,Notes
Achnanthes spp.,Achnanthes,yes,,,
Achnanthes sp. 9 ?,Achnanthes,yes,,,
Achnanthes sp. 8 ?,Achnanthes,yes,,,
Achnanthes sp. 7 ?,Achnanthes,yes,,,
Achnanthes sp. 6 ?,Achnanthes,yes,,,
Achnanthes sp. 5 ?,Achnanthes,yes,,,
Achnanthes sp. 4 ?,Achnanthes,yes,,,
Achnanthes sp. 3 ?,Achnanthes,yes,,,
Achnanthes sp. 2 ?,Achnanthes,yes,,,
Achnanthes sp. 1?,Achnanthes,yes,,,
Achnanthes sp. 1 ?,Achnanthes,yes,,,
Achnanthes sp. 1,Achnanthes,yes,,,
Achnanthes sp.,Achnanthes,yes,,,
Achnanthes,Achnanthes,no,,,
Achnanthes acares,Achnanthes acares,no,,,
Achnanthes gracilis,Achnanthes gracilis,no,,,
Achnanthes helvetica var. alpina,Achnanthes helvetica var. alpina,no,,,
Achnanthes kryophila,Achnanthes kryophila,no,,,
Achnanthes lanceolata var. elliptica,Achnanthes lanceolata var. elliptica,no,,,
Achnanthes lapidosa var. appalachiana,Achnanthes lapidosa var. appalachiana,no,,,
Achnanthes lapidosa var. lanceolata,Achnanthes lapidosa var. lanceolata,no,,,
Achnanthes marginulata var. sublaevis,Achnanthes marginulata var. sublaevis,no,,,
Achnanthes parvula,Achnanthes parvula,no,,,
Achnanthes pinnata,Achnanthes pinnata,no,,,
Achnanthes sp. 1 NLS EAM,Achnanthes sp. 1 NLS EAM,no,,,
Achnanthes sp. 1 PIRLA,Achnanthes sp. 1 PIRLA,no,,,
Achnanthes sp. 2 PIRLA,Achnanthes sp. 2 PIRLA,no,,,
Achnanthes sp. 5 PIRLA,Achnanthes sp. 5 PIRLA,no,,,
Achnanthes sp. 6 PIRLA,Achnanthes sp. 6 PIRLA,no,,,
Achnanthes sp. 7 PIRLA,Achnanthes sp. 7 PIRLA,no,,,
Achnanthes sp. 8 PIRLA,Achnanthes sp. 8 PIRLA,no,,,
Achnanthes stolida,Achnanthes stolida,no,,,
