"TaxaID","NONTARGET","FFG","FFGSource","Habit","HabitSource","BCG_ATTR","TolVal","TolValSource","Phylum","SubPhylum","Class","SubClass","Order","Family","SubFamily"
"Abedus",FALSE,"PR","Jacobi","CB","EPA 841-B-99-002",5,8,"AZ DEQ","Arthropoda",,"Insecta",,"Hemiptera","Belostomatidae","Belostomatinae"
"Ablabesmyia",FALSE,"PR","Jacobi","SP","M&C 95-80182",5,8,"Jacobi","Arthropoda",,"Insecta",,"Diptera","Chironomidae","Tanypodinae"
"Acarina",FALSE,"PR",,,,4,8,,"Arthropoda",,"Arachnida","Acarina",,,
"Acentrella",FALSE,"CG","05_NM1999","SW","EPA 841-B-99-002",3,4,"EPA 841-B-99-002","Arthropoda",,"Insecta",,"Ephemeroptera","Baetidae",
"Acentrella insignificans",FALSE,"CG","Jacobi","SW","WY DEQ",4,4,"Jacobi","Arthropoda",,"Insecta",,"Ephemeroptera","Baetidae",
"Acerpenna",FALSE,,"NRSA",,"NRSA",,3.6,"NRSA","Arthropoda",,"Insecta",,"Ephemeroptera","Baetidae",
"Acroneuria",FALSE,"PR","EPA 841-B-99-002","CN","M&C 95-80182",3,1,"03_WSA","Arthropoda",,"Insecta",,"Plecoptera","Perlidae","Acroneuriinae"
"Actinobdella",FALSE,,"NRSA",,"NRSA",,7.3,"NRSA","Annelida",,"Hirudinea","Hirudinea","Rhynchobdellida","Glossiphoniidae",
"Aeshnidae",FALSE,"PR","Jacobi","CB","M&C 95-80182",4,3,"EPA 841-B-99-002","Arthropoda",,"Insecta",,"Odonata","Aeshnidae",
"Allonais",FALSE,,,,,5,,,"Annelida",,"Oligochaeta",,"Tubificida","Naididae",
"Ambrysus",FALSE,"PR","EPA 841-B-99-002","CN","M&C 95-80182",4,5,"03_WSA","Arthropoda",,"Insecta",,"Hemiptera","Naucoridae","Ambrysinae"
"Ambrysus mormon",FALSE,"PR","Jacobi",,,4,5,"EPA 841-B-99-002","Arthropoda",,"Insecta",,"Hemiptera","Naucoridae","Ambrysinae"
"Ameletus",FALSE,"CG","Jacobi","SW","EPA 841-B-99-002",2,,"Jacobi","Arthropoda",,"Insecta",,"Ephemeroptera","Ameletidae",
"Amercaenis",FALSE,,"NRSA",,"NRSA",,4,"NRSA","Arthropoda",,"Insecta",,"Ephemeroptera","Caenidae",
"Americamysis",FALSE,,,,,,,,"Arthropoda",,"Malacostraca",,"Mysida","Mysidae",
"Americorophium",FALSE,,"NRSA",,"NRSA",,,"NRSA","Arthropoda",,"Malacostraca",,"Amphipoda","Gammaridae",
"Amphipoda",FALSE,,,,,,,,"Arthropoda",,"Malacostraca",,"Amphipoda",,
"Amphizoidae",FALSE,"PR","Jacobi",,,2,1,"Jacobi","Arthropoda",,"Insecta",,"Coleoptera","Amphizoidae",
"Anacaena",FALSE,,"NRSA",,"NRSA",,,"NRSA","Arthropoda",,"Insecta",,"Coleoptera","Hydrophilidae",
"Anagapetus",FALSE,"SC","Jacobi","CN","EPA 841-B-99-002",2,,"Jacobi","Arthropoda",,"Insecta",,"Trichoptera","Glossosomatidae","Glossosomatinae"
"Ancylidae",FALSE,"SC","Jacobi","CB","03_WSA",4,6,"Jacobi","Mollusca",,"Gastropoda",,"Basommatophora","Ancylidae",
"Anisoptera",FALSE,"PR","EPA 841-B-99-002",,,,6,"03_WSA","Arthropoda",,"Insecta",,"Odonata",,
"Antocha",FALSE,"CG","05_NM1999","CN","M&C 95-80182",3,3,"EPA 841-B-99-002","Arthropoda",,"Insecta",,"Diptera","Tipulidae","Limoniinae"
"Antocha monticola",FALSE,"CG","Jacobi",,,3,3,"Jacobi","Arthropoda",,"Insecta",,"Diptera","Tipulidae","Limoniinae"
"Apedilum",FALSE,,"AZ DEQ","CN","AZ DEQ",5,6,"03_WSA","Arthropoda",,"Insecta",,"Diptera","Chironomidae","Chironominae"
"Apobaetis",FALSE,,,,,,,,"Arthropoda",,"Insecta",,"Ephemeroptera","Baetidae",
"Arachnida",FALSE,,,,,4,,,"Arthropoda",,"Arachnida",,,,
"Arcteonais",FALSE,,"NRSA",,"NRSA",,,"NRSA","Annelida",,"Oligochaeta",,"Tubificida","Naididae",
"Arctopsyche grandis",FALSE,"CF","Jacobi","CN","EPA 841-B-99-002",3,2,"Jacobi","Arthropoda",,"Insecta",,"Trichoptera","Hydropsychidae","Arctopsychinae"
