"TaxaID","OTU_BCG","Rationale"
"Abedus","Abedus",
"Ablabesmyia","Ablabesmyia",
"Acarina","Acarina",
"Acentrella","Acentrella",
"Acentrella insignificans","Acentrella insignificans",
"Acerpenna","Acerpenna",
"Acroneuria","Acroneuria",
"Actinobdella","Actinobdella",
"Aeshnidae","Aeshnidae",
"Allonais","Allonais",
"Ambrysus","Ambrysus",
"Ambrysus mormon","Ambrysus mormon",
"Ameletus","Ameletus",
"Amercaenis","Amercaenis",
"Americamysis","Americamysis",
"Americorophium","Americorophium",
"Amphipoda","Amphipoda",
"Amphizoidae","Amphizoidae",
"Anacaena","Anacaena",
"Anagapetus","Anagapetus",
"Ancylidae","Ancylidae",
"Anisoptera","Anisoptera",
"Antocha","Antocha",
"Antocha monticola","Antocha monticola",
"Apedilum","Apedilum",
"Apobaetis","Apobaetis",
"Arachnida","Arachnida",
"Arcteonais","Arcteonais",
"Arctopsyche grandis","Arctopsyche grandis",
"Argia","Argia",
"Argulus","Argulus",
"Arigomphus","Arigomphus",
"Arrenurus","Arrenurus",
"Asheum","Asheum",
"Asioplax","Asioplax",
"Atherix","Atherix",
"Atherix pachypus","Atherix pachypus",
"Atractides","Atractides",
"Atrichopogon","Atrichopogon",
"Atylotus/tabanus","Atylotus/tabanus",
"Aulodrilus","Aulodrilus",
"Axarus","Axarus",
"Baetidae","Baetidae",
"Baetis","Baetis",
"Baetis flavistriga","Baetis flavistriga",
"Baetis notos","Baetis notos",
"Baetis tricaudatus","Baetis tricaudatus",
"Baetodes","Baetodes",
"Baetodes edmundsi","Baetodes edmundsi",
"Belostomatidae","Belostomatidae",
"Berosus","Berosus",
"Bezzia/palpomyia","Bezzia/palpomyia",
"Bivalvia","Bivalvia",
"Blephariceridae","Blephariceridae",
"Bothrioneurum","Bothrioneurum",
"Brachycentrus","Brachycentrus",
"Brachycentrus (oligoplectrodes) americanus","Brachycentrus (oligoplectrodes) americanus",
"Brachycentrus (sphinctogaster) occidentalis","Brachycentrus (sphinctogaster) occidentalis","Need to rectify."
"Brachycentrus occidentalis","Brachycentrus occidentalis","Need to rectify."
"Brachycercus","Brachycercus",
"Branchiobdellida","Branchiobdellida",
"Branchiura","Branchiura",
"Bratislavia","Bratislavia",
"Brillia","Brillia",
"Caecidotea","Caecidotea",
"Caenidae","Caenidae",
"Caenis","Caenis",
"Callibaetis","Callibaetis",
"Calopterygidae","Calopterygidae",
"Cambaridae","Cambaridae",
"Cambarincolidae","Cambarincolidae",
"Camelobaetidius","Camelobaetidius",
"Camelobaetidius musseri","Camelobaetidius musseri",
"Camelobaetidius warreni","Camelobaetidius warreni",
"Capniidae","Capniidae",
"Carabidae","Carabidae",
"Cardiocladius","Cardiocladius",
"Centroptilum","Centroptilum",
"Ceraclea","Ceraclea",
"Ceratopogonidae","Ceratopogonidae",
"Ceratopogoninae","Ceratopogoninae",
"Ceratopsyche oslari","Ceratopsyche oslari",
"Ceratopsyche venada","Ceratopsyche venada",
"Cercobrachys","Cercobrachys",
"Chaetarthria","Chaetarthria",
"Chaetocladius","Chaetocladius",
"Chaetogaster","Chaetogaster",
"Chaoborus","Chaoborus",
"Chelifera","Chelifera",
"Chernovskiia","Chernovskiia",
"Cheumatopsyche","Cheumatopsyche",
"Chimarra","Chimarra",
"Chironomidae","Chironomidae",
"Chironomini","Chironomini",
"Chironomus","Chironomus",
"Chloroperlidae","Chloroperlidae",
"Choroterpes","Choroterpes",
"Chrysops","Chrysops",
"Cinygmula","Cinygmula",
"Claassenia sabulosa","Claassenia sabulosa",
"Cladocera","Cladocera",
"Cladopelma","Cladopelma",
"Cladotanytarsus","Cladotanytarsus",
"Cleptelmus addenda","Cleptelmus addenda",
"Climacia","Climacia",
"Clinotanypus","Clinotanypus",
"Cnidaria","Cnidaria",
"Coelotanypus","Coelotanypus",
"Coenagrion/enallagma","Coenagrion/enallagma",
"Coenagrionidae","Coenagrionidae",
"Coleoptera","Coleoptera",
"Collembola","Collembola",
"Conchapelopia","Conchapelopia",
"Constempellina","Constempellina",
"Copelatus","Copelatus",
"Copepoda","Copepoda",
"Corbicula","Corbicula",
"Corbicula fluminea","Corbicula fluminea",
"Corduliidae","Corduliidae",
"Corixidae","Corixidae",
"Corticacarus","Corticacarus",
"Corydalidae","Corydalidae",
"Corydalus","Corydalus",
"Corydalus cornutus","Corydalus cornutus",
"Corynoneura","Corynoneura",
"Crangonyctidae","Crangonyctidae",
"Crangonyx","Crangonyx",
"Cricotopus","Cricotopus",
"Cricotopus (cricotopus)","Cricotopus (cricotopus)",
"Cricotopus (cricotopus) bicinctus","Cricotopus (cricotopus) bicinctus","Need to rectify."
"Cricotopus (cricotopus) trifascia","Cricotopus (cricotopus) trifascia","Need to rectify."
"Cricotopus (isocladius)","Cricotopus (isocladius)",
"Cricotopus (nostococladius) nostocicola","Cricotopus (nostococladius) nostocicola",
"Cricotopus bicinctus","Cricotopus bicinctus","Need to rectify."
"Cricotopus bicinctus gr.","Cricotopus bicinctus gr.","Need to rectify."
"Cricotopus trifascia","Cricotopus trifascia","Need to rectify."
"Cricotopus trifascia gr.","Cricotopus trifascia gr.","Need to rectify."
"Cricotopus/orthocladius","Cricotopus/orthocladius",
"Cryptochironomus","Cryptochironomus",
"Cryptolabis","Cryptolabis",
"Cryptotendipes","Cryptotendipes",
"Culoptila","Culoptila",
"Cultus","Cultus",
"Cyphomella","Cyphomella",
"Cyrnellus","Cyrnellus",
"Dasyhelea","Dasyhelea",
"Dasyheleinae","Dasyheleinae",
"Decapoda","Decapoda",
"Demicryptochironomus","Demicryptochironomus",
"Dero","Dero",
"Diamesa","Diamesa",
"Dicranota","Dicranota",
"Dicrotendipes","Dicrotendipes",
"Dineutus","Dineutus",
"Diphetor","Diphetor",
"Diphetor hageni","Diphetor hageni",
"Diptera","Diptera",
"Djalmabatista","Djalmabatista",
"Dolichopodidae","Dolichopodidae",
"Dreissena","Dreissena",
"Drunella doddsi","Drunella doddsi",
"Drunella grandis","Drunella grandis",
"Dubiraphia","Dubiraphia",
"Dytiscidae","Dytiscidae",
"Elmidae","Elmidae",
"Empididae","Empididae",
"Enallagma","Enallagma",
"Enchytraeidae","Enchytraeidae",
"Enchytraeus","Enchytraeus",
"Endochironomus","Endochironomus",
"Endotribelos","Endotribelos",
"Enochrus","Enochrus",
"Entomobryidae","Entomobryidae",
"Epeorus","Epeorus",
"Epeorus margarita","Epeorus margarita",
"Ephemera","Ephemera",
"Ephemerella","Ephemerella",
"Ephemerella excrucians","Ephemerella excrucians",
"Ephemerella inermis","Ephemerella inermis","Need to rectify."
"Ephemerella inermis/infrequens","Ephemerella inermis/infrequens","Need to rectify."
"Ephemerella infrequens","Ephemerella infrequens","Need to rectify."
"Ephemerellidae","Ephemerellidae",
"Ephoron","Ephoron",
"Ephydridae","Ephydridae",
"Erioptera","Erioptera",
"Erpetogomphus","Erpetogomphus",
"Erpobdella","Erpobdella",
"Erpobdellidae","Erpobdellidae",
"Eukiefferiella","Eukiefferiella",
"Eukiefferiella brehmi gr.","Eukiefferiella brehmi gr.",
"Eukiefferiella devonica gr.","Eukiefferiella devonica gr.",
"Eukiefferiella gracei gr.","Eukiefferiella gracei gr.",
"Eukiefferiella pseudomontana gr.","Eukiefferiella pseudomontana gr.",
"Eupera","Eupera",
"Fallceon","Fallceon",
"Fallceon quilleri","Fallceon quilleri",
"Ferrissia","Ferrissia",
"Forcipomyia","Forcipomyia",
"Fossaria","Fossaria",
"Galba","Galba",
"Gammarus","Gammarus",
"Gastropoda","Gastropoda",
"Geayia","Geayia",
"Gerridae","Gerridae",
"Gillotia","Gillotia",
"Gloiobdella","Gloiobdella",
"Glossiphoniidae","Glossiphoniidae",
"Glossosoma","Glossosoma",
"Glossosomatidae","Glossosomatidae",
"Glyptotendipes","Glyptotendipes",
"Goeldichironomus","Goeldichironomus",
"Gomphidae","Gomphidae",
"Gomphus","Gomphus",
"Gonomyia","Gonomyia",
"Gordius","Gordius",
"Graptocorixa","Graptocorixa",
"Gyraulus","Gyraulus",
"Gyretes","Gyretes",
"Gyrinus","Gyrinus",
