TaxaID_orig,OTU_BCG,Modified,Rationale,Notes_ORWA,NM_FINALID,RANK,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,GENUS,SUBGENUS,SPECIES,SUBSPECIES
Abedus,Abedus,FALSE,,,,Genus,Arthropoda,,Insecta,,Hemiptera,,,,Belostomatidae,Belostomatinae,,Abedus,,,
Abedus breviceps,Abedus breviceps,FALSE,,,Abedus breviceps,Species,Arthropoda,,Insecta,,Hemiptera,,,,Belostomatidae,Belostomatinae,,Abedus,Abedus (Abedus),breviceps,
Abedus herberti,Abedus herberti,FALSE,,,Abedus herberti,Species,Arthropoda,,Insecta,,Hemiptera,,,,Belostomatidae,Belostomatinae,,Abedus,Abedus (Deinostoma),herberti,
Ablabesmyia,Ablabesmyia,FALSE,,,Ablabesmyia,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,,
Ablabesmyia (Ablabesmyia) mallochi,Ablabesmyia mallochi,TRUE,formatting - removed subgenus,,Ablabesmyia (Ablabesmyia) mallochi,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Ablabesmyia,mallochi,
Ablabesmyia (Ablabesmyia) monilis,Ablabesmyia monilis,TRUE,formatting - removed subgenus,,Ablabesmyia (Ablabesmyia) monilis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Ablabesmyia,monilis,
Ablabesmyia (Karelia) cinctipes,Ablabesmyia cinctipes,TRUE,formatting - removed subgenus,,Ablabesmyia (Karelia) cinctipes,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Karelia,cinctipes,
Ablabesmyia (Karelia) illinoensis,Ablabesmyia illinoensis,TRUE,formatting - removed subgenus,,Ablabesmyia (Karelia) illinoensis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Karelia,illinoensis,
Ablabesmyia cinctipes,Ablabesmyia cinctipes,FALSE,,,Ablabesmyia (Karelia) cinctipes,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Karelia,cinctipes,
Ablabesmyia illinoensis,Ablabesmyia illinoensis,FALSE,,,Ablabesmyia (Karelia) illinoensis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Karelia,illinoensis,
Ablabesmyia mallochi,Ablabesmyia mallochi,FALSE,,,Ablabesmyia (Ablabesmyia) mallochi,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,Ablabesmyia,mallochi,
