"TaxaID","CommonName","NONTARGET","Order","Family","BCG_ATTR","Reproduction","Trophic","Type"
"Anguilla rostrata","American eel",FALSE,"Anguilliformes","Anguillidae","10",,"IV",
"Etheostoma cragini","Arkansas darter",FALSE,,"Percidae","3",,"IV",
"Notropis girardi","Arkansas river shiner",FALSE,"Cypriniformes","Cyprinidae","x","Broadcaster","IV",
"Macrhybopsis aestivalis tetranemus","Arkansas river speckled chub",FALSE,"Cypriniformes","Cyprinidae","x","Broadcaster","IV",
"Strongylura marina","Atlantic needlefish",FALSE,,"Belonidae","x",,,
"Cyprinella formasa","Beautiful shiner",FALSE,,"Cyprinidae","1",,"IV",
"Ictiobus cyprinellus","Bigmouth buffalo",FALSE,,"Catostomidae","5",,"OM","LLNLB"
"Notropis dorsalis","Bigmouth shiner",FALSE,,"Cyprinidae","4",,"OM",
"Gobiomorus dormitor","Bigmouth sleeper",FALSE,,"Elotridae","x",,,
"Percina macrolepida","Bigscale logperch",FALSE,"Perciformes","Percidae","6s",,"IV",
"Ameiurus melas","Black bullhead",FALSE,"Siluriformes","Ictaluridae","6t",,"IV",
"Pomoxis nigromaculatus","Black crappie",FALSE,"Perciformes","Centrarchidae","6t",,"IV",
"Fundulus olivaceus","Blackstripe topminnow",FALSE,,"Fundulidae","4",,"OM",
"Moxostoma poecilurum","Blacktail redhorse",FALSE,,"Catostomidae","3",,"IV",
"Cyprinella venustus","Blacktail shiner",FALSE,,"Cyprinidae","4",,"IV",
"Ictalurus furcatus","Blue catfish",FALSE,"Siluriformes","Ictaluridae","4",,"PI","LLNLB"
"Cycleptus elongatus","Blue sucker",FALSE,"Cypriniformes","Catostomidae","x",,"IV","LLNLB"
"Oreochromus aureus","Blue tilapia",FALSE,,"Cichlidae","6t",,"OM",
"Lepomis macrochirus","Bluegill",FALSE,"Perciformes","Centrarchidae","5",,"IV",
"Lepomis mcarochirus x megalotis","Bluegill x longear sunfish",FALSE,,"Centrarchidae","4",,"IV",
"Catostomus discobolus","Bluehead sucker",FALSE,"Cypriniformes","Catostomidae","x",,"HB",
"Catostomus x Catostomus latipinnis","Bluehead sucker x flannelmouth suc",FALSE,,"Catostomidae","x",,,
"Catostomus discobolus x commersoni","Bluehead sucker x white sucker",FALSE,,"Catostomidae","4",,"OM",
"Pimephales notatus","Bluntnose minnow",FALSE,,"Cyprinidae","5",,"OM",
"Amia calva","Bowfin",FALSE,,"Amiidae","5",,,
"Hybognathus hankinsoni","Brassy minnow",FALSE,,"Cyprinidae","4",,"OM",
"Catostomus columbianus","Bridgelip sucker",FALSE,,"Catostomidae","2",,"HB",
"Labidesthes sicculus","Brook silverside",FALSE,,"Atherinidae","2",,"IV",
"Culaea inconstans","Brook stickleback",FALSE,"Gasterosteiformes","Gasterosteidae","6",,"IV",
"Salvelinus fontinalis","Brook trout",FALSE,"Salmoniformes","Salmonidae","x",,"IV",
"Ameiurus nebulosus","Brown bullhead",FALSE,"Siluriformes","Ictaluridae","6t",,,
"Salmo trutta","Brown trout",FALSE,"Salmoniformes","Salmonidae","6s",,"IV",
"Ameiurus","Bullhead",FALSE,"Siluriformes","Ictaluridae","6t",,,
"Pimephales vigilax","Bullhead minnow",FALSE,"Cypriniformes","Cyprinidae","6",,"IV",
"Campostoma anomalum","Central stoneroller",FALSE,"Cypriniformes","Cyprinidae","6",,"HB",
"Ictalurus punctatus","Channel catfish",FALSE,"Siluriformes","Ictaluridae","6t",,"IV",
"Gila nigrescens","Chihuahua chub",FALSE,"Cypriniformes","Cyprinidae","x",,"IV",
"Oncorhynchus tshawytscha","Chinook salmon",FALSE,,"Salmonidae","x",,"IV",
