TaxaID,CommonName,NONTARGET,Order,Family,BCG_ATTR,Reproduction,Trophic,Type
Acanathogobius flavimanus,Yellowfin goby,FALSE,Perciformes,Gobiidae,6,,,
Acrocheilus alutaceus,Chiselmouth,FALSE,Cypriniformes,Cyprinidae,3,,HB,
Agosia chrysogaster,Longfin dace,FALSE,Cypriniformes,Cyprinidae,6t,,OM,
Ambloplites rupestris,Rock bass,FALSE,Perciformes,Centrarchidae,,,IV,
Ameiurus,Bullhead,FALSE,Siluriformes,Ictaluridae,6t,,,
Ameiurus catus,White catfish,FALSE,Siluriformes,Ictaluridae,5,,OM,LLNLB
Ameiurus melas,Black bullhead,FALSE,Siluriformes,Ictaluridae,6t,,IV,
Ameiurus natalis,Yellow bullhead,FALSE,Siluriformes,Ictaluridae,6t,,OM,
Ameiurus nebulosus,Brown bullhead,FALSE,Siluriformes,Ictaluridae,6t,,,
Amia calva,Bowfin,FALSE,Amiiformes,Amiidae,5,,,
Ammocrypta vivax,Scaly sand darter,FALSE,Perciformes,Percidae,3,,IV,
Anguilla rostrata,American eel,FALSE,Anguilliformes,Anguillidae,10,,IV,
Aphredoderus sayanus,Pirate perch,FALSE,Percopsiformes,Aphredoderidae,3,,IV,
Aplodinotus grunniens,Freshwater drum,FALSE,Perciformes,Sciaenidae,4,Broadcaster,,LLNLB
Astyanax mexicanus,Mexican tetra,FALSE,Characiformes,Characidae,6,,PI,
Awaous banana,River goby,FALSE,Perciformes,Gobiidae,4,,,
Campostoma,Unknown campostoma,FALSE,Cypriniformes,Cyprinidae,,,,
Campostoma anomalum,Central stoneroller,FALSE,Cypriniformes,Cyprinidae,6,,HB,
Carassius auratus,Goldfish,FALSE,Cypriniformes,Cyprinidae,6t,,OM,
Carpiodes carpio,River carpsucker,FALSE,Cypriniformes,Catostomidae,4,,OM,LLNLB
Carpiodes cyprinus,Quillback,FALSE,Cypriniformes,Catostomidae,4,,OM,LLNLB
Catostomus catostomus,Longnose sucker,FALSE,Cypriniformes,Catostomidae,3,,IV,LLNLB
Catostomus clarki,Desert sucker,FALSE,Cypriniformes,Catostomidae,6s,,HB,
Catostomus columbianus,Bridgelip sucker,FALSE,Cypriniformes,Catostomidae,2,,HB,
Catostomus commersonii,White sucker,FALSE,Cypriniformes,Catostomidae,6t,,OM,
Catostomus discobolus,Bluehead sucker,FALSE,Cypriniformes,Catostomidae,,,HB,
Catostomus discobolus x commersoni,Bluehead sucker x white sucker,FALSE,Cypriniformes,Catostomidae,4,,OM,
Catostomus discobolus yarrowi,Zuni bluehead sucker,FALSE,Cypriniformes,Catostomidae,,,HB,
Catostomus insignis,Sonora sucker,FALSE,Cypriniformes,Catostomidae,6,,OM,
Catostomus latipinnis,Flannelmouth sucker,FALSE,Cypriniformes,Catostomidae,,,OM,
Catostomus macrocheilus,Largescale sucker,FALSE,Cypriniformes,Catostomidae,3,,OM,LLNLB
Catostomus occidentalis,Sacramento sucker,FALSE,Cypriniformes,Catostomidae,2,,OM,LLNLB
Catostomus platyrhynchus,Mountain sucker,FALSE,Cypriniformes,Catostomidae,3,,HB,
Catostomus plebeius,Rio grande sucker,FALSE,Cypriniformes,Catostomidae,2,,OM,LLNLB
Catostomus santaanae,Santa ana sucker,FALSE,Cypriniformes,Catostomidae,,,HB,
Catostomus x Catostomus latipinnis,Bluehead sucker x flannelmouth suc,FALSE,Cypriniformes,Catostomidae,,,,
Centropomus parallelus,Fat snook,FALSE,Perciformes,Centropomidae,,,,
Centropomus undecimalis,Common snook,FALSE,Perciformes,Centropomidae,,,,
Chaenobryttus gulosus,Warmouth,FALSE,Perciformes,Centrarchidae,6t,,IV,
Cichlasoma cyanoguttatum,Rio grande cichlid,FALSE,Perciformes,Cichlidae,4,,,
Cottus asper,Prickly sculpin,FALSE,Perciformes,Cottidae,3,,IV,
Cottus bairdii,Mottled sculpin,FALSE,Perciformes,Cottidae,,,IV,
Cottus rhotheus,Torrent sculpin,FALSE,Perciformes,Cottidae,2,,IV,
Ctenopharyngodon idella,Grass carp,FALSE,Cypriniformes,Cyprinidae,,Broadcaster,OM,
Culaea inconstans,Brook stickleback,FALSE,Gasterosteiformes,Gasterosteidae,6,,IV,
Cycleptus elongatus,Blue sucker,FALSE,Cypriniformes,Catostomidae,,,IV,LLNLB
Cyprinella formasa,Beautiful shiner,FALSE,Cypriniformes,Cyprinidae,1,,IV,
Cyprinella lutrensis,Red shiner,FALSE,Cypriniformes,Cyprinidae,5,,OM,
Cyprinella venustus,Blacktail shiner,FALSE,Cypriniformes,Cyprinidae,4,,IV,
Cyprinidae,Cyprinidae,FALSE,Cypriniformes,Cyprinidae,,,,
Cyprinodon pecosensis,Pecos pupfish,FALSE,Cyprinodontiformes,Cyprinodontidae,,,OM,
Cyprinodon rubrofluviatilis,Red river pupfish,FALSE,Cyprinodontiformes,Cyprinodontidae,5,,OM,
Cyprinodon tularosa,White sands pupfish,FALSE,Cyprinodontiformes,Cyprinodontidae,,,OM,
Cyprinodon variegatus,Sheepshead minnow,FALSE,Cyprinodontiformes,Cyprinodontidae,,,,
Cyprinus carpio,Common carp,FALSE,Cypriniformes,Cyprinidae,6t,,OM,
Dionda episcopa,Roundnose minnow,FALSE,Cypriniformes,Cyprinidae,1,,HB,
Dorosoma cepedianum,Gizzard shad,FALSE,Clupeiformes,Clupeidae,5,,HB,
Dorosoma petenense,Threadfin shad,FALSE,Clupeiformes,Clupeidae,6,,PL,
Esox lucius,Northern pike,FALSE,Salmoniformes,Esocidae,6,,PI,
Esox masquinongy,Muskellunge,FALSE,Salmoniformes,Esocidae,6,,,
Esox masquinongy × lucius,Tiger muskellunge,FALSE,Salmoniformes,Esocidae,,,,
Esox samericanus americanus,Redfin pickerel,FALSE,Salmoniformes,Esocidae,3,,,
Etheostoma cragini,Arkansas darter,FALSE,Perciformes,Percidae,3,,IV,
Etheostoma exile,Iowa darter,FALSE,Perciformes,Percidae,3,,IV,
Etheostoma gracile,Slough darter,FALSE,Perciformes,Percidae,4,,IV,
Etheostoma histrio,Harlequin darter,FALSE,Perciformes,Percidae,3,,IV,
Etheostoma lepidum,Greenthroat darter,FALSE,Perciformes,Percidae,,,IV,
Etheostoma nigrum,Johnny darter,FALSE,Perciformes,Percidae,4,,IV,
Ethostoma asprigene,Mud darter,FALSE,Perciformes,Percidae,4,,IV,
Ethostoma spectabile,Orangethroat darter,FALSE,Perciformes,Percidae,4,,IV,
Fundulus,Unknown fundulus,FALSE,Cyprinodontiformes,Fundulidae,,,,
Fundulus grandis,Gulf killifish,FALSE,Cyprinodontiformes,Fundulidae,,,,
Fundulus kansae,Northern plains killifish,FALSE,Cyprinodontiformes,Fundulidae,5,,,
Fundulus olivaceus,Blackstripe topminnow,FALSE,Cyprinodontiformes,Fundulidae,4,,OM,
Fundulus sciadicus,Plains topminnow,FALSE,Cyprinodontiformes,Fundulidae,4,,IV,
Fundulus zebrinus,Plains killifish,FALSE,Cyprinodontiformes,Fundulidae,6t,,IV,
Gambusia affinis,Western mosquitofish,FALSE,Cyprinodontiformes,Poeciliidae,5,,IV,
Gambusia nobilis,Pecos gambusia,FALSE,Cyprinodontiformes,Poeciliidae,,,IV,
Gasterosteus aculeatus,Threespine stickleback,FALSE,Gasterosteiformes,Gasterosteidae,3,,IV,
Gerres cinereus,Yellowfin mojarra,FALSE,Perciformes,Gerreidae,,,,
Gila cypha,Humpback chub,FALSE,Cypriniformes,Cyprinidae,1,,IV,LLNLB
Gila intermedia,Gila chub,FALSE,Cypriniformes,Cyprinidae,,,IV,
Gila nigra,Headwater chub,FALSE,Cypriniformes,Cyprinidae,,,IV,
Gila nigrescens,Chihuahua chub,FALSE,Cypriniformes,Cyprinidae,,,IV,
Gila pandora,Rio grande chub,FALSE,Cypriniformes,Cyprinidae,2,,IV,
Gila robusta,Roundtail chub,FALSE,Cypriniformes,Cyprinidae,,,OM,
Gila seminuda,Virgin chub,FALSE,Cypriniformes,Cyprinidae,1,,OM,
Gobiomorus dormitor,Bigmouth sleeper,FALSE,Gobiiformes,Elotridae,,,,
Hybognathus amarus,Rio grande silvery minnow,FALSE,Cypriniformes,Cyprinidae,3,Broadcaster,HB,
Hybognathus hankinsoni,Brassy minnow,FALSE,Cypriniformes,Cyprinidae,4,,OM,
Hybognathus nuchalis,Mississippi silvery minnow,FALSE,Cypriniformes,Cyprinidae,3,,,
Hybognathus placitus,Plains minnow,FALSE,Cypriniformes,Cyprinidae,,Broadcaster,HB,
Hysterocarpus traskii,Tule perch,FALSE,Perciformes,Embiotocidae,4,,IV,
Ictalurus furcatus,Blue catfish,FALSE,Siluriformes,Ictaluridae,4,,PI,LLNLB
Ictalurus lupus,Headwater catfish,FALSE,Siluriformes,Ictaluridae,,,IV,
Ictalurus punctatus,Channel catfish,FALSE,Siluriformes,Ictaluridae,6t,,IV,
Ictiobus bubalus,Smallmouth buffalo,FALSE,Cypriniformes,Catostomidae,5,,OM,LLNLB
Ictiobus cyprinellus,Bigmouth buffalo,FALSE,Cypriniformes,Catostomidae,5,,OM,LLNLB
Labidesthes sicculus,Brook silverside,FALSE,Atheriniformes,Atherinidae,2,,IV,
Lamprey,Lamprey ammocoete,FALSE,Petromyzontiformes,Petromyzontidae,,,OM,
Lepisosteus oculatus,Spotted gar,FALSE,Lepisosteiformes,Lepisosteidae,5,,,LLNLB
Lepisosteus osseus,Longnose gar,FALSE,Lepisosteiformes,Lepisosteidae,5,,PI,LLNLB
Lepisosteus platostomus,Shortnose gar,FALSE,Lepisosteiformes,Lepisosteidae,5,,,LLNLB
Lepomis,Common sunfishes,FALSE,Perciformes,Centrarchidae,6,,,
Lepomis auritus,Redbreast sunfish,FALSE,Perciformes,Centrarchidae,4,,IV,
Lepomis cyanellus,Green sunfish,FALSE,Perciformes,Centrarchidae,6t,,IV,
Lepomis cyannelus x megalotis,Green sunfish x longear sunfish,FALSE,Perciformes,Centrarchidae,5,,,
Lepomis gibbosus,Pumpkinseed,FALSE,Perciformes,Centrarchidae,4,,IV,
Lepomis humilus,Orangespotted sunfish,FALSE,Perciformes,Centrarchidae,4,,IV,
Lepomis macrochirus,Bluegill,FALSE,Perciformes,Centrarchidae,5,,IV,
Lepomis mcarochirus x megalotis,Bluegill x longear sunfish,FALSE,Perciformes,Centrarchidae,4,,IV,
Lepomis megalotis,Longear sunfish,FALSE,Perciformes,Centrarchidae,6,,IV,
Lepomis microlophus,Redear sunfish,FALSE,Perciformes,Centrarchidae,6,,,
Lepomis miniatus,Redspotted sunfish,FALSE,Perciformes,Centrarchidae,4,,IV,
