Version,4/4/2024,
Primary contact,Jen Stamp (Jen.Stamp@tetratech.com),
,,
TaxaID,Scientific name (after translation; see taxa translator table),
CommonName,self-explanatory,
NONTARGET,FALSE = target (ok to include in calculations). TRUE = nontarget (not appropriate to include in the NM sandy bottom BCG calculation).,
Order,taxonomic hierarchy,
Family,taxonomic hierarchy,
BCG_ATTR,"Biological Condition Gradient (BCG) taxa attribute assignments for the NM sandy bottom BCG: 1, 2, 3, 4, 5, 6, 6s, 6t, 10. 1= endemic, 2 = highly sensitive; 3 = sensitive ubiquitous; 4 = moderately tolerant; 5 = highly tolerant; 6 = nonnative, 6s = nonnative sensitive, 6t = nonnative tolerant, 10 = indicator of ecosystem connectivity (e.g., catadromous)",
Reproduction,"Label all pelagic broadcast spawning fish as ""Broadcaster"" in this field. No other reproduction type is used in this BCG.",
Trophic,"Trophic type: Herbivore (HB), Insectivore (IV), Omnivore (OM), piscivore (PI), planktivore (PL). A single taxon can only have one entry.",
Type,"Label all Long Lived, Native Large Bodied fish as ""LLNLB"" in this field",
