"","Taxon","NonTarget","Habit","Hemoglobin","Air","TolVal2","TolVal","FSBI_2012","BSTI_WA.optima","BCG_attr","FFG","Life_Cycle","Habitat","Noteworthy","LONGLIVED","Thermal_indicator","ThermalPref_ALL","ThermTol_Less30","MTTI_WA.optima","MWMT_WAopt","MWMT_PCT90","Therm_TopIndicator","ThermVar","TSN","Kingdom","Phylum","SubPhylum","Class","SubClass","Order","SubOrder","SuperFamily","Family","SubFamily","Tribe","GenusGroup","Genus","SubGenus","SpeciesGroup","SpeciesSubGroup","SpeciesComplex","Species","Taxon_Group"
"1","Ablabesmyia",FALSE,"SP","T","F",3,8,NA,60.1,"5","PR","multi","GENE",NA,FALSE,"warm","Warm","",21.4,21.52460115,25.945,"","",128079,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Tanypodinae","Pentaneurini","","Ablabesmyia","","","","","","Chironomidae"
"2","Acalyptonotus",FALSE,"NEEDS_REVIEW","","",NA,NA,NA,NA,"","PR","","",NA,FALSE,"","","",NA,NA,NA,"","",83508,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Acalyptonotidae","","","","Acalyptonotus","","","","","","Other Non-Insect"
"3","Acamptocladius",FALSE,"UN","","F",11,NA,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",128460,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Acamptocladius","","","","","","Chironomidae"
"4","Acari",FALSE,"UN","","F",5,5,NA,NA,"","","","",NA,FALSE,"","Eurythermal","",NA,17.9104217,22.397,"","yes",733321,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","","","","","","","","","","","","","Other Non-Insect"
"5","Acentrella",FALSE,"SW","","F",11,4,5,NA,"4","CG","multi","RHEO",NA,FALSE,"warm","Warm","",NA,20.11017415,24.913,"","",100801,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Acentrella","","","","","","Ephemeroptera"
"6","Acentrella insignificans",FALSE,"SW","","F",4,4,5,NA,"4","CG","multi","RHEO",NA,FALSE,"warm","Warm","",23.7,23.55654785,28.936,"","",568572,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Acentrella","","","","","insignificans","Ephemeroptera"
"7","Acentrella turbida",FALSE,"SW","","F",3,4,5,4.1,"4","CG","multi","RHEO",NA,FALSE,"warm","Warm","",20.5,20.3337399,24.838,"","",568574,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Acentrella","","","","","turbida","Ephemeroptera"
"8","Acerpenna",FALSE,"SW","","F",11,4,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",568546,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Acerpenna","","","","","","Ephemeroptera"
"9","Acerpenna pygmaea",FALSE,"SW","","F",11,4,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",206620,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Acerpenna","","","","","pygmaea","Ephemeroptera"
"10","Achaeta",FALSE,"UN","F","F",11,NA,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",68560,"Animalia","Annelida","","Clitellata","Oligochaeta","Enchytraeida","","","Enchytraeidae","","","","Achaeta","","","","","","Oligochaeta"
"11","Acilius",FALSE,"SW","","T",11,5,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",112074,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Adephaga","","Dytiscidae","Dytiscinae","Aciliini","","Acilius","","","","","","Coleoptera"
"12","Acneus",FALSE,"CN","","",NA,NA,NA,2.6,"2","SC","semi","SPEC",TRUE,FALSE,"cool","Cool","",17.4,17.44839373,20.27,"","",114082,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Polyphaga","","Psephenidae","Eubriinae","","","Acneus","","","","","","Coleoptera"
"13","Acricotopus",FALSE,"UN","","F",11,10,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",128463,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Chironomidae","Orthocladiinae","","","Acricotopus","","","","","","Chironomidae"
"14","Aeshna/Rhionaeschna",FALSE,"SW","","F",11,5,NA,NA,"3","PR","semi","GENE",NA,FALSE,"","","Less30",20.5,NA,NA,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Anisoptera","","Aeshnidae","","","","Aeshna/Rhionaeschna","","","","","","Odonata"
"15","Aeshnidae",FALSE,"UN","","F",11,5,NA,NA,"3","PR","semi","GENE",NA,FALSE,"warm","Warm","",20.5,20.56192453,24.266,"","",101596,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Anisoptera","","Aeshnidae","","","","","","","","","","Odonata"
"16","Afghanurus",FALSE,"CN","","",NA,2,NA,7.5,"3","SC","uni","RHEO",NA,FALSE,"warm","Warm","",21,20.9564776,23.852,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Heptageniidae","","","","Afghanurus","","","","","","Ephemeroptera"
"17","Afghanurus criddlei",FALSE,"CN","","",NA,2,5,7.5,"","","","",NA,FALSE,"cowa","Cool-Warm","",21,20.7091543,22.92,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Heptageniidae","","","","Afghanurus","","","","","criddlei","Ephemeroptera"
"18","Agabinae",FALSE,"SW","","",NA,NA,NA,NA,"","","","",NA,FALSE,"cowa","Cool-Warm","",19.3,18.98697305,22.212,"","",728212,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Adephaga","","Dytiscidae","Agabinae","","","","","","","","","Coleoptera"
"19","Agabinus",FALSE,"SW","","T",11,5,NA,NA,"","","","",NA,FALSE,"","","Less30",19.3,NA,NA,"","",112068,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Adephaga","","Dytiscidae","Agabinae","Agabini","","Agabinus","","","","","","Coleoptera"
"20","Agabus",FALSE,"SW","","T",7,5,NA,NA,"3","PR","uni","GENE",NA,FALSE,"cowa","Cool-Warm","",19.3,19.2482872,22.264,"","",111966,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Adephaga","","Dytiscidae","Agabinae","Agabini","","Agabus","","","","","","Coleoptera"
"21","Agapetus",FALSE,"CN","","F",2,0,5,5.9,"3","SC","uni","RHEO",NA,FALSE,"cowa","Cool-Warm","",19.5,19.44226464,22.33,"","",117121,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Spicipalpia","Glossosomatoidea","Glossosomatidae","Agapetinae","","","Agapetus","","","","","","Trichoptera"
"22","Agathon",FALSE,"CN","","F",11,0,NA,1.6,"3","SC","uni","RHEO",NA,FALSE,"","","Less30",20.1,NA,NA,"","",121230,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Blephariceridae","Blepharicerinae","Blepharicerini","","Agathon","","","","","","Diptera"
"23","Agathon comstocki",FALSE,"CN","F","F",11,0,NA,1.6,"","","","",NA,FALSE,"","","",20.1,NA,NA,"","",121237,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Nematocera","","Blephariceridae","Blepharicerinae","Blepharicerini","","Agathon","","","","","comstocki","Diptera"
"24","Agraylea",FALSE,"CN","","F",2,8,NA,NA,"2","PH","uni","SPEC",TRUE,FALSE,"cold","Cold","",14.9,15.0733353,18.857,"","",115635,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Spicipalpia","Hydroptiloidea","Hydroptilidae","Hydroptilinae","Hydroptilini","","Agraylea","","","","","","Trichoptera"
