Taxon_Group,Taxon,NonTarget,BCG_attr,BCG_PredContScore,BCG_attr2,FFG,Habit,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermalPref_ALL,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TolVal2,TolVal,Air,FSBI_2012,Hemoglobin,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Chironomidae,Aagaardia,FALSE,UN,,,UN,UN,multi,GENE,,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Aagaardia,,,,,
Hemiptera,Abedus,FALSE,UN,,,PR,"SW,SP",uni,GENE,,FALSE,,,,,,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Belostomatidae,Belostomatinae,,,Abedus,,,,,
Chironomidae,Abiskomyia,FALSE,UN,,,UN,UN,multi,GENE,,FALSE,,,,,,,,,,,,,128458,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Abiskomyia,,,,,
Chironomidae,Ablabesmyia,FALSE,5,3.650743484,,PR,SP,multi,GENE,,FALSE,warm,Warm,,21.52460115,25.945,,,3,8,F,,T,128079,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Ablabesmyia,,,,,
Chironomidae,Acalcarella,FALSE,UN,,,CG,BU,multi,GENE,TRUE,FALSE,,,,,,,,,,,,,129230,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Acalcarella,,,,,
Acari,Acalyptonotus,FALSE,2,,,"PR,PA",UN,uni,LENT,TRUE,FALSE,,,,,,,,,,,,,83508,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Acalyptonotidae,,,,Acalyptonotus,,,,,
Chironomidae,Acamptocladius,FALSE,UN,,,"CG,MH",BU,multi,LENT,,FALSE,,,,,,,,11,NA,F,,,128460,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Acamptocladius,,,,,
Acari,Acari,FALSE,NA,3.984494686,,"PR,PA",UN,uni,NA,,FALSE,,Eurythermal,,17.9104217,22.397,,yes,5,5,F,,,733321,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,,,
Ephemeroptera,Acentrella,FALSE,4,3.679972649,,CG,"SW,CN",multi,LOTI,,FALSE,warm,Warm,,20.11017415,24.913,,,11,4,F,5,,100801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,
Ephemeroptera,Acentrella insignificans,FALSE,4,3.812254429,,CG,"SW,CN",multi,LOTI,,FALSE,warm,Warm,,23.55654785,28.936,,,4,4,F,5,,568572,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,insignificans
