Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,OTU_BCG_ORWA,altOTU_BCG_ORWA_worms
Aaptos,TRUE,Sponges excluded,DNI,DNI,DNI,DNI,DNI,DNI
Ablabesmyia,FALSE,,Ablabesmyia,Ablabesmyia,Ablabesmyia,Ablabesmyia,Ablabesmyia,Ablabesmyia
Acalyptonotus,FALSE,,DNI,Acalyptonotus,Trombidiformes,DNI,Acalyptonotus,Acalyptonotus
Acamptocladius,FALSE,,DNI,Acamptocladius,Acamptocladius,DNI,Acamptocladius,Acamptocladius
Acar,FALSE,,DNI,Acari,Acari,DNI,Acari,Acari
Acari,FALSE,,DNI,Acari,Acari,DNI,Acari,Acari
Acarina,FALSE,,DNI,Acari,Acari,DNI,Acari,Acari
Acentrella,FALSE,,DNI,Acentrella,Acentrella,DNI,Acentrella,Acentrella
Acentrella insignificans,FALSE,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI,Acentrella insignificans,Acentrella insignificans
Acentrella insignificans complex,FALSE,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI,Acentrella insignificans,Acentrella insignificans
Acentrella turbida,FALSE,,Acentrella turbida,Acentrella turbida,Acentrella turbida,Acentrella turbida,Acentrella turbida,Acentrella turbida
Acerpenna,FALSE,,DNI,Acerpenna,Acerpenna,DNI,Acerpenna,Acerpenna
Acerpenna pygmaea,FALSE,,DNI,Acerpenna pygmaea,Acerpenna pygmaea,DNI,Acerpenna pygmaea,Acerpenna pygmaea
Achaeta,FALSE,,DNI,Achaeta,Oligochaeta,DNI,Oligochaeta,Enchytraeidae
Acilius,FALSE,,DNI,Acilius,Acilius,DNI,Acilius,Acilius
Acilius abbreviatus,FALSE,,DNI,Acilius,Acilius,DNI,Acilius,Acilius
Acneus,FALSE,,Acneus,Acneus,Acneus,Acneus,Acneus,Acneus
Acricotopus,FALSE,,DNI,Acricotopus,Acricotopus,DNI,Acricotopus,Acricotopus
Acroneuria,FALSE,I am skeptical of this ID,DNI,Perlodidae,Perlodidae,DNI,Perlodidae,Perlodidae
Actinopterygii,TRUE,Fish,DNI,DNI,DNI,DNI,DNI,DNI
Aedes,FALSE,,DNI,Culicidae,Culicidae,DNI,Culicidae,Culicidae
Aeshna,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna californica,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna eremita,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna interrupta,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna juncea,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna palmata,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna umbrosa,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna walkeri,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna/Rhionaeschna,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshnidae,FALSE,,Aeshnidae,Aeshnidae,Aeshnidae,DNI,Aeshnidae,Aeshnidae
Afghanurus,FALSE,Whether Afghanurus or Ecdyonurus has priority is in dispute. Until this is resolved we are using Ecdyonurus as recommended by Luke Jacobus at Mayfly Central,Afghanurus,Ecdyonurus,Afghanurus,Afghanurus,Ecdyonurus,Ecdyonurus
Afghanurus criddlei,FALSE,nomenclature,Afghanurus,Ecdyonurus criddlei,Afghanurus criddlei,Afghanurus,Ecdyonurus criddlei,Ecdyonurus criddlei
Agabinae,FALSE,,Agabinae,Agabinae,Agabinae,DNI,Agabinae,Agabinae
Agabinus,FALSE,,Agabinae,Agabinus,Agabinus,DNI,Agabinus,Agabinus
Agabinus glabrellus,FALSE,,Agabinae,Agabinus,Agabinus,DNI,Agabinus,Agabinus
Agabinus sculpturellus,FALSE,,Agabinae,Agabinus,Agabinus,DNI,Agabinus,Agabinus
Agabus,FALSE,,Agabinae,Agabus,Agabus,DNI,Agabus,Agabus
Agabus lutosus,FALSE,,Agabinae,Agabus,Agabus,DNI,Agabus,Agabus
Agabus seriatus group,FALSE,,Agabinae,Agabus,Agabus,DNI,Agabus,Agabus
Agabus/Ilybius/Platambus/Ilybiosoma,FALSE,,Agabinae,Agabinae,Agabinae,DNI,Agabinae,Agabinae
Agapetus,FALSE,,Agapetus,Agapetus,Agapetus,Agapetus,Agapetus,Agapetus
Agathon,FALSE,,Blephariceridae,Agathon,Agathon,Blephariceridae,Agathon,Agathon
Agathon comstocki,FALSE,,Blephariceridae,Agathon,Agathon,Blephariceridae,Agathon,Agathon
Agraylea,FALSE,,Agraylea,Agraylea,Agraylea,DNI,Agraylea,Agraylea
Alaskaperla ovibovis,FALSE,extreme southern range dubius ID,DNI,Chloroperlidae,Chloroperlidae,DNI,Chloroperlidae,Chloroperlidae
