Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI
Aaptos,TRUE,Sponges excluded,DNI,DNI,DNI,DNI
Ablabesmyia,FALSE,,Ablabesmyia,Ablabesmyia,Ablabesmyia,Ablabesmyia
Acalyptonotus,FALSE,,DNI,Acalyptonotus,Trombidiformes,DNI
Acamptocladius,FALSE,,DNI,Acamptocladius,Acamptocladius,DNI
Acar,FALSE,,DNI,Acari,Acari,DNI
Acari,FALSE,,DNI,Acari,Acari,DNI
Acarina,FALSE,,DNI,Acari,Acari,DNI
Acentrella,FALSE,,DNI,Acentrella,Acentrella,DNI
Acentrella insignificans,FALSE,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI
Acentrella insignificans complex,FALSE,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI
Acentrella turbida,FALSE,,Acentrella turbida,Acentrella turbida,Acentrella turbida,Acentrella turbida
Acerpenna,FALSE,,DNI,Acerpenna,Acerpenna,DNI
Acerpenna pygmaea,FALSE,,DNI,Acerpenna pygmaea,Acerpenna pygmaea,DNI
Achaeta,FALSE,,DNI,Achaeta,Oligochaeta,DNI
Acilius,FALSE,,DNI,Acilius,Acilius,DNI
Acilius abbreviatus,FALSE,,DNI,Acilius,Acilius,DNI
Acneus,FALSE,,Acneus,Acneus,Acneus,Acneus
Acricotopus,FALSE,,DNI,Acricotopus,Acricotopus,DNI
Acroneuria,FALSE,I am skeptical of this ID,DNI,Perlodidae,Perlodidae,DNI
Actinopterygii,TRUE,Fish,DNI,DNI,DNI,DNI
Aedes,FALSE,,DNI,Culicidae,Culicidae,DNI
Aeshna,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Aeshna californica,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Aeshna eremita,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Aeshna interrupta,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Aeshna juncea,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Aeshna palmata,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Aeshna umbrosa,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Aeshna walkeri,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Aeshna/Rhionaeschna,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Aeshnidae,FALSE,,Aeshnidae,Aeshnidae,Aeshnidae,DNI
Afghanurus,FALSE,,Afghanurus,Afghanurus,Afghanurus,Afghanurus
Afghanurus criddlei,FALSE,,Afghanurus,Afghanurus criddlei,Afghanurus criddlei,Afghanurus
