Taxon_orig,Rationale,OTU_MetricCalc,OTU_BCG_ORWA,OTU_BCG_ORWA_worms
Aaptos,Sponges excluded,DNI,DNI,DNI
Aagaardia,,Aagaardia,Aagaardia,Aagaardia
Abedus,More benthic associated and included by some labs in BMI biomonitoring data.,Abedus,Abedus,Abedus
Abiskomyia,,Abiskomyia,Abiskomyia,Abiskomyia
Ablabesmyia,,Ablabesmyia,Ablabesmyia,Ablabesmyia
Acalcarella,,Acalcarella,Acalcarella,Acalcarella
Acalyptonotus,,Acalyptonotus,Acalyptonotus,Acalyptonotus
Acamptocladius,,Acamptocladius,Acamptocladius,Acamptocladius
Acar,,Acari,Acari,Acari
Acari,,Acari,Acari,Acari
Acarina,,Acari,Acari,Acari
Acentrella,,Acentrella,Acentrella,Acentrella
Acentrella insignificans,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans
Acentrella insignificans complex,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans
Acentrella parvula,,Acentrella parvula,Acentrella parvula,Acentrella parvula
Acentrella turbida,,Acentrella turbida,Acentrella turbida,Acentrella turbida
Acercopsis,,Acercopsis,Acercopsis,Acercopsis
Acerpenna,,Acerpenna,Acerpenna,Acerpenna
Acerpenna pygmaea,,Acerpenna pygmaea,Acerpenna pygmaea,Acerpenna pygmaea
Achaeta,,Achaeta,Oligochaeta,Enchytraeidae
Acilius,,Acilius,Acilius,Acilius
Acilius abbreviatus,,Acilius,Acilius,Acilius
Acneus,,Acneus,Acneus,Acneus
Acricotopus,,Acricotopus,Acricotopus,Acricotopus
Acroloxus coloradensis,,Acroloxus coloradensis,Acroloxus coloradensis,Acroloxus coloradensis
Acroneuria,I am skeptical of this ID,Perlodidae,Perlodidae,Perlodidae
Actinopterygii,Fish,DNI,DNI,DNI
Aedes,,Culicidae,Culicidae,Culicidae
Aeshna,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna californica,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna eremita,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna interrupta,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Aeshna juncea,Slashed taxon,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
