TAXON,NonTarget,FFG,Habit,Life_Cycle,Thermal_indicator,Rank,Taxon_Group,Plot_Label,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,Genus,Species,GenusGroup_TolAnal,GenusSlash_TolAnal,SubGenus_TolAnal,SpeciesGroup_TolAnal,SpeciesSubGroup_TolAnal,SpeciesComplex _TolAnal,SpeciesSlash_TolAnal,Species_TolAnal
ABISKOMYIA,FALSE,NA,NA,multi,,Genus,CHIRONOMIDAE,ABISKOMYIA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,ABISKOMYIA,,,,,,,,,
ABLABESMYIA,FALSE,PR,SP,multi,,Genus,CHIRONOMIDAE,ABLABESMYIA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,,,,,,
ABLABESMYIA (ABLABESMYIA),FALSE,PR,SP,multi,,SubGenus,CHIRONOMIDAE,ABLABESMYIA (ABLABESMYIA),ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,ABLABESMYIA (ABLABESMYIA),,,,,
ABLABESMYIA (ASAYIA),FALSE,PR,SP,multi,,SubGenus,CHIRONOMIDAE,ABLABESMYIA (ASAYIA),ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,ABLABESMYIA (ASAYIA),,,,,
ABLABESMYIA (KARELIA),FALSE,PR,SP,multi,,SubGenus,CHIRONOMIDAE,ABLABESMYIA (KARELIA),ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,ABLABESMYIA (KARELIA),,,,,
ABLABESMYIA ANNULATA,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA ANNULATA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,ANNULATA,,,ABLABESMYIA (ASAYIA),ABLABESMYIA ANNULATA GROUP,,,,ABLABESMYIA ANNULATA
ABLABESMYIA ANNULATA GROUP,FALSE,PR,SP,multi,,SpeciesGroup,CHIRONOMIDAE,ABLABESMYIA ANNULATA GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,ABLABESMYIA (ASAYIA),ABLABESMYIA ANNULATA GROUP,,,,
ABLABESMYIA ASPERA,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA ASPERA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,ASPERA,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA ASPERA GROUP,,,,ABLABESMYIA ASPERA
ABLABESMYIA ASPERA GROUP,FALSE,PR,SP,multi,,SpeciesGroup,CHIRONOMIDAE,ABLABESMYIA ASPERA GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,,,,ABLABESMYIA (ABLABESMYIA),ABLABESMYIA ASPERA GROUP,,,,
ABLABESMYIA CINCTIPES,FALSE,PR,SP,multi,,Species,CHIRONOMIDAE,ABLABESMYIA CINCTIPES,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,CINCTIPES,,,ABLABESMYIA (KARELIA),,,,,ABLABESMYIA CINCTIPES
