Taxon_Orig,OTU_TolAnal_v1,OTU_Regional_2025,Monotypic,Notes
#N/A,DNI,DNI,,
(Megadrili),DNI,DNI,,EARTH WORM
(terrestrial),DNI,DNI,,
[identified only to family],DNI,DNI,,
[not identified to family or genus],DNI,DNI,,
[not identified to genus],DNI,DNI,,
[riparian],DNI,DNI,,
[terrestrial ?],DNI,DNI,,
[terrestrial adult],DNI,DNI,,
[terrestrial],DNI,DNI,,
[terrestrial] adult,DNI,DNI,,
[terrestrials],DNI,DNI,,
[water fleas],DNI,DNI,,
Abedus,BELOSTOMATIDAE,BELOSTOMATIDAE,,questionable ID (outside of normal range)
Abelbesmyia sp.,ABLABESMYIA,ABLABESMYIA,,
ABISKOMYIA,ABISKOMYIA,ABISKOMYIA,,
ABLABESMYIA,ABLABESMYIA,ABLABESMYIA,,
Ablabesmyia (Ablabesmyia),ABLABESMYIA (ABLABESMYIA),ABLABESMYIA,,
ABLABESMYIA (ABLABESMYIA) ASPERA,ABLABESMYIA ASPERA,ABLABESMYIA,,
ABLABESMYIA (ABLABESMYIA) HAUBERI,ABLABESMYIA HAUBERI,ABLABESMYIA,,
ABLABESMYIA (ABLABESMYIA) JANTA,ABLABESMYIA JANTA,ABLABESMYIA,,
Ablabesmyia (Ablabesmyia) mallochi,ABLABESMYIA MALLOCHI,ABLABESMYIA,,
ABLABESMYIA (ABLABESMYIA) MONILIS,ABLABESMYIA MONILIS,ABLABESMYIA,,
ABLABESMYIA (ABLABESMYIA) PARAJANTA,ABLABESMYIA PARAJANTA,ABLABESMYIA,,
ABLABESMYIA (ABLABESMYIA) RHAMPHE,ABLABESMYIA RHAMPHE GROUP,ABLABESMYIA,,
ABLABESMYIA (ABLABESMYIA) RHAMPHE GROUP EPLER 2001,ABLABESMYIA RHAMPHE GROUP,ABLABESMYIA,,
Ablabesmyia (Ablabesmyia) simpsoni,ABLABESMYIA SIMPSONI,ABLABESMYIA,,
ABLABESMYIA (ASAYIA),ABLABESMYIA (ASAYIA),ABLABESMYIA,,
Ablabesmyia (Asayia) annulata,ABLABESMYIA ANNULATA,ABLABESMYIA,,
Ablabesmyia (K) illinoensis,ABLABESMYIA ILLINOENSIS,ABLABESMYIA,,
Ablabesmyia (Karelia),ABLABESMYIA (KARELIA),ABLABESMYIA,,
ABLABESMYIA (KARELIA) CINCTIPES,ABLABESMYIA CINCTIPES,ABLABESMYIA,,
ABLABESMYIA (KARELIA) IDEI,ABLABESMYIA IDEI,ABLABESMYIA,,
ABLABESMYIA (KARELIA) ILLINOENSIS,ABLABESMYIA ILLINOENSIS,ABLABESMYIA,,
ABLABESMYIA (KARELIA) PELEENSIS,ABLABESMYIA PELEENSIS,ABLABESMYIA,,
ABLABESMYIA (KARELIA) PHILOSPHAGNOS,ABLABESMYIA PHILOSPHAGNOS,ABLABESMYIA,,
Ablabesmyia annulata,ABLABESMYIA ANNULATA,ABLABESMYIA,,
Ablabesmyia aspera,ABLABESMYIA ASPERA GROUP,ABLABESMYIA,,
Ablabesmyia Aspera Gr.,ABLABESMYIA ASPERA GROUP,ABLABESMYIA,,
ABLABESMYIA ASPERA GROUP,ABLABESMYIA ASPERA GROUP,ABLABESMYIA,,
ABLABESMYIA CINCTIPES,ABLABESMYIA CINCTIPES,ABLABESMYIA,,
ABLABESMYIA HAUBERI,ABLABESMYIA HAUBERI,ABLABESMYIA,,
Ablabesmyia idei,ABLABESMYIA IDEI,ABLABESMYIA,,
