Taxon_Group,Taxon_orig,NonTarget,Changed,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Diptera,Chioneinae,FALSE,no,,DNI,Chioneinae,Chioneinae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,,,,,,
Other Non-Insect,Colligyrus,FALSE,yes,best to leave at SuperFamily,Truncatelloidea,Truncatelloidea,Truncatelloidea,,Animalia,Mollusca,,Gastropoda,,Littorinimorpha,,Truncatelloidea,Hydrobiidae,,,,Colligyrus,,,,,
Chironomidae,Compterosmittia sp. A,FALSE,yes,,DNI,Compterosmittia,Compterosmittia,128559,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Compterosmittia,,,,,
Ephemeroptera,Ephemerella Excrucians Gr.,FALSE,yes,Formatting (Gr.),Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Ephemerella,Ephemerella,Excrucians Gr.,,,
Other Non-Insect,Helobdella elongata,FALSE,yes,best to leave at genus,Hirudinida,Helobdella,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Trichoptera,Lepidostoma Unicolor Group,FALSE,yes,Formatting (Gr.),Lepidostoma,Lepidostoma,Lepidostoma,116794,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Lepidostomatidae,Lepidostomatinae,,,Lepidostoma,,,,,
Diptera,Limnophilinae,FALSE,yes,,DNI,Limnophilinae,Limnophilinae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limnophilinae,,,,,,,,
Coleoptera,Nectoporus,FALSE,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,,Nectoporus,,,,,
Coleoptera,Nectoprus,FALSE,yes,misspelled,Hydroporinae,Hydroporinae,Hydroporinae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,Hydroporini,,Nectoporus,,,,,
Chironomidae,Orthocladiinae sp. (RAI Taxon # 0004),FALSE,yes,,DNI,Orthocladiinae,Orthocladiinae,128457,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,,,,,,
Ephemeroptera,Paraleptophlebia Bicornuta Gr.,FALSE,yes,Formatting (Gr.),Paraleptophlebia Bicornuta Group,Paraleptophlebia Bicornuta Group,Paraleptophlebia Bicornuta Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptophlebiidae,,,,Paraleptophlebia,,Bicornuta Gr.,,,
Chironomidae,Potthastia longimana group,FALSE,yes,spelling and formatting,Potthastia,Potthastia Longimanus Group,Potthastia Longimanus Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Diamesini,,Potthastia,,Longimanus Gr.,,,
Diptera,Rhabdomastix fascigera group,FALSE,yes,best to leave at genus,Rhabdomastix,Rhabdomastix,Rhabdomastix,120968,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Rhabdomastix,,,,,
Diptera,Rhabdomastix Setigera Gr.,FALSE,yes,best to leave at subgenus,Rhabdomastix,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Rhabdomastix,Lurdia,,,,
Diptera,Rhabdomastix setigera group,FALSE,yes,best to leave at subgenus,Rhabdomastix,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Rhabdomastix,Lurdia,,,,
Trichoptera,Rhyacophila atrata group,FALSE,yes,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,Sibirica Gr.,mainensis sugroup,atrata complex,
Trichoptera,Rhyacophila Brunnea/Vemna Group,FALSE,yes,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,,Brunnea/Vemna Gr.,,
Trichoptera,Rhyacophila ecosa group,FALSE,yes,formatting,DNI,Rhyacophila,Rhyacophila,115097,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Rhyacophilidae,,,,Rhyacophila,,,,,
Coleoptera,Stictotarsus/Boreonectes,FALSE,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Hydroporinae,,,,,,,,
Diptera,Symplecta,FALSE,no?,,DNI,Symplecta,Symplecta,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,,,,Symplecta,,,,,
Diptera,Thienemannimyia Gr.,FALSE,yes,These should all have been Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,Thienemannimyia Gr.,,,,,,
Diptera,Tricyphona,FALSE,yes,best to leave at family,DNI,Pediciidae,Pediciidae,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Pediciidae,,,,,,,,,
