TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,LIFE_CYCLE,AirBreather,TOLVAL_IA,FFG_IA,FFGDef_IA,HABIT_IA,HabitDef_IA,THERMAL_INDICATOR,COLD_IA,ColdWaterIndicatorTaxa,HABSTRUCT,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,CommonName,IA_BugTaxaID
HETEROSTERNUTA DIVERSICORNIS,Species,FALSE,4,4_middle,PR,SW,NA,TRUE,5.2,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HETEROSTERNUTA,DIVERSICORNIS,Predaceous Diving Beetles,1000
BITTACOMORPHA,Genus,FALSE,,,CG,BU,uni,TRUE,9,CG,Collector/Gatherer,BU,Burrower,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,PTYCHOPTERIDAE,,BITTACOMORPHA,,Phantom Crane Flies,1002
GYRINUS VENTRALIS,Species,FALSE,4,4_middle,PR,SW,uni,TRUE,6.3,PR,Predator,SW/DV,Swimmer/Diver,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,GYRINUS,VENTRALIS,Whirligig Beetles,1007
DYTISCUS HYBRIDUS,Species,FALSE,4,4_middle,PR,SW,uni,TRUE,3.7,PR,Predator,SW/DV,Swimmer/Diver,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,DYTISCUS,HYBRIDUS,Predaceous Diving Beetles,1008
AGABINAE,Subfamily,FALSE,,,PR,SW,NA,TRUE,5,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,AGABINAE,,,Predaceous Diving Beetles,1030
BEROSUS PANTHERINUS,Species,FALSE,4,4_middle,"PH,CG",SW,multi,TRUE,5,PI,Piercer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,BEROSUS,PANTHERINUS,Giant Water Scavenger Beetles,1032
ENOCHRUS CONSORTUS,Species,FALSE,4,4_worse,CG,"BU,SW",uni,TRUE,8.5,PI,Piercer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,ENOCHRUS,CONSORTUS,Giant Water Scavenger Beetles,1037
HALIPLUS FASCIATUS,Species,FALSE,4,4_worse,PH,CB,multi,TRUE,5,PI,Piercer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HALIPLIDAE,,HALIPLUS,FASCIATUS,Crawling Water Beetles,1039
HYDROPORUS NIGER,Species,FALSE,4,4_middle,PR,SW,semi,TRUE,5,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYDROPORUS,NIGER,Predaceous Diving Beetles,1041
LACCOBIUS MINUTOIDES,Species,FALSE,4,4_worse,"PR,PH",CN,uni,TRUE,5,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,LACCOBIUS,MINUTOIDES,Giant Water Scavenger Beetles,1042
LIOPOREUS TRIANGULARIS,Species,FALSE,,,PR,SW,NA,TRUE,5,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,LIOPOREUS,TRIANGULARIS,Predaceous Diving Beetles,1043
THERMONECTUS BASILARIS,Species,FALSE,,,PR,SW,uni,TRUE,,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,THERMONECTUS,BASILARIS,Predaceous Diving Beetles,1056
HYDROCHARA SPANGLERI,Species,FALSE,,,PR,"SW,CB",uni,TRUE,8.2,UN,Unidentified,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,HYDROCHARA,SPANGLERI,Giant Water Scavenger Beetles,1065
HELOPHORUS LINEATUS,Species,FALSE,4,4_worse,SH,SW,uni,TRUE,5,SH,Shredder,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,HELOPHORUS,LINEATUS,Giant Water Scavenger Beetles,1071
HYDROBIUS FUSCIPES,Species,FALSE,4,4_worse,PR,"CB,CN",uni,TRUE,5,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,HYDROBIUS,FUSCIPES,Giant Water Scavenger Beetles,1078
CYMBIODYTA SEMISTRIATA,Species,FALSE,4,4_middle,CG,"BU,SW",uni,TRUE,5.5,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,CYMBIODYTA,SEMISTRIATA,Giant Water Scavenger Beetles,1081
HYDROCHARA OBTUSATA,Species,FALSE,,,PR,"SW,CB",uni,TRUE,8.2,UN,Unidentified,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,HYDROCHARA,OBTUSATA,Giant Water Scavenger Beetles,1083
HYDROPORUS NOTABILIS,Species,FALSE,4,4_middle,PR,SW,semi,TRUE,5,PR,Predator,SW/CB,Swimmer/Climber,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYDROPORUS,NOTABILIS,Predaceous Diving Beetles,1090
GYRINUS LATILIMBUS,Species,FALSE,4,4_middle,PR,SW,uni,TRUE,6.3,PR,Predator,SW/DV,Swimmer/Diver,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,GYRINUS,LATILIMBUS,Whirligig Beetles,1092
DYTISCUS VERTICALIS,Species,FALSE,4,4_middle,PR,SW,uni,TRUE,3.7,PR,Predator,SW/DV,Swimmer/Diver,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,DYTISCUS,VERTICALIS,Predaceous Diving Beetles,1095
HYDATICUS ARUSPEX,Species,FALSE,,,PR,SW,uni,TRUE,5.2,PR,Predator,SW/DV,Swimmer/Diver,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,HYDATICUS,ARUSPEX,Predaceous Diving Beetles,1101
BITTACOMORPHA CLAVIPES,Species,FALSE,,,CG,BU,uni,TRUE,9,CG,Collector/Gatherer,BU,Burrower,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,PTYCHOPTERIDAE,,BITTACOMORPHA,CLAVIPES,Phantom Crane Flies,1106
HALIPLUS PANTHERINUS,Species,FALSE,4,4_worse,PH,CB,multi,TRUE,5,PI,Piercer,CB,Climber,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HALIPLIDAE,,HALIPLUS,PANTHERINUS,Crawling Water Beetles,1111
HYDROCHUS SQUAMIFER,Species,FALSE,4,4_worse,SH,"CB,SW",uni,TRUE,4.6,SH,Shredder,CB,Climber,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,HYDROCHUS,SQUAMIFER,Giant Water Scavenger Beetles,1113
GYRINIDAE,Family,FALSE,4,4_middle,PR,SW,NA,TRUE,4.8,PR,Predator,sw/dv,Swimmer/Diver,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,,,Whirligig Beetles,112
HELOPHORUS MARGINICOLLIS,Species,FALSE,4,4_worse,SH,SW,uni,TRUE,5,SH,Shredder,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,HELOPHORUS,MARGINICOLLIS,Giant Water Scavenger Beetles,1123
AEDES,Genus,FALSE,4,4_middle,CF,SW,multi,TRUE,,CF,Filterer,BU,Burrower,,0,FALSE,,ARTHROPODA,INSECTA,,DIPTERA,CULICIDAE,,AEDES,,Mosquitoes,1124
DINEUTUS,Genus,FALSE,4,4_middle,PR,SW,uni,TRUE,4,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,DINEUTUS,,Whirligig Beetles,113
DINEUTUS ASSIMILIS,Species,FALSE,4,4_middle,PR,SW,uni,TRUE,4,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,DINEUTUS,ASSIMILIS,Whirligig Beetles,114
GYRINUS,Genus,FALSE,4,4_middle,PR,SW,uni,TRUE,6.3,PR,Predator,UN,Unidentified,,0,FALSE,RM,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,GYRINUS,,Whirligig Beetles,115
GYRINUS AENEOLUS,Species,FALSE,4,4_middle,PR,SW,uni,TRUE,6.3,PR,Predator,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,GYRINUS,AENEOLUS,Whirligig Beetles,116
HALIPLIDAE,Family,FALSE,4,4_worse,PH,CN,multi,TRUE,5,PI,Piercer,cn,Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HALIPLIDAE,,,,Crawling Water Beetles,117
HALIPLUS,Genus,FALSE,4,4_worse,"SH,PH",CB,multi,TRUE,5,PI,Piercer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HALIPLIDAE,,HALIPLUS,,Crawling Water Beetles,118
HALIPLUS BOREALIS,Species,FALSE,4,4_worse,PH,CB,multi,TRUE,5,PI,Piercer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,COLEOPTERA,HALIPLIDAE,,HALIPLUS,BOREALIS,Crawling Water Beetles,119
