Taxon_AttributeTable,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Ablabesmyia,FALSE,5,PR,multi,GENE,,warm,,21.63,26.34,,,128079,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Ablabesmyia,,,,,,Chironomidae
Acalyptonotus,FALSE,,,,,,,,,,,,83508,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Acalyptonotidae,,,,Acalyptonotus,,,,,,Other Non-Insect
Acamptocladius,FALSE,,,,,,,,,,,,128460,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Acamptocladius,,,,,,Chironomidae
Acari,FALSE,,,,,,eurythermal,,18.08,22.89,,,733321,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,,,,Other Non-Insect
Acentrella,FALSE,4,CG,multi,RHEO,,warm,,20.15,24.93,,,100801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,,Ephemeroptera
Acentrella insignificans,FALSE,4,CG,multi,RHEO,,warm,,23.58,28.67,,,568572,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,insignificans,Ephemeroptera
Acentrella turbida,FALSE,4,CG,multi,RHEO,,warm,,20.36,24.83,,,568574,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,turbida,Ephemeroptera
Acerpenna,FALSE,,,,,,,Less30,,,,,568546,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acerpenna,,,,,,Ephemeroptera
Acerpenna pygmaea,FALSE,,,,,,,Less30,,,,,206620,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acerpenna,,,,,pygmaea,Ephemeroptera
Achaeta,FALSE,,,,,,,Less30,,,,,68560,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Achaeta,,,,,,Oligochaeta
Acilius,FALSE,,,,,,,Less30,,,,,112074,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Dytiscinae,Aciliini,,Acilius,,,,,,Coleoptera
Acneus,FALSE,2,SC,semi,SPEC,TRUE,cool,,17.45,20.27,,,114082,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Psephenidae,Eubriinae,,,Acneus,,,,,,Coleoptera
Acricotopus,FALSE,,,,,,,Less30,,,,,128463,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Acricotopus,,,,,,Chironomidae
Aeshna/Rhionaeschna,FALSE,3,PR,semi,GENE,,,Less30,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,,Odonata
Aeshnidae,FALSE,3,PR,semi,GENE,,warm,,20.56,24.27,,,101596,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,,,,,,,Odonata
Afghanurus,FALSE,3,SC,uni,RHEO,,warm,,20.96,23.85,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Afghanurus,,,,,,Ephemeroptera
Afghanurus criddlei,FALSE,,,,,,cowa,,20.72,22.84,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Afghanurus,,,,,criddlei,Ephemeroptera
Agabinae,FALSE,,,,,,cowa,,19.30,22.35,,,728212,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,,,,,,,,,Coleoptera
Agabinus,FALSE,,,,,,,Less30,,,,,112068,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabinus,,,,,,Coleoptera
Agabus,FALSE,3,PR,uni,GENE,,cowa,,19.61,22.36,,,111966,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,Agabini,,Agabus,,,,,,Coleoptera
Agapetus,FALSE,3,SC,uni,RHEO,,cowa,,19.45,22.33,,,117121,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Agapetinae,,,Agapetus,,,,,,Trichoptera
Agathon,FALSE,3,SC,uni,RHEO,,,Less30,,,,,121230,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Agathon,,,,,,Diptera
Agathon comstocki,FALSE,,,,,,,,,,,,121237,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Agathon,,,,,comstocki,Diptera
