Taxon,NonTarget,Habit,Hemoglobin,Air,TolVal2,TolVal,FSBI_2012,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,LONGLIVED,Thermal_indicator,ThermalPref_ALL,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Erpobdella,FALSE,UN,,F,11,8,,,,,,,TRUE,warm,Warm,,21.68450719,26.89,,,69444,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,,Erpobdellidae,Erpobdellinae,,,Erpobdella,,,,,,Other Non-Insect
Haemopis,FALSE,UN,,,11,10,,,,,,,FALSE,,,,,,,,69408,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Hirudiniformes,,Haemopidae,Haemopinae,,,Haemopis,,,,,,Other Non-Insect
Arhynchobdellida,FALSE,UN,,,,NA,,,,,,,FALSE,,Warm,,21.68450719,26.89,,yes,568835,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,,,,,,,,,,,,Other Non-Insect
Branchiobdellida,FALSE,UN,,F,11,6,,,,,,,FALSE,warm,Warm,,19.72683394,23.682,,,69168,Animalia,Annelida,,Clitellata,Lumbriculata,Branchiobdellida,,,,,,,,,,,,,Other Non-Insect
Achaeta,FALSE,UN,F,F,11,NA,,,,,,,FALSE,,,Less30,,,,,68560,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Achaeta,,,,,,Oligochaeta
Cernosvitoviella,FALSE,UN,,,,NA,,,,,,,FALSE,,,Less30,,,,,68534,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Cernosvitoviella,,,,,,Oligochaeta
Chamaedrilus,FALSE,UN,U,F,11,NA,,,,,,,FALSE,cold,Cold,,16.57103594,19.618,,,,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Chamaedrilus,,,,,,Oligochaeta
Enchytraeidae,FALSE,UN,,F,1,4,,,,,,,FALSE,,Cool,,15.76726475,20.705,,yes,68510,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,,,,,,,Oligochaeta
Enchytraeus,FALSE,UN,,F,11,4,,,,,,,FALSE,cool,Cool,,17.88051793,21.292,,,68531,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Enchytraeus,,,,,,Oligochaeta
Fridericia,FALSE,UN,,,11,NA,,,,,,,FALSE,cold,Cold,,16.4272476,19.69,,,204785,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Fridericia,,,,,,Oligochaeta
