project,filename,taxaid,calc,calc_taxaid,col_drop,taxaid_drop,metadata_filename,attributes_filename,attributes_taxaid
Pacific Northwest (BCG),ORWA_TaxaTranslator_20230112.csv,Taxon_orig,BCG,OTU_BCG_MariNW,"OTU_MetricCalc,OTU_MTTI",DNI,ORWA_Attributes_Metadata_20230110.csv,ORWA_Attributes_20230112.csv,Taxon_AttributeTable
Pacific Northwest (Thermal),ORWA_TaxaTranslator_20230112.csv,Taxon_orig,Thermal,OTU_MetricCalc,"OTU_BCG_MariNW,OTU_MTTI",DNI,ORWA_Attributes_Metadata_20230110.csv,ORWA_Attributes_20230112.csv,Taxon_AttributeTable
Pacific Northwest (MTTI),ORWA_TaxaTranslator_20230112.csv,Taxon_orig,MTTI,OTU_MTTI,"OTU_BCG_MariNW,OTU_MetricCalc",DNI,ORWA_Attributes_Metadata_20230110.csv,ORWA_Attributes_20230112.csv,Taxon_AttributeTable
Pacific Northwest (Biodiversity Index),ORWA_TaxaTranslator_20230112.csv,Taxon_orig,Biodiversity Index,OTU_MetricCalc,"OTU_BCG_MariNW,OTU_MTTI",DNI,ORWA_Attributes_Metadata_20230110.csv,ORWA_Attributes_20230112.csv,Taxon_AttributeTable
MBSS (bugs),CHAR_Bugs.csv,Taxon,BIBI,Taxon,NA,NULL,CHAR_Bugs_metadata.csv,NA,NA
MBSS (fish),CHAR_Fish.csv,SPECIES,FIBI,SPECIES,NA,NULL,CHAR_Fish_metadata.csv,NA,NA
PackNW_BCG_old,ORWA_TAXATRANSLATOR_20221219.csv,Taxon_orig,BCG,OTU_BCG_MariNW,"Taxon_v2,OTU_MTTI",NULL,ORWA_ATTRIBUTES_METADATA_20221117.csv,ORWA_ATTRIBUTES_20221212.csv,Taxon_AttributeTable
PacNW_Thermal_old,ORWA_TAXATRANSLATOR_20221219.csv,Taxon_orig,Thermal,Taxon_v2,"OTU_BCG_MariNW,OTU_MTTI",NULL,ORWA_ATTRIBUTES_METADATA_20221117.csv,ORWA_ATTRIBUTES_20221212.csv,Taxon_AttributeTable
PacNW_MTTI_old,ORWA_TAXATRANSLATOR_20221219.csv,Taxon_orig,MTTI,OTU_MTTI,"OTU_BCG_MariNW,Taxon_v2",DNI,ORWA_ATTRIBUTES_METADATA_20221117.csv,ORWA_ATTRIBUTES_20221212.csv,Taxon_AttributeTable
PacNW_BioDiv_old,ORWA_TAXATRANSLATOR_20221219.csv,Taxon_orig,Biodiversity Index,Taxon_v2,"OTU_BCG_MariNW,OTU_MTTI",NULL,ORWA_ATTRIBUTES_METADATA_20221117.csv,ORWA_ATTRIBUTES_20221212.csv,Taxon_AttributeTable
