TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,FFG_Src,HABIT,HABIT_Src,LIFE_CYCLE,LIFE_CYCLE_Src,THERMAL_INDICATOR,AirBreather,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS
ABLABESMYIA,Genus,FALSE,4,4_middle,PR,MODNR; MN; Tward; NRSA,SP,MODNR; OK; MN; Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Tanypodinae,Pentaneurini,ABLABESMYIA
ACENTRELLA,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,"SW,CN",IA; MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,ACENTRELLA
ACERPENNA,Genus,FALSE,4,4_middle,CG,IA; MN; Tward; NRSA,SW,MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,ACERPENNA
ACERPENNA PYGMAEA,Species,FALSE,4,4_middle,CG,IA; MN; Tward; NRSA,SW,MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,ACERPENNA
ACILIUS,Genus,FALSE,,NA,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,ACILIUS
ACRONEURIA,Genus,FALSE,3,,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,NE; OK; MN; Tward; NRSA,semi,NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ACRONEURIA
ACRONEURIA ABNORMIS,Species,FALSE,3,,PR,IA; NE; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,semi,NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ACRONEURIA
ACRONEURIA EVOLUTA,Species,FALSE,3,,PR,OK; Tward; NRSA,CN,Tward; NRSA,semi,NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ACRONEURIA
ACRONEURIA PERPLEXA,Species,FALSE,3,,PR,OK; Tward; NRSA,CN,Tward; NRSA,semi,NRSA,,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,PERLIDAE,,,ACRONEURIA
AEDES,Genus,FALSE,4,4_middle,CF,IA; NE; MODNR; MN; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward,,TRUE,ARTHROPODA,INSECTA,,DIPTERA,CULICIDAE,,,AEDES
