Taxon_Group,Taxon_orig,NonTarget,Changed,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Other Non-Insect,Aaptos,TRUE,NonTarget,Sponges excluded,DNI,DNI,DNI,DNI,,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Suberitida,,,Suberitidae,,,,Aaptos,,,,,
Chironomidae,Ablabesmyia,FALSE,no,,Ablabesmyia,Ablabesmyia,Ablabesmyia,Ablabesmyia,128079,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Ablabesmyia,,,,,
Other Non-Insect,Acalyptonotus,FALSE,no,,DNI,Acalyptonotus,Trombidiformes,DNI,83508,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Acalyptonotidae,,,,Acalyptonotus,,,,,
Chironomidae,Acamptocladius,FALSE,no,,DNI,Acamptocladius,Acamptocladius,DNI,128460,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Acamptocladius,,,,,
Other Non-Insect,Acar,FALSE,yes,,DNI,Acari,Acari,DNI,733321,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,,,
Other Non-Insect,Acari,FALSE,no,,DNI,Acari,Acari,DNI,733321,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,,,
Other Non-Insect,Acarina,FALSE,yes,,DNI,Acari,Acari,DNI,733321,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,,,
Ephemeroptera,Acentrella,FALSE,no,,DNI,Acentrella,Acentrella,DNI,100801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,
Ephemeroptera,Acentrella insignificans,FALSE,no,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI,568572,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,insignificans
Ephemeroptera,Acentrella insignificans complex,FALSE,yes,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI,568572,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,insignificans
Ephemeroptera,Acentrella turbida,FALSE,no,,Acentrella turbida,Acentrella turbida,Acentrella turbida,Acentrella turbida,568574,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,turbida
Ephemeroptera,Acerpenna,FALSE,no,,DNI,Acerpenna,Acerpenna,DNI,568546,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acerpenna,,,,,
Ephemeroptera,Acerpenna pygmaea,FALSE,no,,DNI,Acerpenna pygmaea,Acerpenna pygmaea,DNI,206620,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acerpenna,,,,,pygmaea
Oligochaeta,Achaeta,FALSE,no,,DNI,Achaeta,Oligochaeta,DNI,68560,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Achaeta,,,,,
Coleoptera,Acilius,FALSE,no,,DNI,Acilius,Acilius,DNI,112074,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Dytiscinae,Aciliini,,Acilius,,,,,
Coleoptera,Acilius abbreviatus,FALSE,yes,,DNI,Acilius,Acilius,DNI,112074,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Dytiscinae,Aciliini,,Acilius,,,,,
Coleoptera,Acneus,FALSE,no,,Acneus,Acneus,Acneus,Acneus,114082,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Psephenidae,Eubriinae,,,Acneus,,,,,
Chironomidae,Acricotopus,FALSE,no,,DNI,Acricotopus,Acricotopus,DNI,128463,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Acricotopus,,,,,
Fish,Actinopterygii,TRUE,NonTarget,Fish,DNI,DNI,DNI,DNI,,Animalia,Chordata,Vertebrata,Actinopteri,,,,,,,,,,,,,,
Diptera,Aedes,FALSE,yes,,DNI,Culicidae,Culicidae,DNI,125930,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Culicidae,,,,,,,,,
Odonata,Aeshna,FALSE,yes,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
Odonata,Aeshna californica,FALSE,yes,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,
